Unnamed: 0,HOU,SDG
First Downs,26,14
Rush-Yds-TDs,28-120-0,20-80-0
Cmp-Att-Yd-TD-INT,34-45-346-3-1,14-29-195-4-1
Sacked-Yards,2-17,2-12
Net Pass Yards,329,183
Total Yards,449,263
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,7-73,7-55
Third Down Conv.,6-13,7-14
Fourth Down Conv.,1-2,1-1
Time of Possession,36:31,23:29
