Quarter,Time,Down,ToGo,Location,HOU,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,SDG 35,0,0,"Nick Novak kicks off 69 yards, returned by Keshawn Martin for 19 yards (tackle by Richard Marshall)",0.000,0.220
1,14:55,1,10,HOU 15,0,0,Matt Schaub pass incomplete short left intended for Owen Daniels is intercepted by Cam Thomas at HOU-14,-0.220,-4.650
1,14:50,1,10,HOU 14,0,6,"Philip Rivers pass complete short right to Ryan Mathews for 14 yards, touchdown",4.650,7.000
1,14:50,,,HOU 2,0,7,Nick Novak kicks extra point good,0.000,0.000
1,,,,SDG 35,,,"Nick Novak kicks off 71 yards, returned by Keshawn Martin for 46 yards (tackle by Eric Weddle)",,
1,14:36,1,10,HOU 40,0,7,"Penalty on Duane Brown: False Start, 5 yards (no play)",1.600,1.270
1,14:36,1,15,HOU 35,0,7,Matt Schaub pass complete short right to Andre Johnson for 4 yards (tackle by Derek Cox),1.270,0.920
1,14:05,2,11,HOU 39,0,7,Matt Schaub pass incomplete short left intended for Andre Johnson,0.920,0.230
1,14:00,3,11,HOU 39,0,7,Matt Schaub pass complete short left to Arian Foster for 7 yards (tackle by Donald Butler and Kendall Reyes),0.230,-0.320
1,13:28,4,4,HOU 46,0,7,Shane Lechler punts 48 yards,-0.320,0.380
1,13:16,1,10,SDG 6,0,7,Ryan Mathews left guard for 4 yards (tackle by Brooks Reed and Earl Mitchell),-0.380,-0.490
1,12:41,2,6,SDG 10,0,7,Ryan Mathews up the middle for no gain (tackle by Joe Mays),-0.490,-0.950
1,11:58,3,6,SDG 10,0,7,Philip Rivers pass complete short middle to Eddie Royal for 17 yards (tackle by Shiloh Keo),-0.950,0.740
1,11:15,1,10,SDG 27,0,7,Ryan Mathews up the middle for 2 yards (tackle by Joe Mays),0.740,0.470
1,10:37,2,8,SDG 29,0,7,Philip Rivers sacked by Whitney Mercilus for -6 yards. Penalty on King Dunlap: Offensive Holding (Declined),0.470,-1.020
1,10:05,3,14,SDG 23,0,7,"Philip Rivers pass complete short middle to Eddie Royal for 15 yards (tackle by Danieal Manning). Penalty on Nick Hardwick: Offensive Holding, 10 yards (no play)",-1.020,-2.970
1,9:38,3,24,SDG 13,0,7,Ronnie Brown up the middle for 12 yards (tackle by Brian Cushing),-2.970,-1.700
1,9:09,4,12,SDG 25,0,7,"Mike Scifres punts 46 yards, out of bounds",-1.700,-0.870
1,9:02,1,10,HOU 29,0,7,Arian Foster left end for 2 yards (tackle by Donald Butler and Jarret Johnson),0.870,0.600
1,8:24,2,8,HOU 31,0,7,Arian Foster left tackle for 3 yards (tackle by Kendall Reyes),0.600,0.300
1,7:44,3,5,HOU 34,0,7,Matt Schaub pass complete short left to Garrett Graham for 12 yards (tackle by Shareece Wright),0.300,1.990
1,7:03,1,10,HOU 46,0,7,Ben Tate left tackle for 3 yards (tackle by Jarret Johnson and Bront Bird),1.990,1.860
1,6:26,2,7,HOU 49,0,7,Matt Schaub pass complete short right to Owen Daniels for 18 yards (tackle by Donald Butler),1.860,3.380
1,5:46,1,10,SDG 33,0,7,Arian Foster right tackle for 1 yard (tackle by Donald Butler),3.380,2.970
1,5:07,2,9,SDG 32,0,7,Ben Tate left tackle for 14 yards (tackle by Bront Bird),2.970,4.370
1,4:31,1,10,SDG 18,0,7,Ben Tate up the middle for 8 yards (tackle by Jahleel Addae and Donald Butler),4.370,5.230
1,3:55,2,2,SDG 10,0,7,Arian Foster up the middle for 9 yards (tackle by Bront Bird and Donald Butler),5.230,6.970
1,3:16,1,1,SDG 1,6,7,"Matt Schaub pass complete short middle to Owen Daniels for 1 yard, touchdown",6.970,7.000
1,3:16,,,SDG 2,7,7,Randy Bullock kicks extra point good,0.000,0.000
1,3:16,,,HOU 35,7,7,"Randy Bullock kicks off 73 yards, touchback",0.000,-0.280
1,3:11,1,10,SDG 20,7,7,Ryan Mathews left end for 4 yards (tackle by Whitney Mercilus),0.280,0.270
1,2:28,2,6,SDG 24,7,7,Philip Rivers pass incomplete deep middle intended for Ladarius Green,0.270,-0.430
1,2:16,3,6,SDG 24,7,7,Philip Rivers pass complete short middle to Danny Woodhead for 11 yards (tackle by Whitney Mercilus),-0.430,1.270
1,1:46,1,10,SDG 35,7,7,Ryan Mathews right guard for 8 yards (tackle by Kareem Jackson and Joe Mays),1.270,1.800
1,1:10,2,2,SDG 43,7,7,Philip Rivers pass incomplete (defended by Brian Cushing),1.800,1.090
1,1:04,3,2,SDG 43,7,7,"Penalty on Philip Rivers: Delay of Game, 5 yards (no play)",1.090,0.430
1,1:03,3,7,SDG 38,7,7,Philip Rivers pass complete short middle to Antonio Gates for 15 yards (tackle by D.J. Swearinger). Penalty on Brooks Reed: Defensive Offside (Declined),0.430,2.460
1,0:42,1,10,HOU 47,7,7,Ryan Mathews left tackle for 3 yards (tackle by Joe Mays),2.460,2.320
Quarter,Time,Down,ToGo,Location,HOU,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,HOU 44,7,7,Ryan Mathews up the middle for 1 yard (tackle by Earl Mitchell),2.320,1.750
2,14:16,3,6,HOU 43,7,7,Philip Rivers pass complete short left to Danny Woodhead for 5 yards (tackle by Danieal Manning),1.750,0.720
2,13:54,4,1,HOU 38,7,7,Ryan Mathews right guard for 3 yards (tackle by Whitney Mercilus and Brian Cushing),0.720,3.250
2,13:11,1,10,HOU 35,7,7,Ronnie Brown left guard for 8 yards (tackle by Shiloh Keo and Jared Crick),3.250,3.780
2,12:35,2,2,HOU 27,7,7,"Philip Rivers pass incomplete deep right intended for Eddie Royal. Penalty on Brice McCain: Defensive Pass Interference, 21 yards (no play)",3.780,5.830
2,12:30,1,6,HOU 6,7,13,"Philip Rivers pass complete short left to Eddie Royal for 6 yards, touchdown",5.830,7.000
2,12:30,,,HOU 2,7,14,Nick Novak kicks extra point good,0.000,0.000
2,12:30,,,SDG 35,7,14,"Nick Novak kicks off 67 yards, returned by Keshawn Martin for 18 yards (tackle by Shareece Wright)",0.000,0.140
2,12:17,1,10,HOU 16,7,14,Ben Tate right tackle for 2 yards (tackle by Richard Marshall and Eric Weddle),-0.140,-0.350
