Unnamed: 0,SEA,SFO
First Downs,17,9
Rush-Yds-TDs,37-93-0,19-109-0
Cmp-Att-Yd-TD-INT,23-32-281-2-1,12-34-128-0-2
Sacked-Yards,2-3,6-53
Net Pass Yards,278,75
Total Yards,371,184
Fumbles-Lost,0-0,5-1
Turnovers,1,3
Penalties-Yards,3-15,9-65
Third Down Conv.,5-17,2-14
Fourth Down Conv.,0-0,0-1
Time of Possession,36:10,23:50
