Quarter,Time,Tm,Detail,PHI,NYG
1.0,11:37,Giants,David Wilson 5 yard rush (Josh Brown kick),0,7
,6:49,Eagles,Alex Henery 40 yard field goal,3,7
2.0,10:40,Eagles,Alex Henery 27 yard field goal,6,7
,8:11,Eagles,LeSean McCoy 1 yard rush (Alex Henery kick),13,7
,2:38,Eagles,Alex Henery 29 yard field goal,16,7
,0:00,Eagles,Alex Henery 36 yard field goal,19,7
3.0,6:58,Giants,Rueben Randle 26 yard pass from Eli Manning (Josh Brown kick),19,14
,3:46,Giants,Rueben Randle 6 yard pass from Eli Manning (Josh Brown kick),19,21
,1:04,Eagles,Alex Henery 41 yard field goal,22,21
4.0,10:26,Eagles,Brent Celek 25 yard pass from Nick Foles (Alex Henery kick),29,21
,8:24,Eagles,DeSean Jackson 5 yard pass from Nick Foles (Alex Henery kick),36,21
