Unnamed: 0,BAL,PIT
First Downs,22,17
Rush-Yds-TDs,25-107-1,25-85-0
Cmp-Att-Yd-TD-INT,23-37-253-1-1,21-31-236-2-0
Sacked-Yards,7-34,1-0
Net Pass Yards,219,236
Total Yards,326,321
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,10-55,5-81
Third Down Conv.,8-16,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,36:30,23:30
