Quarter,Time,Tm,Detail,BAL,PIT
2.0,8:37,Ravens,Devonta Freeman 3 yard rush (Justin Tucker kick),7,0
,0:27,Steelers,Chris Boswell 53 yard field goal,7,3
3.0,7:24,Ravens,Justin Tucker 35 yard field goal,10,3
4.0,14:01,Steelers,Diontae Johnson 29 yard pass from Ben Roethlisberger (Chris Boswell kick failed),10,9
,11:51,Ravens,Justin Tucker 28 yard field goal,13,9
,7:18,Steelers,Chris Boswell 43 yard field goal,13,12
,1:48,Steelers,Diontae Johnson 5 yard pass from Ben Roethlisberger (Pat Freiermuth pass from Ben Roethlisberger),13,20
,0:12,Ravens,Sammy Watkins 6 yard pass from Lamar Jackson (pass failed),19,20
