Unnamed: 0,NYJ,MIN
First Downs,21,15
Rush-Yds-TDs,29-68-1,15-62-0
Cmp-Att-Yd-TD-INT,29-40-339-1-1,24-40-273-2-1
Sacked-Yards,2-16,3-28
Net Pass Yards,323,245
Total Yards,391,307
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,7-55,8-56
Third Down Conv.,7-14,2-13
Fourth Down Conv.,0-1,1-1
Time of Possession,36:26,23:34
