Quarter,Time,Down,ToGo,Location,DAL,KAN,Detail,EPB,EPA
1,0:42,,,DAL 35,10,7,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
1,0:36,1,10,KAN 20,10,7,Alex Smith pass complete deep right to Dwayne Bowe for 27 yards (tackle by Brandon Carr),0.280,2.060
Quarter,Time,Down,ToGo,Location,DAL,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,KAN 47,10,7,Alex Smith pass incomplete short right intended for Donnie Avery,2.060,1.520
2,14:56,2,10,KAN 47,10,7,Jamaal Charles right tackle for 6 yards (tackle by Nick Hayden),1.520,1.620
2,14:40,3,4,DAL 47,10,7,Alex Smith sacked by Jason Hatcher for -6 yards,1.620,-0.260
2,14:22,4,10,KAN 47,10,7,Dustin Colquitt punts 48 yards,-0.260,0.380
2,14:11,1,10,DAL 5,10,7,Tony Romo pass incomplete short middle intended for DeMarco Murray (defended by Tyson Jackson),-0.380,-0.780
2,14:06,2,10,DAL 5,10,7,DeMarco Murray right guard for 1 yard (tackle by Tyson Jackson),-0.780,-1.300
2,13:22,3,9,DAL 6,10,7,Tony Romo pass incomplete short right intended for James Hanna,-1.300,-2.490
2,13:18,4,9,DAL 6,10,7,"Chris Jones punts 62 yards, returned by Dexter McCluster for 20 yards (tackle by DeVonte Holloman)",-2.490,-2.390
2,13:06,1,10,DAL 48,10,7,Alex Smith sacked by DeMarcus Ware for -8 yards,2.390,0.770
2,12:35,2,18,KAN 44,10,7,Alex Smith pass complete short right to Dexter McCluster for 5 yards (tackle by Orlando Scandrick),0.770,0.760
2,11:52,3,13,KAN 49,10,7,Alex Smith pass incomplete short right intended for Cyrus Gray,0.760,-0.130
2,11:44,4,13,KAN 49,10,7,"Dustin Colquitt punts 41 yards, fair catch by Dwayne Harris",-0.130,0.380
2,11:36,1,10,DAL 10,10,7,Tony Romo pass complete short right to James Hanna for 2 yards (tackle by Justin Houston),-0.380,-0.630
2,10:50,2,8,DAL 12,10,7,"Tony Romo pass complete deep right to Dez Bryant for 22 yards (tackle by Brandon Flowers). Penalty on Dez Bryant: Offensive Pass Interference, 6 yards (no play)",-0.630,-1.070
2,10:23,2,14,DAL 6,10,7,Tony Romo pass complete short left to DeMarco Murray for 4 yards (tackle by Husain Abdullah),-1.070,-1.420
2,9:43,3,10,DAL 10,10,7,Tony Romo pass complete short right to Terrance Williams for 7 yards (tackle by Sean Smith),-1.420,-2.320
2,9:07,4,3,DAL 17,10,7,"Chris Jones punts 53 yards, returned by Dexter McCluster for 15 yards (tackle by Danny McCray)",-2.320,-1.930
2,8:56,1,10,KAN 45,10,7,Jamaal Charles left end for 2 yards (tackle by Nick Hayden and Justin Durant),1.930,1.650
2,8:18,2,8,KAN 47,10,7,Alex Smith right end for 8 yards (tackle by Barry Church),1.650,2.590
2,7:33,1,10,DAL 45,10,7,Alex Smith up the middle for 1 yard (tackle by George Selvie),2.590,2.590
2,6:42,1,10,DAL 45,10,7,Timeout #2 by Kansas City Chiefs,2.590,2.180
2,6:42,2,9,DAL 44,10,7,Alex Smith pass incomplete short right intended for Jamaal Charles,2.180,1.490
2,6:38,3,9,DAL 44,10,7,Alex Smith sacked by DeMarcus Ware for -4 yards. Penalty on Jamaal Charles: Offensive Holding (Declined),1.490,0.070
2,6:17,4,13,DAL 48,10,7,"Dustin Colquitt punts 38 yards, fair catch by Dwayne Harris",0.070,0.380
2,6:09,1,10,DAL 10,10,7,DeMarco Murray right guard for 5 yards (tackle by Justin Houston),-0.380,-0.350
2,5:31,2,5,DAL 15,10,7,Tony Romo pass complete short left to DeMarco Murray for 10 yards (tackle by Akeem Jordan),-0.350,0.610
2,4:56,1,10,DAL 25,10,7,DeMarco Murray right guard for 1 yard (tackle by Akeem Jordan),0.610,0.200
2,4:11,2,9,DAL 26,10,7,Tony Romo pass complete short left to Miles Austin for 11 yards (tackle by Derrick Johnson),0.200,1.400
2,3:31,1,10,DAL 37,10,7,Tony Romo pass incomplete short left intended for Dez Bryant,1.400,0.860
2,3:26,2,10,DAL 37,10,7,Tony Romo pass complete short middle to Jason Witten for 10 yards (tackle by Eric Berry),0.860,2.060
2,2:44,1,10,DAL 47,10,7,Tony Romo pass complete short right to Dwayne Harris for 4 yards (tackle by Brandon Flowers),2.060,2.060
2,2:04,2,6,KAN 49,10,7,Tony Romo pass complete short left to Jason Witten for -2 yards (tackle by Kendrick Lewis),2.060,1.090
2,1:59,3,8,DAL 49,10,7,Tony Romo pass incomplete short left intended for Jason Witten (defended by Kendrick Lewis),1.090,-0.130
2,1:55,4,8,DAL 49,10,7,"Chris Jones punts 36 yards, fair catch by Dexter McCluster",-0.130,0.220
2,1:47,1,10,KAN 15,10,7,Alex Smith pass complete short middle to Sean McGrath for 9 yards (tackle by Sean Lee and Will Allen),-0.220,0.620
2,1:24,2,1,KAN 24,10,7,Alex Smith pass complete short middle to Jamaal Charles for 4 yards (tackle by Bruce Carter),0.620,0.810
2,1:03,1,10,KAN 28,10,7,Alex Smith pass incomplete short right intended for Sean McGrath,0.810,0.260
2,0:58,2,10,KAN 28,10,7,Alex Smith pass complete short right to Sean McGrath for 22 yards (tackle by Sean Lee),0.260,0.260
2,0:50,2,10,KAN 28,10,7,Timeout #3 by Kansas City Chiefs,0.260,2.260
2,0:50,1,10,,10,7,Alex Smith pass complete short middle to Donnie Avery for 7 yards (tackle by Brandon Carr),2.260,2.660
2,0:34,2,3,DAL 43,10,7,Alex Smith spiked the ball,2.660,1.950
2,0:34,3,3,DAL 43,10,7,Alex Smith pass complete short right to Jamaal Charles for 4 yards (tackle by Will Allen),1.950,2.980
2,0:20,1,10,DAL 39,10,7,Alex Smith spiked the ball,2.980,2.440
2,0:20,2,10,DAL 39,10,7,Alex Smith pass incomplete short right intended for Dwayne Bowe,2.440,1.750
2,0:17,3,10,DAL 39,10,7,Alex Smith pass incomplete short left intended for Sean McGrath (defended by Bruce Carter),1.750,0.660
2,0:13,4,10,DAL 39,10,7,"Ryan Succop 57 yard field goal no good, blocked by Orlando Scandrick, recovered by Barry Church and returned for 2 yards",0.660,-2.320
2,0:07,1,10,KAN 49,10,7,Tony Romo pass incomplete short left intended for Jason Witten,2.320,1.780
2,0:03,2,10,KAN 49,10,7,"Penalty on Travis Frederick: False Start, 5 yards (no play)",1.780,1.110
2,0:00,2,15,DAL 46,10,7,Tony Romo kneels for -1 yards,1.110,0.300
Quarter,Time,Down,ToGo,Location,DAL,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 35,10,7,"Ryan Succop kicks off no gain, touchback",0.000,0.280
3,15:00,1,10,DAL 20,10,7,Tony Romo pass complete short right to Dez Bryant for 12 yards (tackle by Brandon Flowers),0.280,1.070
3,14:30,1,10,DAL 32,10,7,DeMarco Murray up the middle for no gain (tackle by Tamba Hali),1.070,0.530
3,13:53,2,10,DAL 32,10,7,Tony Romo pass complete short left to James Hanna for 8 yards (tackle by Derrick Johnson),0.530,0.890
3,13:13,3,2,DAL 40,10,7,Tony Romo pass complete short right to Dez Bryant for 5 yards (tackle by Brandon Flowers),0.890,1.930
3,12:33,1,10,DAL 45,10,7,Tony Romo pass complete short right to Dez Bryant for 11 yards (tackle by Brandon Flowers),1.930,2.650
3,12:04,1,10,KAN 44,10,7,DeMarco Murray up the middle for 3 yards (tackle by Anthony Toribio),2.650,2.520
3,11:22,2,7,KAN 41,10,7,DeMarco Murray up the middle for 4 yards (tackle by Eric Berry),2.520,2.350
3,10:35,3,3,KAN 37,10,7,Tony Romo pass complete deep left to Terrance Williams for 20 yards (tackle by Sean Smith),2.350,4.440
3,10:08,1,10,KAN 17,10,7,Lance Dunbar up the middle for 12 yards (tackle by Tamba Hali),4.440,6.060
3,9:20,1,5,KAN 5,10,7,Tony Romo sacked by Dontari Poe for -7 yards,6.060,3.860
3,8:42,2,12,KAN 12,10,7,Tony Romo pass complete short left to DeMarco Murray for 8 yards (tackle by Dontari Poe),3.860,4.490
3,8:42,3,4,KAN 4,10,7,"Penalty on Ronald Leary: False Start, 5 yards (no play)",4.490,3.360
3,7:39,3,9,KAN 9,10,7,(tackle by Husain Abdullah and Quintin Demps),3.360,2.630
3,6:59,4,12,KAN 12,13,7,Dan Bailey 30 yard field goal good,2.630,3.000
3,6:59,,,DAL 35,13,7,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
3,6:54,1,10,KAN 20,13,7,Alex Smith pass complete short right to Dwayne Bowe for 9 yards (tackle by Brandon Carr),0.280,0.950
3,6:27,2,1,KAN 29,13,7,Jamaal Charles right tackle for 2 yards (tackle by Jason Hatcher),0.950,1.000
3,6:00,1,10,KAN 31,13,7,Alex Smith pass incomplete short right intended for Donnie Avery,1.000,0.460
3,5:55,2,10,KAN 31,13,7,Alex Smith pass complete short right to Jamaal Charles for 1 yard (tackle by Barry Church),0.460,0.460
3,5:09,2,10,KAN 31,13,7,Timeout #1 by Kansas City Chiefs,0.460,-0.100
3,5:09,3,9,KAN 32,13,7,Alex Smith pass complete deep right to Donnie Avery for 31 yards (tackle by Will Allen),-0.100,3.120
3,4:40,1,10,DAL 37,13,7,Jamaal Charles right end for 1 yard (tackle by Jason Hatcher),3.120,2.710
3,4:05,2,9,DAL 36,13,7,Alex Smith pass complete short left to Jamaal Charles for 10 yards (tackle by Bruce Carter),2.710,3.840
3,3:43,1,10,DAL 26,13,7,Alex Smith pass incomplete short right intended for Dwayne Bowe,3.840,3.300
3,3:38,2,10,DAL 26,13,7,Alex Smith pass complete short middle to Anthony Fasano for 14 yards (tackle by Barry Church),3.300,4.780
3,2:58,1,10,DAL 12,13,13,"Alex Smith pass complete short middle to Dwayne Bowe for 12 yards, touchdown",4.780,7.000
3,2:58,,,DAL 2,13,14,Ryan Succop kicks extra point good,0.000,0.000
3,2:58,,,KAN 35,13,14,"Ryan Succop kicks off 68 yards, returned by Dwayne Harris for 35 yards (tackle by Marcus Cooper)",0.000,-1.070
3,2:47,1,10,DAL 32,13,14,Tony Romo pass complete short right to Miles Austin for 9 yards (tackle by Sean Smith),1.070,1.740
3,2:12,2,1,DAL 41,13,14,DeMarco Murray up the middle for 2 yards (tackle by Tyson Jackson and Akeem Jordan),1.740,1.800
3,1:52,1,10,DAL 43,13,14,Tony Romo pass complete short left to James Hanna for 6 yards (tackle by Brandon Flowers),1.800,2.060
3,0:52,2,4,DAL 49,13,14,"Tony Romo pass complete short left to Lance Dunbar for 4 yards (tackle by Akeem Jordan). Lance Dunbar fumbles (forced by Akeem Jordan), recovered by Eric Berry at KAN-47 and returned for 22 yards (tackle by Tyron Smith)",2.060,-3.510
3,0:38,1,10,DAL 31,13,14,Jamaal Charles up the middle for -1 yards (tackle by George Selvie),3.510,2.830
Quarter,Time,Down,ToGo,Location,DAL,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,11,DAL 32,13,14,Alex Smith pass incomplete deep right intended for Dexter McCluster,2.830,2.150
4,14:56,3,11,DAL 32,13,14,Alex Smith pass complete short middle to Junior Hemingway for 10 yards (tackle by Orlando Scandrick),2.150,2.140
4,14:10,4,1,DAL 22,13,17,Ryan Succop 40 yard field goal good,2.140,3.000
4,14:10,,,KAN 35,13,17,"Ryan Succop kicks off 69 yards, touchback",0.000,-0.280
4,14:06,1,10,DAL 20,13,17,Tony Romo pass complete short right to James Hanna for 4 yards (tackle by Justin Houston),0.280,0.270
4,13:22,2,6,DAL 24,13,17,Tony Romo pass complete short left to Gavin Escobar for 9 yards (tackle by Derrick Johnson),0.270,1.140
4,12:40,1,10,DAL 33,13,17,Tony Romo left end for 4 yards (tackle by Dontari Poe),1.140,1.130
4,11:55,2,6,DAL 37,13,17,Tony Romo pass complete short right to Terrance Williams for 1 yard (tackle by Sean Smith),1.130,0.560
4,11:18,3,5,DAL 38,13,17,"Tony Romo sacked by Ron Parker for -7 yards. Tony Romo fumbles (forced by Ron Parker), recovered by Ron Parker at DAL-35 (tackle by Travis Frederick)",0.560,-3.250
4,11:05,1,10,DAL 35,13,17,"Penalty on Jamaal Charles: False Start, 5 yards (no play)",3.250,2.920
4,11:05,1,15,DAL 40,13,17,Jamaal Charles up the middle for -2 yards (tackle by Jason Hatcher),2.920,1.760
4,10:30,2,17,DAL 42,13,17,Alex Smith right end for 8 yards (tackle by Barry Church),1.760,2.150
4,9:52,3,9,DAL 34,13,17,Alex Smith sacked by Bruce Carter for -6 yards,2.150,0.590
4,9:19,4,15,DAL 40,13,17,"Dustin Colquitt punts 25 yards, fair catch by Dwayne Harris",0.590,0.140
4,9:12,1,10,DAL 16,13,17,"Tony Romo pass incomplete short right intended for Miles Austin. Penalty on Sean Smith: Defensive Holding, 5 yards (no play)",-0.140,0.340
4,9:06,1,10,DAL 21,13,17,Tony Romo pass incomplete short left intended for Dez Bryant (defended by Tyson Jackson),0.340,-0.200
4,9:03,2,10,DAL 21,13,17,Tony Romo pass incomplete deep right intended for Dez Bryant,-0.200,-0.890
4,8:57,3,10,DAL 21,13,17,Tony Romo pass incomplete short left intended for Jason Witten,-0.890,-1.960
4,8:51,4,10,DAL 21,13,17,"Chris Jones punts 49 yards, returned by Dexter McCluster for 6 yards (tackle by Danny McCray)",-1.960,-1.330
4,8:41,1,10,KAN 36,13,17,Alex Smith pass complete short right to Jamaal Charles for 5 yards (tackle by Nick Hayden),1.330,1.470
4,8:13,2,5,KAN 41,13,17,Alex Smith pass incomplete short left intended for Dexter McCluster,1.470,0.760
4,8:10,3,5,KAN 41,13,17,Alex Smith pass complete short right to Jamaal Charles for 4 yards (tackle by Anthony Spencer),0.760,-0.390
4,8:10,4,1,KAN 45,13,17,"Penalty on Alex Smith: Delay of Game, 5 yards (no play)",-0.390,-0.720
4,8:10,4,6,KAN 40,13,17,"Penalty on Dezman Moses: False Start, 5 yards (no play)",-0.720,-1.040
4,6:54,4,11,KAN 35,13,17,"Dustin Colquitt punts 65 yards, touchback. Penalty on Marcus Cooper: Illegal Touch Kick",-1.040,-0.280
4,6:43,1,10,DAL 20,13,17,Tony Romo pass complete short left to Miles Austin for 11 yards (tackle by Kendrick Lewis),0.280,1.000
4,6:02,1,10,DAL 31,13,17,Tony Romo pass complete short left to Dez Bryant for 13 yards (tackle by Brandon Flowers),1.000,1.860
4,5:18,1,10,DAL 44,13,17,Tony Romo pass complete short right to Jason Witten for 4 yards (tackle by Justin Houston),1.860,1.860
4,4:30,2,6,DAL 48,13,17,Tony Romo pass complete short right to DeMarco Murray for 17 yards (tackle by Brandon Flowers),1.860,3.250
4,4:30,1,10,KAN 35,13,17,"Penalty on Dwayne Harris: False Start, 5 yards (no play)",3.250,2.920
4,4:23,1,15,KAN 40,13,17,Tony Romo pass incomplete short middle intended for Dez Bryant (defended by Quintin Demps),2.920,2.030
4,4:17,2,15,KAN 40,13,17,"Tony Romo pass incomplete short middle intended for Jason Witten is intercepted by Eric Berry at KAN-30 and returned for 7 yards (tackle by DeMarco Murray). Penalty on Eric Berry: Defensive Holding, 5 yards (no play)",2.030,3.250
4,4:06,1,10,KAN 35,13,17,Tony Romo pass incomplete short left intended for Jason Witten (defended by Husain Abdullah),3.250,2.700
4,4:02,2,10,KAN 35,13,17,Tony Romo pass incomplete short left intended for Miles Austin,2.700,2.700
4,3:58,2,10,KAN 35,13,17,Timeout #2 by Kansas City Chiefs,2.700,2.010
4,3:58,3,10,KAN 35,13,17,Tony Romo pass incomplete short left intended for Jason Witten,2.010,0.970
4,3:55,4,10,KAN 35,16,17,Dan Bailey 53 yard field goal good,0.970,3.000
4,3:55,,,DAL 35,16,17,"Dan Bailey kicks off 62 yards, muffed catch by Knile Davis, recovered by Knile Davis and returned for no gain",0.000,0.140
4,3:48,1,10,KAN 16,16,17,Jamaal Charles up the middle for 3 yards (tackle by George Selvie),-0.140,-0.140
4,3:44,1,10,KAN 16,16,17,Timeout #1 by Dallas Cowboys,-0.140,-0.180
4,3:44,2,7,KAN 19,16,17,Jamaal Charles left tackle for 9 yards (tackle by Jason Hatcher),-0.180,-0.180
4,3:38,2,7,KAN 19,16,17,Timeout #2 by Dallas Cowboys,-0.180,0.810
4,3:38,1,10,KAN 28,16,17,Jamaal Charles right end for 16 yards (tackle by Orlando Scandrick),0.810,1.860
4,3:32,1,10,KAN 44,16,17,"Jamaal Charles up the middle for 7 yards (tackle by Sean Lee). Penalty on Dwayne Bowe: Illegal Shift, 5 yards (no play)",1.860,1.530
4,3:27,1,15,KAN 39,16,17,Jamaal Charles right end for 6 yards (tackle by Bruce Carter),1.530,1.530
4,3:21,1,15,KAN 39,16,17,Timeout #3 by Dallas Cowboys,1.530,1.450
4,3:21,2,9,KAN 45,16,17,Jamaal Charles up the middle for 4 yards (tackle by Bruce Carter),1.450,1.290
4,2:35,3,5,KAN 49,16,17,"Penalty on Alex Smith: Delay of Game, 5 yards (no play)",1.290,0.630
4,2:32,3,10,KAN 44,16,17,"Alex Smith pass incomplete short left intended for Donnie Avery. Penalty on Morris Claiborne: Defensive Pass Interference, 6 yards (no play)",0.630,2.260
4,2:28,1,10,,16,17,Jamaal Charles left tackle for no gain (tackle by Jason Hatcher),2.260,1.710
4,2:00,2,10,,16,17,Jamaal Charles up the middle for 4 yards (tackle by Nick Hayden),1.710,1.550
4,1:15,3,6,DAL 46,16,17,Jamaal Charles up the middle for 5 yards (tackle by Anthony Spencer),1.550,0.530
4,1:15,4,1,DAL 41,16,17,"Penalty on Dustin Colquitt: Delay of Game, 5 yards (no play)",0.530,0.200
4,0:29,4,6,DAL 46,16,17,Dustin Colquitt punts 42 yards,0.200,0.380
4,0:16,1,10,DAL 4,16,17,Tony Romo pass complete short right to DeMarco Murray for 10 yards (tackle by Justin Houston),-0.380,-0.280
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
