Quarter,Time,Tm,Detail,DAL,KAN
1.0,8:13,Chiefs,Jamaal Charles 2 yard pass from Alex Smith (Ryan Succop kick),0,7
,5:02,Cowboys,Dan Bailey 51 yard field goal,3,7
,0:36,Cowboys,Dez Bryant 2 yard pass from Tony Romo (Dan Bailey kick),10,7
3.0,6:54,Cowboys,Dan Bailey 30 yard field goal,13,7
,2:53,Chiefs,Dwayne Bowe 12 yard pass from Alex Smith (Ryan Succop kick),13,14
4.0,14:06,Chiefs,Ryan Succop 40 yard field goal,13,17
,3:50,Cowboys,Dan Bailey 53 yard field goal,16,17
