Unnamed: 0,DAL,KAN
First Downs,20,19
Rush-Yds-TDs,16-37-0,25-114-0
Cmp-Att-Yd-TD-INT,30-42-298-1-0,21-36-223-2-0
Sacked-Yards,3-17,4-24
Net Pass Yards,281,199
Total Yards,318,313
Fumbles-Lost,2-2,0-0
Turnovers,2,0
Penalties-Yards,5-27,10-45
Third Down Conv.,3-11,4-13
Fourth Down Conv.,0-0,0-0
Time of Possession,31:47,28:13
