Quarter,Time,Down,ToGo,Location,LAR,PHI,Detail,EPB,EPA
1,6:46,4,4,LAR 20,7,3,Jake Elliott 38 yard field goal good,2.200,3.000
1,6:42,,,PHI 35,7,3,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,6:42,1,10,LAR 25,7,3,Darrell Henderson right end for 5 yards (tackle by Jalen Mills and Darius Slay),0.610,0.740
1,6:05,2,5,LAR 30,7,3,Darrell Henderson up the middle for 3 yards (tackle by Fletcher Cox),0.740,0.430
1,5:23,3,2,LAR 33,7,3,Jared Goff pass complete short left to Van Jefferson for 10 yards (tackle by Avonte Maddox),0.430,1.800
1,5:05,1,10,LAR 43,7,3,Jared Goff pass complete short right to Van Jefferson for 8 yards (tackle by Darius Slay),1.800,2.330
1,4:31,2,2,PHI 49,7,3,Malcolm Brown up the middle for -1 yards (tackle by T.J. Edwards and Nathan Gerry),2.330,1.490
1,3:50,3,3,LAR 50,7,3,Jared Goff pass complete short right to Cooper Kupp for 5 yards (tackle by Darius Slay),1.490,2.590
1,3:34,1,10,PHI 45,7,3,Jared Goff pass complete short right to Cooper Kupp for 19 yards (tackle by Marcus Epps),2.590,3.840
1,2:56,1,10,PHI 26,7,3,Jared Goff pass complete deep left to Van Jefferson for 21 yards (tackle by Avonte Maddox),3.840,6.060
1,2:39,1,5,PHI 5,7,3,Malcolm Brown left end for no gain (tackle by Nathan Gerry),6.060,5.150
1,1:54,2,5,PHI 5,13,3,"Robert Woods left end for 5 yards, touchdown",5.150,7.000
1,1:48,,,PHI 15,14,3,Sam Sloman kicks extra point good,0.000,0.000
1,1:48,,,LAR 35,14,3,"Sam Sloman kicks off 65 yards, touchback. Penalty on LAR: Illegal Formation, 5 yards",0.000,0.940
1,1:48,1,10,PHI 30,14,3,Carson Wentz pass incomplete short right intended for Miles Sanders,0.940,0.390
1,1:44,2,10,PHI 30,14,3,Carson Wentz pass complete short left to Zach Ertz for 8 yards (tackle by Kenny Young),0.390,0.760
1,1:04,3,2,PHI 38,14,3,Carson Wentz pass incomplete short right intended for JJ Arcega-Whiteside,0.760,-0.850
1,0:58,4,2,PHI 38,14,3,"Cameron Johnston punts 62 yards, touchback.",-0.850,-0.280
1,0:47,1,10,LAR 20,14,3,Jared Goff pass complete short right to Tyler Higbee for 13 yards (tackle by Rodney McLeod),0.280,1.140
1,0:20,1,10,LAR 33,14,3,Jared Goff pass complete short left to Darrell Henderson for 12 yards (tackle by Nathan Gerry),1.140,1.930
1,0:01,1,10,LAR 45,14,3,Jared Goff pass complete short right to Tyler Higbee for 6 yards (tackle by Jalen Mills),1.930,2.190
Quarter,Time,Down,ToGo,Location,LAR,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,PHI 49,14,3,"Jared Goff pass complete short left to Robert Woods for no gain (tackle by Jalen Mills). Penalty on Derek Barnett: Defensive Offside, 5 yards (no play)",2.190,2.650
2,14:31,1,10,PHI 44,14,3,Cooper Kupp left end for 15 yards (tackle by Nathan Gerry and Derek Barnett),2.650,3.640
2,14:04,1,10,PHI 29,14,3,Jared Goff pass complete short left to Josh Reynolds for 20 yards (tackle by Avonte Maddox),3.640,5.140
2,13:22,1,9,PHI 9,14,3,Darrell Henderson up the middle for 3 yards (tackle by Jalen Mills),5.140,4.950
2,13:03,2,6,PHI 6,14,3,Jared Goff right guard for 3 yards (tackle by Marcus Epps),4.950,4.720
2,12:20,3,3,PHI 3,20,3,"Jared Goff pass complete short left to Tyler Higbee for 3 yards, touchdown",4.720,7.000
2,12:15,,,PHI 15,21,3,Sam Sloman kicks extra point good,0.000,0.000
2,12:15,,,LAR 35,21,3,"Sam Sloman kicks off 65 yards, touchback.",0.000,0.610
2,12:15,1,10,PHI 25,21,3,Carson Wentz pass complete short middle to Jalen Reagor for 16 yards (tackle by John Johnson),0.610,1.660
2,11:44,1,10,PHI 41,21,3,Carson Wentz up the middle for 6 yards (tackle by Ogbonnia Okoronkwo),1.660,1.930
2,11:09,2,4,PHI 47,21,3,Miles Sanders left tackle for 4 yards (tackle by John Johnson and Ogbonnia Okoronkwo),1.930,2.320
2,10:38,1,10,LAR 49,21,3,Carson Wentz pass complete short middle to Greg Ward for 5 yards (tackle by Jordan Fuller),2.320,2.460
2,10:10,2,5,LAR 44,21,3,Miles Sanders right guard for 6 yards (tackle by Micah Kiser),2.460,3.050
2,9:26,1,10,LAR 38,21,3,Carson Wentz pass complete short right to Boston Scott for 8 yards (tackle by John Johnson),3.050,3.590
2,8:57,2,2,LAR 30,21,3,Carson Wentz pass complete short left to Boston Scott for 12 yards (tackle by Jordan Fuller),3.590,4.370
2,8:15,1,10,LAR 18,21,3,Carson Wentz pass complete short middle to Dallas Goedert for 10 yards (tackle by John Johnson and Jordan Fuller),4.370,5.370
2,7:36,1,8,LAR 8,21,3,Miles Sanders right end for 1 yard (tackle by Leonard Floyd and Michael Brockers),5.370,4.760
2,6:53,2,7,LAR 7,21,3,"Carson Wentz pass incomplete short left intended for Jalen Reagor. Penalty on Micah Kiser: Unnecessary Roughness, 4 yards (no play)",4.760,6.510
2,6:49,1,3,LAR 3,21,3,Miles Sanders up the middle for 2 yards (tackle by Michael Brockers),6.510,5.910
2,6:12,2,1,LAR 1,21,9,"Carson Wentz up the middle for 1 yard, touchdown",5.910,7.000
2,6:10,,,LAR 2,21,9,"Two Point Attempt: Miles Sanders rushes, conversion fails.",1.000,-1.000
2,6:10,,,PHI 35,21,9,"Jake Elliott kicks off 61 yards, returned by Nsimba Webster for 19 yards (tackle by Rudy Ford)",0.000,0.480
2,6:04,1,10,LAR 23,21,9,Malcolm Brown up the middle for 19 yards (tackle by Avonte Maddox),0.480,1.730
2,5:38,1,10,LAR 42,21,9,Jared Goff pass complete short right to Josh Reynolds for 13 yards (tackle by Avonte Maddox),1.730,2.590
2,5:07,1,10,PHI 45,21,9,Malcolm Brown left end for 9 yards (tackle by Malik Jackson),2.590,3.260
2,4:22,2,1,PHI 36,21,9,Malcolm Brown left end for 5 yards (tackle by Rodney McLeod),3.260,3.510
2,3:43,1,10,PHI 31,21,9,Jared Goff right end for 1 yard (tackle by T.J. Edwards),3.510,3.100
2,3:09,2,9,PHI 30,21,9,Jared Goff pass incomplete short right intended for Robert Woods,3.100,2.410
2,3:06,3,9,PHI 30,21,9,Jared Goff sacked by Brandon Graham for -9 yards,2.410,0.660
2,2:19,4,18,PHI 39,21,9,"Johnny Hekker punts 39 yards, touchback.",0.660,-0.280
2,2:11,1,10,PHI 20,21,9,Carson Wentz pass complete short right to Jalen Reagor for 8 yards (tackle by Troy Hill),0.280,0.810
2,2:00,2,2,PHI 28,21,9,Carson Wentz pass incomplete short right intended for Miles Sanders,0.810,0.100
2,1:55,3,2,PHI 28,21,9,Miles Sanders right guard for 5 yards (tackle by Jordan Fuller and Micah Kiser),0.100,1.140
2,1:34,1,10,PHI 33,21,9,Carson Wentz pass incomplete deep middle intended for Zach Ertz (defended by Micah Kiser),1.140,0.590
2,1:30,2,10,PHI 33,21,9,Carson Wentz pass complete short right to Dallas Goedert for 5 yards (tackle by Troy Hill and Ogbonnia Okoronkwo),0.590,0.560
2,1:05,3,5,PHI 38,21,9,Carson Wentz pass incomplete short left intended for Zach Ertz,0.560,-0.850
2,1:01,4,5,PHI 38,21,9,"Cameron Johnston punts 59 yards, returned by Cooper Kupp for 8 yards (tackle by T.J. Edwards). Cooper Kupp fumbles (forced by T.J. Edwards), recovered by K'Von Wallace at LA-11 (tackle by Taylor Rapp)",-0.850,4.840
2,0:46,1,10,LAR 11,21,9,Miles Sanders right end for 6 yards (tackle by Jordan Fuller),4.840,5.280
2,0:39,,,,,,Timeout #1 by Philadelphia Eagles,,
2,0:39,2,4,LAR 5,21,15,"Miles Sanders up the middle for 5 yards, touchdown",5.280,7.000
2,0:35,,,LAR 15,21,16,Jake Elliott kicks extra point good,0.000,0.000
2,0:35,,,PHI 35,21,16,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,0:35,1,10,LAR 25,21,16,Malcolm Brown left tackle for -1 yards (tackle by Josh Sweat),0.610,-0.070
Quarter,Time,Down,ToGo,Location,LAR,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 35,21,16,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAR 25,21,16,Malcolm Brown right end for 5 yards (tackle by Jalen Mills),0.610,0.740
3,14:21,2,5,LAR 30,21,16,Malcolm Brown up the middle for -1 yards (tackle by Fletcher Cox),0.740,-0.100
3,13:45,3,6,LAR 29,21,16,Jared Goff pass incomplete deep left intended for Robert Woods,-0.100,-1.440
3,13:40,4,6,LAR 29,21,16,Johnny Hekker punts 57 yards out of bounds,-1.440,0.280
3,13:32,1,10,PHI 14,21,16,Miles Sanders right end for 6 yards (tackle by John Johnson),-0.280,0.150
3,12:52,2,4,PHI 20,21,16,Carson Wentz pass complete short left to DeSean Jackson for 5 yards (tackle by Micah Kiser),0.150,0.610
3,12:13,1,10,PHI 25,21,16,Carson Wentz pass incomplete short left intended for DeSean Jackson,0.610,0.060
3,12:10,2,10,PHI 25,21,16,Carson Wentz pass complete short middle to Zach Ertz for 6 yards (tackle by Taylor Rapp),0.060,0.170
3,11:30,3,4,PHI 31,21,16,Carson Wentz pass complete short right to DeSean Jackson for 9 yards (tackle by Troy Hill),0.170,1.600
3,10:56,1,10,PHI 40,21,16,Carson Wentz pass complete short left to Zach Ertz for 12 yards (tackle by Jalen Ramsey),1.600,2.390
3,10:26,1,10,LAR 48,21,16,Miles Sanders right end for 9 yards (tackle by Micah Kiser and Jordan Fuller),2.390,3.060
3,9:59,2,1,LAR 39,21,16,Miles Sanders up the middle for 5 yards (tackle by Sebastian Joseph),3.060,3.310
3,9:16,1,10,LAR 34,21,16,Boston Scott right end for 4 yards (tackle by Sebastian Joseph),3.310,3.310
3,8:52,2,6,LAR 30,21,16,Carson Wentz pass incomplete short right intended for Dallas Goedert,3.310,2.610
3,8:47,3,6,LAR 30,21,16,Carson Wentz pass complete short left to DeSean Jackson for 9 yards (tackle by Troy Hill),2.610,4.170
3,8:14,1,10,LAR 21,21,16,Carson Wentz pass deep middle intended for JJ Arcega-Whiteside is intercepted by Darious Williams at LA-0 and returned for no gain,4.170,-0.280
3,8:03,1,10,LAR 20,21,16,Darrell Henderson right tackle for 3 yards (tackle by Hassan Ridgeway),0.280,0.140
3,7:37,2,7,LAR 23,21,16,Jared Goff pass incomplete deep right intended for Robert Woods,0.140,-0.560
3,7:32,3,7,LAR 23,21,16,Jared Goff pass complete short middle to Van Jefferson for 6 yards (tackle by Nathan Gerry and Marcus Epps),-0.560,-1.440
3,6:51,4,1,LAR 29,21,16,Jared Goff up the middle for 2 yards (tackle by T.J. Edwards),-1.440,1.000
3,6:17,1,10,LAR 31,21,16,Van Jefferson right end for -1 yards (tackle by Darius Slay),1.000,0.320
3,5:53,2,11,LAR 30,21,16,Jared Goff pass complete short right to Cooper Kupp for 21 yards (tackle by Nickell Robey-Coleman),0.320,2.320
3,5:31,1,10,PHI 49,21,16,Jared Goff pass incomplete short left intended for Cooper Kupp,2.320,1.780
3,5:26,2,10,PHI 49,21,16,Malcolm Brown left tackle for 4 yards (tackle by Nathan Gerry),1.780,1.620
3,5:06,3,6,PHI 45,21,16,Jared Goff pass complete short left to Cooper Kupp for 12 yards (tackle by Rodney McLeod),1.620,3.380
3,4:44,1,10,PHI 33,21,16,Robert Woods left end for 9 yards (tackle by Avonte Maddox),3.380,4.050
3,4:01,2,1,PHI 24,21,16,Jared Goff pass complete short right to Robert Woods for 1 yard (tackle by Avonte Maddox),4.050,4.040
3,3:26,1,10,PHI 23,21,16,"Jared Goff pass complete short left to Robert Woods for 13 yards (tackle by Nickell Robey-Coleman). Penalty on Nickell Robey-Coleman: Unnecessary Roughness, 5 yards",4.040,6.060
3,3:09,1,5,PHI 5,21,16,Malcolm Brown right end for 3 yards (tackle by Rodney McLeod and Fletcher Cox),6.060,5.720
3,2:30,2,2,PHI 2,21,16,"Jared Goff pass incomplete short right intended for Tyler Higbee. Penalty on Tyler Higbee: Offensive Pass Interference, 10 yards (no play)",5.720,3.860
3,2:26,2,12,PHI 12,21,16,Jared Goff pass incomplete short right intended for Darrell Henderson,3.860,3.100
3,2:21,3,12,PHI 12,21,16,Jared Goff pass incomplete short right intended for Van Jefferson,3.100,2.630
3,2:18,4,12,PHI 12,24,16,Sam Sloman 30 yard field goal good,2.630,3.000
3,2:14,,,LAR 35,24,16,"Sam Sloman kicks off 65 yards, touchback.",0.000,0.610
3,2:14,1,10,PHI 25,24,16,Carson Wentz pass complete deep right to DeSean Jackson for 25 yards (tackle by Darious Williams),0.610,2.260
3,1:48,1,10,PHI 50,24,16,Miles Sanders up the middle for 9 yards (tackle by John Johnson),2.260,2.930
3,1:27,2,1,LAR 41,24,16,Miles Sanders right guard for 3 yards (tackle by Kenny Young and Micah Kiser),2.930,3.050
3,0:47,1,10,LAR 38,24,16,Carson Wentz pass complete short left to Jalen Reagor for 3 yards (tackle by Troy Hill),3.050,2.910
3,0:09,2,7,LAR 35,24,16,Carson Wentz pass complete short left to Dallas Goedert for 4 yards (tackle by Micah Kiser),2.910,2.740
Quarter,Time,Down,ToGo,Location,LAR,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,3,LAR 31,24,16,Miles Sanders left end for 3 yards (tackle by Jordan Fuller),2.740,3.710
4,14:38,1,10,LAR 28,24,16,Miles Sanders up the middle for 5 yards (tackle by Kenny Young),3.710,3.840
4,14:13,2,5,LAR 23,24,16,Miles Sanders up the middle for 2 yards (tackle by Aaron Donald and John Johnson),3.840,3.400
4,13:34,3,3,LAR 21,24,16,Boston Scott left tackle for 4 yards (tackle by Kenny Young and Michael Brockers),3.400,4.440
4,13:03,1,10,LAR 17,24,16,Boston Scott right tackle for 2 yards (tackle by Micah Kiser),4.440,4.150
4,12:24,2,8,LAR 15,24,16,Carson Wentz pass incomplete short right,4.150,3.340
4,12:17,3,8,LAR 15,24,16,Carson Wentz pass incomplete short right,3.340,2.440
4,12:11,4,8,LAR 15,24,19,Jake Elliott 33 yard field goal good. Penalty on Nick Scott: Defensive Offside (Declined),2.440,3.000
4,12:07,,,PHI 35,24,19,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
4,12:07,1,10,LAR 25,24,19,Darrell Henderson left guard for 40 yards (tackle by Darius Slay),0.610,3.250
4,11:42,1,10,PHI 35,24,19,Darrell Henderson left end for 2 yards (tackle by Jalen Mills),3.250,2.970
4,11:11,2,8,PHI 33,24,19,"Penalty on Malik Jackson: Encroachment, 5 yards (no play)",2.970,3.650
4,11:00,2,3,PHI 28,30,19,"Jared Goff pass complete deep left to Tyler Higbee for 28 yards, touchdown",3.650,7.000
4,10:53,,,PHI 15,31,19,Sam Sloman kicks extra point good,0.000,0.000
4,10:53,,,LAR 35,31,19,"Sam Sloman kicks off 59 yards, returned by Boston Scott for 16 yards (tackle by Nsimba Webster). Penalty on Alex Singleton: Offensive Holding, 10 yards",0.000,-0.350
4,10:45,1,10,PHI 12,31,19,Carson Wentz pass complete short right to DeSean Jackson for 8 yards (tackle by John Johnson),-0.350,0.290
4,10:21,2,2,PHI 20,31,19,Carson Wentz pass incomplete short left intended for DeSean Jackson,0.290,-0.480
4,10:17,3,2,PHI 20,31,19,Miles Sanders up the middle for 15 yards (tackle by Jordan Fuller),-0.480,1.270
4,9:54,1,10,PHI 35,31,19,"Penalty on Lane Johnson: False Start, 5 yards (no play)",1.270,0.940
4,9:50,1,15,PHI 30,31,19,Carson Wentz pass complete short left to Boston Scott for 4 yards (tackle by Micah Kiser),0.940,0.590
4,9:25,2,11,PHI 34,31,19,Carson Wentz pass incomplete short right intended for DeSean Jackson,0.590,-0.100
4,9:19,3,11,PHI 34,31,19,Carson Wentz pass complete short left to Miles Sanders for 22 yards (tackle by Taylor Rapp),-0.100,2.650
4,8:47,1,10,LAR 44,31,19,Carson Wentz pass incomplete short middle intended for Miles Sanders,2.650,2.110
4,8:43,2,10,LAR 44,31,19,Carson Wentz pass incomplete deep left intended for Dallas Goedert,2.110,1.420
4,8:38,3,10,LAR 44,31,19,Carson Wentz pass complete short right to DeSean Jackson for 8 yards (tackle by Troy Hill),1.420,0.890
4,7:53,4,2,LAR 36,31,19,Carson Wentz pass incomplete short middle intended for Dallas Goedert (defended by John Johnson),0.890,-1.330
4,7:48,1,10,LAR 36,31,19,Darrell Henderson left end for 2 yards (tackle by Fletcher Cox),1.330,1.060
4,7:05,2,8,LAR 38,31,19,Darrell Henderson left end for 11 yards (tackle by Jalen Mills),1.060,2.190
4,6:21,1,10,LAR 49,31,19,Robert Woods right end for 5 yards (tackle by Derek Barnett),2.190,2.320
4,5:36,2,5,PHI 46,31,19,Malcolm Brown right end for 5 yards (tackle by Hassan Ridgeway),2.320,2.850
4,4:51,1,10,PHI 41,31,19,Jared Goff left end for 10 yards (tackle by Josh Sweat),2.850,3.510
4,4:01,,,,,,Timeout #1 by Los Angeles Rams,,
4,4:01,1,10,PHI 31,31,19,Darrell Henderson left end for 1 yard (tackle by Malik Jackson),3.510,3.100
4,3:56,,,,,,Timeout #1 by Philadelphia Eagles,,
4,3:56,2,9,PHI 30,31,19,Jared Goff pass incomplete short left,3.100,2.410
4,3:52,3,9,PHI 30,31,19,Jared Goff pass complete deep left to Darrell Henderson for 28 yards (tackle by Marcus Epps),2.410,6.740
4,3:41,,,,,,Timeout #2 by Philadelphia Eagles,,
4,3:41,1,2,PHI 2,37,19,"Darrell Henderson up the middle for 2 yards, touchdown",6.740,7.000
4,3:37,,,PHI 15,37,19,Sam Sloman kicks extra point blocked by Hassan Ridgeway,0.000,-1.000
4,3:37,,,LAR 35,37,19,"Sam Sloman kicks off 65 yards, touchback.",0.000,0.610
4,3:37,1,10,PHI 25,37,19,Carson Wentz pass complete short middle to Dallas Goedert for 11 yards (tackle by John Johnson),0.610,1.330
4,3:16,1,10,PHI 36,37,19,Carson Wentz pass short right intended for Miles Sanders is intercepted by Troy Hill at PHI-42 and returned for no gain,1.330,-2.790
4,3:09,1,10,PHI 42,37,19,Darrell Henderson up the middle for 6 yards (tackle by T.J. Edwards and Derek Barnett),2.790,3.050
4,3:04,,,,,,Timeout #3 by Philadelphia Eagles,,
4,3:04,2,4,PHI 36,37,19,Darrell Henderson up the middle for 3 yards (tackle by Jalen Mills),3.050,2.740
4,2:19,,,,,,Timeout #2 by Los Angeles Rams,,
4,2:19,3,1,PHI 33,37,19,Cooper Kupp left end for 4 yards,2.740,3.640
4,2:00,1,10,PHI 29,37,19,Jared Goff kneels for -1 yards,3.640,2.970
4,1:19,2,11,PHI 30,37,19,Jared Goff kneels for -1 yards,2.970,2.150
4,0:38,3,12,PHI 31,37,19,Jared Goff kneels for -1 yards,2.150,1.240
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
