Unnamed: 0,LAR,PHI
First Downs,30,25
Rush-Yds-TDs,39-191-2,26-121-2
Cmp-Att-Yd-TD-INT,20-27-267-3-0,26-43-242-0-2
Sacked-Yards,1-9,0-0
Net Pass Yards,258,242
Total Yards,449,363
Fumbles-Lost,1-1,1-1
Turnovers,1,3
Penalties-Yards,4-24,5-30
Third Down Conv.,7-12,7-12
Fourth Down Conv.,1-1,0-1
Time of Possession,31:13,28:47
