Quarter,Time,Tm,Detail,LAR,PHI
1.0,11:15,Rams,Tyler Higbee 4 yard pass from Jared Goff (Sam Sloman kick),7,0
,6:42,Eagles,Jake Elliott 38 yard field goal,7,3
,1:48,Rams,Robert Woods 5 yard rush (Sam Sloman kick),14,3
2.0,12:15,Rams,Tyler Higbee 3 yard pass from Jared Goff (Sam Sloman kick),21,3
,6:10,Eagles,Carson Wentz 1 yard rush (run failed),21,9
,0:35,Eagles,Miles Sanders 5 yard rush (Jake Elliott kick),21,16
3.0,2:14,Rams,Sam Sloman 30 yard field goal,24,16
4.0,12:07,Eagles,Jake Elliott 33 yard field goal,24,19
,10:53,Rams,Tyler Higbee 28 yard pass from Jared Goff (Sam Sloman kick),31,19
,3:37,Rams,Darrell Henderson 2 yard rush (Sam Sloman kick failed),37,19
