Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Tyler Higbee,LAR,5,5,54,3,4,44,8.8,10,2.0,8.8,0,,0,0.0,0,151.2
Cooper Kupp,LAR,6,5,81,0,5,26,5.2,55,11.0,4.3,1,5.0,0,0.0,0,118.7
Van Jefferson,LAR,5,4,45,0,2,38,9.5,7,1.8,9.2,1,4.0,0,0.0,0,104.2
Darrell Henderson,LAR,3,2,40,0,2,17,8.5,23,11.5,9.7,0,,0,0.0,0,109.7
Josh Reynolds,LAR,2,2,33,0,2,21,10.5,12,6.0,10.5,0,,0,0.0,0,118.7
Robert Woods,LAR,5,2,14,0,2,12,6.0,2,1.0,12.0,0,,0,0.0,0,47.9
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
DeSean Jackson,PHI,9,6,64,0,4,55,9.2,9,1.5,7.6,0,,2,22.2,0,87.3
Zach Ertz,PHI,7,5,42,0,2,34,6.8,8,1.6,8.3,0,,0,0.0,0,86.6
Dallas Goedert,PHI,8,4,30,0,2,20,5.0,10,2.5,8.0,0,,0,0.0,0,59.4
Jalen Reagor,PHI,4,4,41,0,2,15,3.8,26,6.5,3.8,0,,0,0.0,0,109.4
Miles Sanders,PHI,7,3,36,0,2,7,2.3,29,9.7,3.6,0,,1,14.3,1,19.6
Boston Scott,PHI,3,3,24,0,1,-4,-1.3,28,9.3,-1.3,0,,0,0.0,0,100.0
Greg Ward,PHI,1,1,5,0,,4,4.0,1,1.0,4.0,0,,0,0.0,0,87.5
JJ Arcega-Whiteside,PHI,2,0,0,0,,0,,0,,13.0,0,,1,50.0,1,0.0
