Unnamed: 0,DET,CHI
First Downs,16,14
Rush-Yds-TDs,24-80-0,26-68-1
Cmp-Att-Yd-TD-INT,23-40-180-1-2,20-31-207-1-0
Sacked-Yards,0-0,2-14
Net Pass Yards,180,193
Total Yards,260,261
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,9-64,7-60
Third Down Conv.,4-14,8-16
Fourth Down Conv.,1-2,0-0
Time of Possession,29:54,30:06
