Quarter,Time,Tm,Detail,DET,CHI
2.0,7:22,Bears,Justin Gage 21 yard pass from Chris Chandler (Paul Edinger kick),0,7
,0:00,Bears,Paul Edinger 37 yard field goal,0,10
3.0,14:46,Bears,Jerry Azumah 89 yard kickoff return (Paul Edinger kick),0,17
,5:23,Bears,Brock Forsey 8 yard rush (Paul Edinger kick),0,24
,5:10,Lions,Reggie Swinton 96 yard kickoff return (Az-Zahir Hakim pass from Joey Harrington),8,24
4.0,0:53,Lions,Mikhael Ricks 3 yard pass from Joey Harrington (Scotty Anderson pass from Joey Harrington),16,24
