Unnamed: 0,NYG,SEA
First Downs,30,8
Rush-Yds-TDs,47-197-2,14-49-0
Cmp-Att-Yd-TD-INT,21-32-290-3-0,12-23-113-1-2
Sacked-Yards,0-0,0-0
Net Pass Yards,290,113
Total Yards,487,162
Fumbles-Lost,1-1,2-1
Turnovers,1,3
Penalties-Yards,5-40,9-70
Third Down Conv.,6-13,1-8
Fourth Down Conv.,1-2,1-2
Time of Possession,42:34,17:26
