Unnamed: 0,CLE,NOR
First Downs,12,25
Rush-Yds-TDs,28-125-1,18-58-0
Cmp-Att-Yd-TD-INT,10-17-87-0-0,37-56-356-2-4
Sacked-Yards,1-2,3-20
Net Pass Yards,85,336
Total Yards,210,394
Fumbles-Lost,1-0,2-0
Turnovers,0,4
Penalties-Yards,4-30,7-98
Third Down Conv.,2-11,5-15
Fourth Down Conv.,1-1,3-3
Time of Possession,24:26,35:34
