Quarter,Time,Tm,Detail,CLE,NOR
1.0,10:25,Browns,Phil Dawson 23 yard field goal,3,0
,6:48,Browns,Peyton Hillis 4 yard rush (Phil Dawson kick),10,0
2.0,5:32,Saints,Garrett Hartley 32 yard field goal,10,3
,2:18,Browns,Phil Dawson 21 yard field goal,13,3
,1:49,Browns,David Bowens 30 yard interception return (Phil Dawson kick),20,3
4.0,13:29,Saints,David Thomas 11 yard pass from Drew Brees (Garrett Hartley kick),20,10
,5:55,Browns,Phil Dawson 48 yard field goal,23,10
,3:33,Browns,David Bowens 64 yard interception return (Phil Dawson kick),30,10
,1:38,Saints,Marques Colston 8 yard pass from Drew Brees (Garrett Hartley kick),30,17
