Quarter,Time,Tm,Detail,GNB,IND
1.0,13:15,Colts,Reggie Wayne 36 yard pass from Peyton Manning (Mike Vanderjagt kick),0,7
,8:39,Packers,Javon Walker 36 yard pass from Brett Favre (Ryan Longwell kick),7,7
,6:59,Colts,Marvin Harrison 28 yard pass from Peyton Manning (Mike Vanderjagt kick),7,14
,6:43,Packers,Javon Walker 79 yard pass from Brett Favre (Ryan Longwell kick),14,14
,4:11,Colts,Brandon Stokley 34 yard pass from Peyton Manning (Mike Vanderjagt kick),14,21
2.0,13:43,Colts,Brandon Stokley 27 yard pass from Peyton Manning (Mike Vanderjagt kick),14,28
,9:34,Packers,Ryan Longwell 38 yard field goal,17,28
,0:57,Colts,James Mungro 1 yard pass from Peyton Manning (Mike Vanderjagt kick),17,35
3.0,9:59,Packers,Javon Walker 12 yard pass from Brett Favre (Ryan Longwell kick),24,35
4.0,13:34,Colts,Mike Vanderjagt 45 yard field goal,24,38
,13:12,Packers,Donald Driver 27 yard pass from Brett Favre (Ryan Longwell kick),31,38
,1:49,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),31,45
