Unnamed: 0,GNB,IND
First Downs,24,26
Rush-Yds-TDs,19-74-0,24-60-1
Cmp-Att-Yd-TD-INT,34-50-394-4-1,28-40-393-5-0
Sacked-Yards,1-9,0-0
Net Pass Yards,385,393
Total Yards,459,453
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,11-84,9-70
Third Down Conv.,8-15,3-8
Fourth Down Conv.,0-0,0-0
Time of Possession,31:08,28:52
