Quarter,Time,Down,ToGo,Location,GNB,IND,Detail,EPB,EPA
1,4:05,1,10,GNB 32,14,21,"Brett Favre pass incomplete intended for Javon Walker. Penalty on Dwight Freeney: Defensive Offside, 5 yards (no play)",1.070,1.800
1,3:59,1,5,GNB 37,14,21,Ahman Green left tackle for 1 yard (tackle by Idrees Bashir),1.800,1.340
1,3:23,2,4,GNB 38,14,21,Ahman Green up the middle for 3 yards (tackle by Cato June),1.340,1.030
1,2:44,3,1,GNB 41,14,21,"Penalty on Chad Clifton: False Start, 5 yards (no play)",1.030,0.370
1,2:32,3,6,GNB 36,14,21,Brett Favre pass incomplete intended for Donald Driver,0.370,-0.980
1,2:26,4,6,GNB 36,14,21,"Bryan Barker punts 53 yards (tackle by Nick Barnett). Penalty on Anthony Floyd: Offensive Holding, 5 yards",-0.980,0.380
1,2:16,1,10,IND 6,14,21,Peyton Manning pass complete to Reggie Wayne for 8 yards (tackle by Jason Horton),-0.380,-0.170
1,1:50,2,2,IND 14,14,21,Peyton Manning pass complete to Reggie Wayne for 21 yards (tackle by Darren Sharper),-0.170,1.270
1,1:28,1,10,IND 35,14,21,Peyton Manning pass complete to Marcus Pollard for 11 yards (tackle by Mark Roman),1.270,1.990
1,0:50,1,10,IND 46,14,21,"Peyton Manning pass complete to Brandon Stokley for 9 yards (tackle by Darren Sharper). Penalty on Na'il Diggs: Roughing the Passer, 15 yards",1.990,3.580
1,0:29,1,10,GNB 30,14,21,Peyton Manning pass complete to Marcus Pollard for 5 yards (tackle by Paris Lenon),3.580,3.710
Quarter,Time,Down,ToGo,Location,GNB,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,GNB 25,14,21,Edgerrin James left end for 6 yards (tackle by Paris Lenon),3.710,4.310
2,14:16,1,10,GNB 19,14,21,"Edgerrin James left end for 2 yards (tackle by Kabeer Gbaja-Biamila). Penalty on Tarik Glenn: Offensive Holding, 10 yards",4.310,3.780
2,13:59,1,18,GNB 27,14,21,Peyton Manning pass incomplete intended for Marvin Harrison,3.780,2.680
2,13:53,2,18,GNB 27,14,21,Peyton Manning pass incomplete intended for Marvin Harrison (defended by Cletidus Hunt),2.680,2.020
2,13:49,3,18,GNB 27,14,27,"Peyton Manning pass complete to Brandon Stokley for 27 yards, touchdown",2.020,7.000
2,,,,GNB 2,14,28,Mike Vanderjagt kicks extra point good,0.000,0.000
2,,,,IND 30,14,28,"Mike Vanderjagt kicks off 61 yards, returned by Antonio Chatman for 50 yards (tackle by Mike Vanderjagt)",0.000,2.850
2,13:36,1,10,IND 41,14,28,Ahman Green left tackle for 4 yards (tackle by Rob Morris),2.850,2.850
2,13:03,2,6,IND 37,14,28,Ahman Green right end for 4 yards (tackle by David Thornton),2.850,2.680
2,12:26,3,2,IND 33,14,28,Ahman Green right tackle for 8 yards (tackle by Idrees Bashir),2.680,3.910
2,11:50,1,10,IND 25,14,28,Brett Favre pass complete to Bubba Franks for 11 yards (tackle by David Thornton),3.910,4.650
2,11:10,1,10,IND 14,14,28,Nick Luchey up the middle for 2 yards (tackle by Montae Reagor),4.650,4.330
2,10:26,2,8,IND 12,14,28,Brett Favre pass complete to Tony Fisher for -7 yards (tackle by Idrees Bashir),4.330,2.730
2,9:44,,,,14,28,Timeout #1 by Green Bay Packers,0.000,2.730
2,9:44,3,15,IND 19,14,28,Brett Favre pass incomplete intended for Donald Driver,2.730,2.180
2,9:38,4,15,IND 19,17,28,Ryan Longwell 38 yard field goal good,2.180,3.000
2,,,,GNB 30,17,28,"Ryan Longwell kicks off 68 yards, returned by Brad Pyatt for 32 yards (tackle by Bhawoh Jue)",0.000,1.200
2,9:27,1,10,IND 34,17,28,Edgerrin James left tackle for 1 yard (tackle by Nick Barnett),1.200,0.790
2,8:54,2,9,IND 35,17,28,Peyton Manning pass complete to Brandon Stokley for 6 yards (tackle by Hannibal Navies),0.790,0.890
2,8:19,3,3,IND 41,17,28,"Penalty on Peyton Manning: False Start, 5 yards (no play)",0.890,0.230
2,7:57,3,8,IND 36,17,28,Peyton Manning pass incomplete intended for Marvin Harrison,0.230,-0.980
2,7:51,4,8,IND 36,17,28,"Hunter Smith punts 41 yards, returned by Antonio Chatman for 8 yards (tackle by Jim Nelson)",-0.980,-1.000
2,7:40,1,10,GNB 31,17,28,Ahman Green right guard for 1 yard (tackle by Rob Morris),1.000,0.600
2,7:06,2,9,GNB 32,17,28,Brett Favre pass incomplete intended for Donald Driver (defended by Nick Harper),0.600,-0.100
2,7:01,3,9,GNB 32,17,28,Brett Favre pass complete to William Henderson for 11 yards (tackle by Jason David),-0.100,1.800
2,6:27,1,10,GNB 43,17,28,Brett Favre pass complete to Javon Walker for 8 yards (tackle by David Thornton),1.800,2.330
2,5:54,2,2,IND 49,17,28,Brett Favre pass incomplete intended for Donald Driver,2.330,1.620
2,5:47,3,2,IND 49,17,28,Brett Favre pass complete to William Henderson for 9 yards (tackle by David Thornton),1.620,2.920
2,5:07,1,10,IND 40,17,28,Ahman Green right end for -1 yards (tackle by Larry Tripplett),2.920,2.240
2,4:24,2,11,IND 41,17,28,Brett Favre pass incomplete intended for Javon Walker,2.240,1.550
2,4:18,3,11,IND 41,17,28,Brett Favre pass complete to Javon Walker for 7 yards (tackle by Nick Harper),1.550,1.080
2,3:31,4,4,IND 34,17,28,Ryan Longwell 52 yard field goal no good,1.080,-1.800
2,3:24,1,10,IND 43,17,28,Peyton Manning pass complete to Reggie Wayne for 25 yards (tackle by Mark Roman),1.800,3.450
2,2:59,1,10,GNB 32,17,28,Peyton Manning pass complete to Brandon Stokley for 11 yards (tackle by Darren Sharper),3.450,4.170
2,2:19,1,10,GNB 21,17,28,Peyton Manning pass complete to Marvin Harrison for 3 yards (tackle by Na'il Diggs),4.170,4.040
2,2:00,2,7,GNB 18,17,28,"Peyton Manning pass complete to Reggie Wayne for 6 yards (tackle by Jason Horton). Penalty on Tarik Glenn: Offensive Holding, 10 yards (no play)",4.040,2.680
2,1:52,2,17,GNB 28,17,28,"Peyton Manning pass incomplete intended for Reggie Wayne. Penalty on Jason Horton: Defensive Pass Interference, 27 yards (no play)",2.680,6.970
2,1:52,1,1,GNB 1,17,28,Penalty on Cletidus Hunt: Encroachment (no play),6.970,6.970
2,1:46,1,1,GNB 1,17,28,Dominic Rhodes right guard for no gain (tackle by Nick Barnett and Darren Sharper),6.970,5.910
2,1:02,2,1,GNB 1,17,34,"Peyton Manning pass complete to James Mungro for 1 yard, touchdown",5.910,7.000
2,,,,GNB 2,17,35,Mike Vanderjagt kicks extra point good,0.000,0.000
2,,,,IND 30,17,35,"Mike Vanderjagt kicks off 66 yards, returned by James Whitley for 20 yards (tackle by Gary Brackett)",0.000,0.540
2,0:52,1,10,GNB 24,17,35,Brett Favre pass complete to Ahman Green for 15 yards (tackle by Idrees Bashir),0.540,1.530
2,0:32,1,10,GNB 39,17,35,Brett Favre pass complete to Javon Walker for 7 yards (tackle by David Thornton),1.530,1.930
2,0:28,,,,17,35,Timeout #2 by Green Bay Packers,0.000,1.930
2,0:28,2,3,GNB 46,17,35,Brett Favre pass complete to Ahman Green for 1 yard (tackle by Donald Strickland),1.930,1.360
2,0:22,3,2,GNB 47,17,35,Brett Favre pass incomplete intended for Bubba Franks,1.360,-0.260
2,0:18,4,2,GNB 47,17,35,"Bryan Barker punts 44 yards, fair catch by Brad Pyatt",-0.260,0.380
2,0:10,1,10,IND 10,17,35,Peyton Manning kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,GNB,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 30,17,35,"Mike Vanderjagt kicks off 45 yards, returned by William Henderson for 10 yards (tackle by Keyon Whiteside)",0.000,1.270
3,14:55,1,10,GNB 35,17,35,Brett Favre pass incomplete intended for Donald Driver,1.270,0.720
3,14:51,2,10,GNB 35,17,35,Brett Favre pass complete to Javon Walker for 14 yards (tackle by Rob Morris),0.720,2.190
3,14:20,1,10,GNB 49,17,35,Brett Favre pass complete to Donald Driver for 6 yards (tackle by Donald Strickland),2.190,2.460
3,13:42,2,4,IND 45,17,35,Brett Favre pass complete to Ahman Green for 7 yards (tackle by Cato June),2.460,3.050
3,13:01,1,10,IND 38,17,35,Brett Favre pass complete to Antonio Chatman for 8 yards (tackle by David Thornton),3.050,3.590
3,12:31,2,2,IND 30,17,35,Ahman Green up the middle for 6 yards (tackle by Jim Nelson),3.590,3.970
3,12:00,1,10,IND 24,17,35,Tony Fisher left tackle for 5 yards (tackle by Donald Strickland),3.970,4.120
3,11:26,2,5,IND 19,17,35,Brett Favre pass incomplete intended for Donald Driver,4.120,3.410
3,11:23,3,5,IND 19,17,35,Brett Favre pass complete to Tony Fisher for 8 yards (tackle by Anthony Floyd),3.410,4.840
3,10:43,1,10,IND 11,17,35,Ahman Green right end for -1 yards (tackle by Rob Morris). Penalty on Kevin Barry: Illegal Formation (Declined),4.840,3.980
3,10:03,2,11,IND 12,23,35,"Brett Favre pass complete to Javon Walker for 12 yards, touchdown",3.980,7.000
3,,,,IND 2,24,35,Ryan Longwell kicks extra point good,0.000,0.000
3,,,,GNB 30,24,35,"Ryan Longwell kicks off 65 yards, returned by Brad Pyatt for 22 yards (tackle by Nick Rogers)",0.000,0.740
3,9:50,1,10,IND 27,24,35,Peyton Manning pass incomplete intended for Marvin Harrison,0.740,0.200
3,9:47,2,10,IND 27,24,35,Edgerrin James right tackle for 8 yards (tackle by Darren Sharper),0.200,0.560
3,9:05,3,2,IND 35,24,35,Peyton Manning pass incomplete intended for Reggie Wayne,0.560,-1.040
3,9:00,4,2,IND 35,24,35,"Hunter Smith punts 49 yards, fair catch by Antonio Chatman",-1.040,0.140
3,8:52,1,10,GNB 16,24,35,Ahman Green up the middle for -1 yards (tackle by Josh Williams),-0.140,-0.780
3,8:19,2,11,GNB 15,24,35,Brett Favre pass complete to Bubba Franks for 8 yards (tackle by Cory Bird),-0.780,-0.450
3,7:37,3,3,GNB 23,24,35,Brett Favre pass complete to Antonio Chatman for 6 yards (tackle by Nick Harper),-0.450,0.870
3,7:02,1,10,GNB 29,24,35,Ahman Green left tackle for 9 yards (tackle by Idrees Bashir and Nick Harper),0.870,1.540
3,6:21,2,1,GNB 38,24,35,Brett Favre pass incomplete intended for Javon Walker,1.540,0.830
3,6:14,3,1,GNB 38,24,35,Brett Favre pass complete to Javon Walker for 12 yards (tackle by Donald Strickland),0.830,2.260
3,5:59,1,10,IND 50,24,35,Ahman Green up the middle for 6 yards (tackle by Josh Thomas and Cory Bird),2.260,2.520
3,5:28,2,4,IND 44,24,35,"Brett Favre pass incomplete intended for Robert Ferguson. Penalty on Donald Strickland: Illegal Contact, 5 yards (no play)",2.520,2.980
3,5:22,1,10,IND 39,24,35,"Tony Fisher up the middle for 1 yard (tackle by Cato June). Penalty on Chad Clifton: Offensive Holding, 10 yards (no play)",2.980,2.320
3,5:00,1,20,IND 49,24,35,Brett Favre pass incomplete intended for Antonio Chatman,2.320,1.090
3,4:55,2,20,IND 49,24,35,Brett Favre pass complete to Donald Driver for 6 yards (tackle by Jason David),1.090,1.220
3,4:18,3,14,IND 43,24,35,Brett Favre pass incomplete intended for David Martin (defended by Nick Harper),1.220,0.400
3,4:12,4,14,IND 43,24,35,"Bryan Barker punts 22 yards, fair catch by Brad Pyatt",0.400,-0.340
3,4:06,1,10,IND 21,24,35,Edgerrin James up the middle for 8 yards (tackle by Cletidus Hunt and Bhawoh Jue),0.340,0.880
3,3:37,2,2,IND 29,24,35,--,0.880,0.300
3,2:55,3,1,IND 30,24,35,Edgerrin James up the middle for 3 yards (tackle by Nick Barnett),0.300,1.140
3,2:11,1,10,IND 33,24,35,Peyton Manning pass complete to Reggie Wayne for 23 yards (tackle by Jason Horton),1.140,2.650
3,1:47,1,10,GNB 44,24,35,Edgerrin James up the middle for 7 yards (tackle by Nick Barnett),2.650,3.060
3,1:07,2,3,GNB 37,24,35,Edgerrin James up the middle for 4 yards (tackle by Aaron Kampman),3.060,3.380
3,0:22,1,10,GNB 33,24,35,Edgerrin James right tackle for 4 yards (tackle by Na'il Diggs and Kabeer Gbaja-Biamila),3.380,3.380
Quarter,Time,Down,ToGo,Location,GNB,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,GNB 29,24,35,"Peyton Manning pass complete to Brandon Stokley for 28 yards (tackle by Michael Hawthorne). Penalty on Tarik Glenn: Offensive Holding, 10 yards (no play)",3.380,2.030
4,14:32,2,16,GNB 39,24,35,Peyton Manning pass incomplete intended for Reggie Wayne,2.030,1.350
4,14:26,3,16,GNB 39,24,35,"Penalty on Tupe Peko: False Start, 5 yards (no play)",1.350,0.700
4,14:26,3,21,GNB 44,24,35,Peyton Manning pass complete to Edgerrin James for 17 yards (tackle by Bhawoh Jue),0.700,1.750
4,13:39,4,4,GNB 27,24,38,Mike Vanderjagt 45 yard field goal good,1.750,3.000
4,,,,IND 30,24,38,"Mike Vanderjagt kicks off 63 yards, returned by Robert Ferguson for 71 yards (tackle by Mike Vanderjagt)",0.000,4.110
4,13:23,1,10,IND 22,24,38,Brett Favre pass incomplete intended for Antonio Chatman (defended by Jim Nelson),4.110,3.560
4,13:18,2,10,IND 22,24,38,"Penalty on Marco Rivera: False Start, 5 yards (no play)",3.560,2.890
4,13:18,2,15,IND 27,30,38,"Brett Favre pass complete to Donald Driver for 27 yards, touchdown",2.890,7.000
4,,,,IND 2,31,38,Ryan Longwell kicks extra point good,0.000,0.000
4,,,,GNB 30,31,38,"Ryan Longwell kicks off 50 yards, returned by James Mungro for 14 yards (tackle by James Whitley)",0.000,1.200
4,13:07,1,10,IND 34,31,38,--,1.200,0.660
4,12:44,2,10,IND 34,31,38,Edgerrin James up the middle for 8 yards (tackle by Mark Roman),0.660,1.030
4,12:03,3,2,IND 42,31,38,Peyton Manning pass incomplete intended for Reggie Wayne,1.030,-0.590
4,11:59,4,2,IND 42,31,38,"Hunter Smith punts 48 yards, returned by Antonio Chatman for 6 yards (tackle by Gilbert Gardner)",-0.590,0.140
4,11:48,1,10,GNB 16,31,38,Brett Favre pass complete to Javon Walker for 11 yards (tackle by Jason David),-0.140,0.740
4,11:19,1,10,GNB 27,31,38,Ahman Green up the middle for 1 yard (tackle by Montae Reagor and Cory Bird),0.740,0.330
4,10:46,2,9,GNB 28,31,38,Brett Favre pass incomplete intended for Robert Ferguson,0.330,-0.360
4,10:42,3,9,GNB 28,31,38,"Penalty on Marco Rivera: False Start, 5 yards (no play)",-0.360,-1.020
4,10:42,3,14,GNB 23,31,38,Brett Favre pass incomplete intended for Antonio Chatman,-1.020,-1.830
4,10:35,4,14,GNB 23,31,38,"Bryan Barker punts 50 yards, returned by Brad Pyatt for 10 yards (tackle by Nick Rogers)",-1.830,-1.400
4,10:26,1,10,IND 37,31,38,Peyton Manning pass complete to Brandon Stokley for 9 yards (tackle by Na'il Diggs),1.400,2.070
4,9:53,2,1,IND 46,31,38,Edgerrin James right end for no gain (tackle by Kabeer Gbaja-Biamila),2.070,1.360
4,9:12,3,1,IND 46,31,38,Edgerrin James right guard for no gain (tackle by Hannibal Navies and Nick Barnett),1.360,-0.320
4,8:29,4,1,IND 46,31,38,Hunter Smith punts 33 yards,-0.320,-0.340
4,8:19,1,10,GNB 21,31,38,Brett Favre pass complete to Ahman Green for 11 yards (tackle by Von Hutchins),0.340,1.070
4,7:41,1,10,GNB 32,31,38,Brett Favre pass complete to Donald Driver for 3 yards (tackle by Nick Harper),1.070,0.930
4,7:06,2,7,GNB 35,31,38,Brett Favre pass complete to Donald Driver for 8 yards (tackle by Cory Bird),0.930,1.800
4,6:28,1,10,GNB 43,31,38,"Brett Favre pass complete to Javon Walker for 8 yards (tackle by Jason David). Javon Walker fumbles (forced by Jason David), recovered by Nick Harper at IND-49 and returned for 15 yards (tackle by Mark Tauscher)",1.800,-3.180
4,6:07,1,10,GNB 36,31,38,Edgerrin James left end for 5 yards (tackle by Michael Hawthorne),3.180,3.310
4,5:32,2,5,GNB 31,31,38,Peyton Manning pass complete to Reggie Wayne for 9 yards (tackle by Michael Hawthorne),3.310,4.110
4,4:45,1,10,GNB 22,31,38,Edgerrin James right guard for -2 yards (tackle by Kabeer Gbaja-Biamila and Cletidus Hunt),4.110,3.290
4,4:07,2,12,GNB 24,31,38,Peyton Manning pass complete to Reggie Wayne for 15 yards (tackle by Mark Roman),3.290,5.140
4,3:11,,,,31,38,Timeout #1 by Indianapolis Colts,0.000,5.140
4,3:11,1,9,GNB 9,31,38,Edgerrin James up the middle for 5 yards (tackle by Darren Sharper),5.140,5.340
4,3:01,,,,31,38,Timeout #1 by Green Bay Packers,0.000,5.340
4,3:01,2,4,GNB 4,31,38,Edgerrin James right guard for no gain (tackle by Nick Barnett and Corey Williams),5.340,4.490
4,2:54,,,,31,38,Timeout #2 by Green Bay Packers,0.000,4.490
4,2:54,3,4,GNB 4,31,38,"Peyton Manning pass incomplete intended for Marvin Harrison. Penalty on Na'il Diggs: Defensive Offside (Declined), Penalty on Al Harris: Defensive Holding, 2 yards (no play)",4.490,6.740
4,2:54,1,2,GNB 2,31,38,Edgerrin James up the middle for 1 yard (tackle by Na'il Diggs),6.740,5.910
4,2:00,2,1,GNB 1,31,38,Edgerrin James up the middle for no gain (tackle by Nick Barnett and Cletidus Hunt),5.910,5.170
4,1:55,,,,31,38,Timeout #3 by Green Bay Packers,0.000,5.170
4,1:55,3,1,GNB 1,31,44,"Edgerrin James right tackle for 1 yard, touchdown",5.170,7.000
4,,,,GNB 2,31,45,Mike Vanderjagt kicks extra point good,0.000,0.000
4,,,,IND 30,31,45,"Mike Vanderjagt kicks off 38 yards, returned by William Henderson for 6 yards (tackle by Gerome Sapp)",0.000,1.470
4,1:40,1,10,GNB 38,31,45,Doug Pederson pass complete to Tony Fisher for 9 yards (tackle by David Thornton),1.470,2.140
4,1:22,2,1,GNB 47,31,45,Doug Pederson pass complete to Bubba Franks for 8 yards (tackle by Nick Harper),2.140,2.590
4,1:05,1,10,IND 45,31,45,Doug Pederson pass complete to Robert Ferguson for 11 yards (tackle by Cory Bird),2.590,3.310
4,0:48,1,10,IND 34,31,45,Doug Pederson pass complete to Tony Fisher for 6 yards (tackle by David Thornton),3.310,3.580
4,0:32,2,4,IND 28,31,45,Doug Pederson pass incomplete intended for Donald Driver,3.580,2.870
4,0:28,3,4,IND 28,31,45,Doug Pederson pass incomplete intended for David Martin is intercepted by David Thornton at IND-20 and returned for 5 yards (tackle by David Martin),2.870,-0.610
4,0:23,1,10,IND 25,31,45,Peyton Manning kneels for -1 yards,0.610,-0.070
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
