Unnamed: 0,SEA,DAL
First Downs,18,18
Rush-Yds-TDs,30-162-1,29-163-0
Cmp-Att-Yd-TD-INT,17-30-221-0-3,19-31-279-2-0
Sacked-Yards,1-2,0-0
Net Pass Yards,219,279
Total Yards,381,442
Fumbles-Lost,0-0,1-1
Turnovers,3,1
Penalties-Yards,10-88,7-82
Third Down Conv.,2-10,6-14
Fourth Down Conv.,1-2,0-0
Time of Possession,30:33,29:27
