Quarter,Time,Down,ToGo,Location,SEA,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Steven Hauschka kicks off 64 yards, returned by Kevin Ogletree for 19 yards (tackle by Anthony Hargrove)",0.000,0.280
1,15:00,1,10,DAL 20,0,0,"Penalty on Jason Witten: False Start, 5 yards (no play)",0.280,-0.310
1,14:54,1,15,DAL 15,0,0,DeMarco Murray right tackle for 2 yards (tackle by K.J. Wright),-0.310,-0.790
1,14:16,2,13,DAL 17,0,0,Tony Romo pass complete short middle to Laurent Robinson for 7 yards (tackle by Richard Sherman),-0.790,-0.430
1,13:42,,,,0,0,Timeout #1 by Seattle Seahawks,0.000,-0.430
1,13:42,3,6,DAL 24,0,0,"Penalty on Montrae Holland: False Start, 5 yards (no play)",-0.430,-1.140
1,13:42,3,11,DAL 19,0,0,Tony Romo pass complete short right to DeMarco Murray for 9 yards (tackle by David Hawthorne and Richard Sherman),-1.140,-1.500
1,13:01,4,2,DAL 28,0,0,"Chris Jones punts 52 yards, fair catch by Leon Washington",-1.500,-0.280
1,12:54,1,10,SEA 20,0,0,Marshawn Lynch left guard for 4 yards (tackle by Bradie James),0.280,0.270
1,12:21,2,6,SEA 24,0,0,Tarvaris Jackson pass complete short right to Anthony McCoy for 13 yards (tackle by Terence Newman),0.270,1.400
1,12:21,1,10,SEA 37,0,0,"Penalty on Anthony McCoy: False Start, 5 yards (no play)",1.400,1.070
1,11:30,1,15,SEA 32,0,0,Marshawn Lynch up the middle for 4 yards (tackle by Barry Church),1.070,0.720
1,10:48,2,11,SEA 36,0,0,Tarvaris Jackson pass incomplete short right intended for Sidney Rice (defended by Terence Newman),0.720,0.040
1,10:43,3,11,SEA 36,0,0,Tarvaris Jackson pass incomplete deep middle intended for Doug Baldwin,0.040,-0.980
1,10:38,4,11,SEA 36,0,0,"Jon Ryan punts 58 yards, returned by Dez Bryant for -4 yards (tackle by Kennard Cox)",-0.980,0.380
1,10:27,1,10,DAL 2,0,0,Tony Romo pass complete deep middle to Miles Austin for 16 yards (tackle by Kam Chancellor),-0.380,0.040
1,9:54,1,10,DAL 18,0,0,"DeMarco Murray left end for 4 yards (tackle by Brandon Browner). Penalty on Tony Fiammetta: Offensive Holding, 9 yards (no play)",0.040,-0.720
1,9:24,1,19,DAL 9,0,0,Tony Romo pass complete short left to DeMarco Murray for 17 yards (tackle by Earl Thomas),-0.720,0.680
1,8:56,2,2,DAL 26,0,0,DeMarco Murray left tackle for 4 yards (tackle by Red Bryant and Clinton McDonald),0.680,0.940
1,8:14,1,10,DAL 30,0,0,Tony Romo pass complete deep left to Dez Bryant for 39 yards (tackle by Kam Chancellor),0.940,3.510
1,7:44,1,10,SEA 31,0,0,Tony Romo pass complete short middle to Jason Witten for 6 yards (tackle by David Hawthorne),3.510,3.780
1,7:08,2,4,SEA 25,0,0,DeMarco Murray right end for 3 yards (tackle by Richard Sherman),3.780,3.470
1,6:34,3,1,SEA 22,0,0,DeMarco Murray left end for 14 yards (tackle by Earl Thomas),3.470,5.370
1,5:49,1,8,SEA 8,0,0,Phillip Tanner left tackle for 3 yards (tackle by Earl Thomas),5.370,5.150
1,5:17,2,5,SEA 5,0,0,Tony Romo pass incomplete short right intended for Miles Austin,5.150,4.260
1,5:10,3,5,SEA 5,0,0,Tony Romo up the middle for 3 yards (tackle by LeRoy Hill),4.260,3.250
1,4:30,4,2,SEA 2,0,3,Dan Bailey 20 yard field goal good,3.250,3.000
1,,,,DAL 35,0,3,"David Buehler kicks off 65 yards, touchback",0.000,0.280
1,4:25,1,10,SEA 20,0,3,Marshawn Lynch left tackle for 9 yards (tackle by Terence Newman),0.280,0.950
1,3:51,2,1,SEA 29,0,3,Tarvaris Jackson pass complete short right to Sidney Rice for 9 yards (tackle by Terence Newman),0.950,1.470
1,3:13,1,10,SEA 38,0,3,Tarvaris Jackson pass complete short left to Justin Forsett for 1 yard (tackle by DeMarcus Ware),1.470,1.060
1,2:36,2,9,SEA 39,0,3,Marshawn Lynch up the middle for 4 yards (tackle by Keith Brooking and Bradie James),1.060,0.890
1,2:01,3,5,SEA 43,0,3,"Tarvaris Jackson pass incomplete short left intended for Mike Williams. Penalty on Alan Ball: Defensive Pass Interference, 23 yards (no play)",0.890,3.310
1,1:50,1,10,DAL 34,0,3,Tarvaris Jackson right end for 4 yards (tackle by Victor Butler),3.310,3.310
1,1:01,2,6,DAL 30,0,3,Marshawn Lynch right tackle for 3 yards (tackle by Keith Brooking),3.310,3.010
1,0:17,3,3,DAL 27,0,3,Tarvaris Jackson pass incomplete short right intended for Doug Baldwin (defended by Gerald Sensabaugh),3.010,1.770
1,0:09,4,3,DAL 27,3,3,Steven Hauschka 45 yard field goal good,1.770,3.000
1,,,,SEA 35,3,3,"Steven Hauschka kicks off 73 yards, returned by Kevin Ogletree for 20 yards (tackle by Atari Bigby)",0.000,-0.350
Quarter,Time,Down,ToGo,Location,SEA,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DAL 12,3,3,Tony Romo pass incomplete short middle intended for Dez Bryant,-0.350,-0.780
2,14:55,2,10,DAL 12,3,3,DeMarco Murray left tackle for 4 yards (tackle by David Hawthorne),-0.780,-0.950
2,14:19,3,6,DAL 16,3,3,Tony Romo pass complete short middle to Dez Bryant for 10 yards (tackle by Roy Lewis),-0.950,0.670
2,13:35,1,10,DAL 26,3,3,Tony Romo pass incomplete short right intended for DeMarco Murray,0.670,0.130
2,13:29,2,10,DAL 26,3,3,DeMarco Murray right end for 6 yards (tackle by Brandon Mebane),0.130,0.230
2,12:45,3,4,DAL 32,3,3,Tony Romo pass complete deep right to Miles Austin for 37 yards (tackle by Earl Thomas),0.230,3.510
2,12:15,1,10,SEA 31,3,3,Tony Romo pass complete short middle to Laurent Robinson for 8 yards (tackle by LeRoy Hill),3.510,4.050
2,11:41,2,2,SEA 23,3,3,DeMarco Murray left guard for 22 yards (tackle by Earl Thomas). Penalty on Earl Thomas: Face Mask (15 Yards),4.050,6.970
2,11:16,1,1,SEA 1,3,3,Tony Romo pass incomplete short middle intended for John Phillips,6.970,5.910
2,11:11,2,1,SEA 1,3,3,DeMarco Murray left end for -1 yards (tackle by David Hawthorne),5.910,4.950
2,10:33,3,2,SEA 2,3,3,Tony Romo pass incomplete short right intended for Jason Witten,4.950,3.250
2,10:27,4,2,SEA 2,3,6,Dan Bailey 20 yard field goal good,3.250,3.000
2,,,,DAL 35,3,6,"David Buehler kicks off 63 yards, returned by Leon Washington for no gain. Penalty on Jesse Holley: Unnecessary Roughness, 15 yards",0.000,0.280
2,10:18,1,10,SEA 20,3,6,Marshawn Lynch left tackle for 3 yards (tackle by Sean Lissemore),0.280,0.140
2,9:41,2,7,SEA 23,3,6,Tarvaris Jackson pass incomplete deep right intended for Sidney Rice,0.140,-0.560
