Unnamed: 0,OAK,SDG
First Downs,22,18
Rush-Yds-TDs,52-251-3,8-21-0
Cmp-Att-Yd-TD-INT,10-16-117-1-0,23-39-280-1-1
Sacked-Yards,1-0,4-15
Net Pass Yards,117,265
Total Yards,368,286
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,13-105,3-19
Third Down Conv.,8-15,3-10
Fourth Down Conv.,2-2,0-2
Time of Possession,38:39,21:21
