Quarter,Time,Tm,Detail,OAK,SDG
1.0,8:35,Raiders,Jason Campbell 9 yard rush (Sebastian Janikowski kick),7,0
,0:30,Raiders,Jacoby Ford 4 yard pass from Jason Campbell (Sebastian Janikowski kick),14,0
2.0,11:05,Chargers,Nate Kaeding 39 yard field goal,14,3
,4:07,Raiders,Michael Bush 7 yard rush (Sebastian Janikowski kick),21,3
3.0,0:44,Chargers,Nate Kaeding 33 yard field goal,21,6
4.0,9:59,Chargers,Antonio Gates 4 yard pass from Philip Rivers (Nate Kaeding kick),21,13
,4:35,Raiders,Darren McFadden 7 yard rush (Sebastian Janikowski kick),28,13
