Quarter,Time,Down,ToGo,Location,OAK,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,OAK 30,0,0,"Sebastian Janikowski kicks off 71 yards, returned by Darren Sproles for 19 yards (tackle by Travis Goethel)",0.000,0.040
1,14:56,1,10,SDG 18,0,0,Philip Rivers pass complete short right to Mike Tolbert for 2 yards (tackle by Tyvon Branch),0.040,-0.130
1,14:14,2,8,SDG 20,0,0,Mike Tolbert left end for 7 yards (tackle by Rolando McClain),-0.130,-0.020
1,13:35,3,1,SDG 27,0,0,"Penalty on Richard Seymour: Encroachment, 5 yards (no play)",-0.020,1.070
1,13:12,1,10,SDG 32,0,0,Philip Rivers sacked by Michael Huff for -3 yards,1.070,0.120
1,12:36,2,13,SDG 29,0,0,Philip Rivers pass incomplete deep left intended for Seyi Ajirotutu,0.120,-0.560
1,12:31,3,13,SDG 29,0,0,Philip Rivers pass incomplete deep right intended for Seyi Ajirotutu,-0.560,-1.440
1,12:24,4,13,SDG 29,0,0,"Mike Scifres punts 57 yards, returned by Johnnie Lee Higgins for 16 yards (tackle by Mike Windt)",-1.440,-0.940
1,12:13,1,10,OAK 30,0,0,Darren McFadden middle for 2 yards (tackle by Paul Oliver),0.940,0.660
1,11:41,2,8,OAK 32,0,0,Darren McFadden left end for 5 yards (tackle by Eric Weddle),0.660,0.630
1,11:01,3,3,OAK 37,0,0,Jason Campbell pass incomplete short right intended for Jacoby Ford,0.630,-0.910
1,10:57,4,3,OAK 37,0,0,"Shane Lechler punts 46 yards, muffed catch by Darren Sproles, recovered by Hiram Eugene and returned for no gain",-0.910,4.370
1,10:45,1,10,SDG 18,0,0,Jason Campbell pass complete short left to Louis Murphy for -1 yards (tackle by Antoine Cason),4.370,3.670
1,10:07,2,11,SDG 19,0,0,Darren McFadden middle for 4 yards (tackle by Antonio Garay),3.670,3.460
1,9:26,3,7,SDG 15,0,0,Jason Campbell right end for 6 yards (tackle by Paul Oliver),3.460,2.980
1,8:41,,,,0,0,Timeout #1 by Oakland Raiders,0.000,2.980
1,8:41,4,1,SDG 9,6,0,"Jason Campbell left end for 9 yards, touchdown",2.980,7.000
1,,,,SDG 2,7,0,Sebastian Janikowski kicks extra point good,0.000,0.000
1,,,,OAK 30,7,0,"Sebastian Janikowski kicks off 57 yards, returned by Jacob Hester for 11 yards (tackle by Michael Mitchell). Penalty on Quinton Teal: Offensive Holding, 10 yards",0.000,-0.280
1,8:28,1,10,SDG 14,7,0,Mike Tolbert middle for no gain (tackle by Rolando McClain and John Henderson),-0.280,-0.750
1,7:47,2,10,SDG 14,7,0,Philip Rivers pass complete short right to Malcom Floyd for 19 yards (tackle by Stanford Routt),-0.750,1.140
1,7:08,1,10,SDG 33,7,0,Philip Rivers pass incomplete deep left intended for Malcom Floyd is intercepted by Michael Huff at OAK-44 and returned for 15 yards,1.140,-2.850
1,7:06,1,10,SDG 41,7,0,Jason Campbell pass complete short right to Marcel Reece for 11 yards (tackle by Quentin Jammer),2.850,3.580
1,6:27,1,10,SDG 30,7,0,Darren McFadden middle for 6 yards (tackle by Brandon Siler and Luis Castillo),3.580,3.840
1,5:56,2,4,SDG 24,7,0,Darren McFadden middle for 2 yards (tackle by Kevin Burnett),3.840,3.400
1,5:19,3,2,SDG 22,7,0,Darren McFadden left end for 1 yard (tackle by Jacques Cesaire),3.400,2.210
1,4:42,4,1,SDG 21,7,0,Jason Campbell middle for 3 yards (tackle by Jacques Cesaire),2.210,4.370
1,4:10,1,10,SDG 18,7,0,Michael Bush left end for 3 yards (tackle by Kevin Burnett and Antoine Cason),4.370,4.250
1,3:25,2,7,SDG 15,7,0,Jason Campbell pass complete short middle to Zach Miller for 5 yards (tackle by Paul Oliver),4.250,4.510
1,2:46,3,2,SDG 10,7,0,Michael Bush right end for 2 yards (tackle by Luis Castillo and Ogemdi Nwagbuo),4.510,5.370
1,2:01,1,8,SDG 8,7,0,Michael Bush right tackle for 4 yards (tackle by Eric Weddle and Paul Oliver),5.370,5.340
1,1:18,2,4,SDG 4,7,0,Michael Bush left guard for no gain (tackle by Eric Weddle and Shaun Phillips),5.340,4.490
1,0:35,3,4,SDG 4,13,0,"Jason Campbell pass complete short right to Jacoby Ford for 4 yards, touchdown",4.490,7.000
1,,,,SDG 2,14,0,Sebastian Janikowski kicks extra point good,0.000,0.000
1,,,,OAK 30,14,0,"Sebastian Janikowski kicks off 70 yards, returned by Darren Sproles for 31 yards (tackle by Stevie Brown)",0.000,1.000
1,0:23,1,10,SDG 31,14,0,Mike Tolbert left tackle for 2 yards (tackle by Rolando McClain and Quentin Groves),1.000,0.730
Quarter,Time,Down,ToGo,Location,OAK,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,SDG 33,14,0,Philip Rivers pass complete short middle to Malcom Floyd for 7 yards (tackle by Stanford Routt),0.730,0.960
2,14:28,3,1,SDG 40,14,0,"Penalty on Tommy Kelly: Encroachment, 5 yards (no play)",0.960,1.930
2,14:13,1,10,SDG 45,14,0,Philip Rivers pass complete short middle to Mike Tolbert for 7 yards (tackle by Kamerion Wimbley),1.930,2.330
2,13:28,2,3,OAK 48,14,0,Mike Tolbert left end for -1 yards (tackle by Michael Mitchell and Tommy Kelly),2.330,1.490
2,12:42,3,4,OAK 49,14,0,Philip Rivers pass complete deep right to Malcom Floyd for 24 yards (tackle by Stevie Brown),1.490,3.910
2,11:58,1,10,OAK 25,14,0,Mike Tolbert left end for 4 yards (tackle by Michael Huff),3.910,3.900
2,11:18,2,6,OAK 21,14,0,Philip Rivers pass incomplete short left intended for Legedu Naanee,3.900,3.200
2,11:14,3,6,OAK 21,14,0,Philip Rivers pass incomplete short middle intended for Seyi Ajirotutu,3.200,2.080
2,11:09,4,6,OAK 21,14,3,Nate Kaeding 39 yard field goal good,2.080,3.000
2,,,,SDG 30,14,3,"Nate Kaeding kicks off 63 yards, returned by Jacoby Ford for 33 yards (tackle by Tyrone Carter). Penalty on Ricky Brown: Offensive Holding, 10 yards",0.000,0.280
2,10:59,1,10,OAK 20,14,3,Darren McFadden middle for 3 yards (tackle by Ogemdi Nwagbuo),0.280,0.140
2,10:23,2,7,OAK 23,14,3,Jason Campbell pass complete short right to Darren McFadden for 7 yards (tackle by Shaun Phillips),0.140,0.940
2,9:45,1,10,OAK 30,14,3,Darren McFadden right tackle for 1 yard (tackle by Brandon Siler and Eric Weddle),0.940,0.530
2,9:04,2,9,OAK 31,14,3,Jason Campbell for 12 yards (tackle by Luis Castillo),0.530,1.800
2,8:34,1,10,OAK 43,14,3,Jason Campbell pass complete short right to Marcel Reece for 22 yards (tackle by Kevin Burnett),1.800,3.250
2,7:47,1,10,SDG 35,14,3,Darrius Heyward-Bey right end for 14 yards (tackle by Larry English),3.250,4.170
2,7:06,1,10,SDG 21,14,3,Michael Bush left end for 4 yards (tackle by Antoine Cason),4.170,4.200
2,6:31,2,6,SDG 17,14,3,Michael Bush middle for 4 yards (tackle by Brandon Siler and Antwan Barnes),4.200,4.240
2,5:49,3,2,SDG 13,14,3,"Penalty on Robert Gallery: False Start, 6 yards (no play)",4.240,3.180
2,5:27,3,8,SDG 19,14,3,Jason Campbell middle for 9 yards (tackle by Paul Oliver),3.180,4.910
2,4:50,1,10,SDG 10,14,3,Michael Bush middle for 3 yards (tackle by Brandon Siler and Antonio Garay),4.910,4.760
2,4:13,2,7,SDG 7,20,3,"Michael Bush middle for 7 yards, touchdown",4.760,7.000
2,,,,SDG 2,21,3,Sebastian Janikowski kicks extra point good,0.000,0.000
2,,,,OAK 30,21,3,"Sebastian Janikowski kicks off 72 yards, touchback",0.000,0.280
2,4:07,1,10,SDG 20,21,3,Philip Rivers pass complete short middle to Mike Tolbert for 7 yards (tackle by Rolando McClain),0.280,0.680
2,3:25,2,3,SDG 27,21,3,Philip Rivers pass complete short middle to Randy McMichael for 9 yards (tackle by Kamerion Wimbley),0.680,1.330
2,2:52,1,10,SDG 36,21,3,Philip Rivers pass complete deep right to Antonio Gates for 24 yards (tackle by Kamerion Wimbley),1.330,2.920
2,2:22,1,10,OAK 40,21,3,Philip Rivers sacked by Tommy Kelly for -5 yards,2.920,1.700
