Unnamed: 0,ARI,JAX
First Downs,23,20
Rush-Yds-TDs,30-91-3,29-159-1
Cmp-Att-Yd-TD-INT,28-34-316-0-1,22-34-219-1-2
Sacked-Yards,0-0,3-17
Net Pass Yards,316,202
Total Yards,407,361
Fumbles-Lost,1-0,4-2
Turnovers,1,4
Penalties-Yards,7-58,4-40
Third Down Conv.,1-9,2-11
Fourth Down Conv.,2-2,1-1
Time of Possession,32:54,27:06
