Quarter,Time,Tm,Detail,ARI,JAX
1.0,6:42,Cardinals,Kyler Murray 1 yard rush (Matt Prater kick),7,0
2.0,0:17,Jaguars,DJ Chark 12 yard pass from Trevor Lawrence (Josh Lambo kick),7,7
,0:00,Jaguars,Jamal Agnew 109 yard field goal return (Josh Lambo kick failed),7,13
3.0,7:38,Cardinals,Matt Prater 34 yard field goal,10,13
,3:25,Jaguars,James Robinson 4 yard rush (Josh Lambo kick failed),10,19
,1:21,Cardinals,James Conner 4 yard rush (Matt Prater kick),17,19
,0:24,Cardinals,Byron Murphy 29 yard interception return (Matt Prater kick),24,19
4.0,6:49,Cardinals,James Conner 1 yard rush (Matt Prater kick),31,19
