Quarter,Time,Tm,Detail,OAK,DEN
1,5:02,Broncos,Brandon Stokley 9 yard pass from Jay Cutler (Jason Elam kick),0,7
2,10:26,Raiders,Sebastian Janikowski 38 yard field goal,3,7
,7:34,Broncos,Cecil Sapp 4 yard rush (Jason Elam kick),3,14
,0:18,Broncos,Jason Elam 23 yard field goal,3,17
3,5:19,Raiders,Jerry Porter 46 yard pass from Josh McCown (Sebastian Janikowski kick),10,17
4,14:15,Raiders,"Safety,",12,17
,8:55,Raiders,Thomas Howard 44 yard interception return (Ronald Curry pass from Josh McCown),20,17
,2:18,Broncos,Jason Elam 20 yard field goal,20,20
OT,5:48,Broncos,Jason Elam 23 yard field goal,20,23
