Quarter,Time,Down,ToGo,Location,OAK,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Todd Sauerbrun kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,OAK 20,0,0,LaMont Jordan middle for 19 yards (tackle by Dre' Bly),0.280,1.530
1,14:29,1,10,OAK 39,0,0,LaMont Jordan right end for 2 yards (tackle by Ian Gold),1.530,1.260
1,13:54,2,8,OAK 41,0,0,LaMont Jordan left end for 1 yard (tackle by Champ Bailey),1.260,0.700
1,13:13,3,7,OAK 42,0,0,"Penalty on Barry Sims: False Start, 5 yards (no play)",0.700,0.040
1,12:51,3,12,OAK 37,0,0,Josh McCown sacked by Elvis Dumervil for -1 yards,0.040,-0.980
1,12:43,4,13,OAK 36,0,0,"Shane Lechler punts 51 yards, returned by Domenik Hixon for 6 yards (tackle by Kirk Morrison)",-0.980,-0.150
1,12:33,1,10,DEN 19,0,0,Travis Henry left end for 11 yards (tackle by Thomas Howard),0.150,0.940
1,12:16,1,10,DEN 30,0,0,Jay Cutler pass complete short left to Brandon Marshall for 16 yards (tackle by Stuart Schweigert),0.940,1.990
1,11:38,1,10,DEN 46,0,0,Travis Henry right guard for 6 yards (tackle by Sam Williams),1.990,2.260
1,10:58,2,4,OAK 48,0,0,Jay Cutler pass incomplete deep right intended for Selvin Young (defended by Kirk Morrison),2.260,1.550
1,10:52,3,4,OAK 48,0,0,"Jay Cutler for no gain. Jay Cutler fumbles, recovered by Jay Cutler at DEN-46",1.550,-0.320
1,10:27,4,10,DEN 46,0,0,Todd Sauerbrun punts 53 yards,-0.320,0.380
1,10:13,1,10,OAK 1,0,0,LaMont Jordan right guard for no gain (tackle by D.J. Williams),-0.380,-0.780
1,9:36,2,10,OAK 1,0,0,Josh McCown pass complete short left to Justin Griffith for no gain,-0.780,-1.420
1,8:56,3,10,OAK 1,0,0,Josh McCown pass incomplete deep right intended for Jerry Porter is intercepted by Champ Bailey at OAK-29,-1.420,-3.640
1,8:50,1,10,OAK 29,0,0,Jay Cutler sacked by Michael Huff for 0 yards,3.640,3.100
1,8:21,2,10,OAK 29,0,0,Travis Henry left end for 1 yard (tackle by Nnamdi Asomugha),3.100,2.540
1,7:42,3,9,OAK 28,0,0,Jay Cutler pass complete short right to Brandon Stokley for 11 yards (tackle by Stanford Routt),2.540,4.440
1,6:54,3,9,OAK 28,0,0,Timeout #1 by Denver Broncos,2.540,4.440
1,6:54,1,10,OAK 17,0,0,Travis Henry right end for 2 yards (tackle by Thomas Howard),4.440,4.150
1,6:11,2,8,OAK 15,0,0,Jay Cutler pass incomplete short left intended for Javon Walker,4.150,3.340
1,6:05,3,8,OAK 15,0,0,Jay Cutler pass complete short middle to Brandon Marshall for 11 yards (tackle by Thomas Howard and Michael Huff),3.340,6.280
1,5:18,1,4,OAK 4,0,0,Jay Cutler pass incomplete short left intended for Brandon Marshall,6.280,5.340
1,5:14,2,4,OAK 4,0,0,"Jay Cutler right tackle for 3 yards (tackle by Jay Richardson). Penalty on Erik Pears: Illegal Formation, 5 yards (no play)",5.340,4.380
1,5:08,2,9,OAK 9,0,6,"Jay Cutler pass complete short middle to Brandon Stokley for 9 yards, touchdown",4.380,7.000
1,5:08,,,OAK 2,0,7,Jason Elam kicks extra point good,0.000,0.000
1,5:08,,,DEN 30,0,7,"Todd Sauerbrun kicks off 70 yards, touchback",0.000,0.280
1,5:02,1,10,OAK 20,0,7,Josh McCown pass incomplete deep right intended for Ronald Curry,0.280,-0.270
1,4:57,2,10,OAK 20,0,7,"LaMont Jordan middle for 2 yards (tackle by John Engelberger). Penalty on Sam Adams: Defensive Offside, 5 yards (no play)",-0.270,0.410
1,4:35,2,5,OAK 25,0,7,LaMont Jordan left tackle for 4 yards (tackle by John Lynch),0.410,0.230
1,3:58,2,5,OAK 25,0,7,Timeout #2 by Denver Broncos,0.410,0.230
1,3:58,3,1,OAK 29,0,7,LaMont Jordan right tackle for 2 yards (tackle by D.J. Williams and Sam Adams),0.230,1.000
1,3:24,1,10,OAK 31,0,7,LaMont Jordan left tackle for 6 yards (tackle by Antwon Burton),1.000,1.270
1,2:51,2,4,OAK 37,0,7,LaMont Jordan left guard for 2 yards (tackle by Amon Gordon),1.270,0.830
1,2:11,3,2,OAK 39,0,7,Justin Fargas left tackle for 4 yards (tackle by Marcus Thomas),0.830,1.800
1,1:37,1,10,OAK 43,0,7,Josh McCown pass complete short middle to Zach Miller for 5 yards (tackle by Ian Gold),1.800,1.930
1,1:01,2,5,OAK 48,0,7,Josh McCown pass complete short left to Ronald Curry for 7 yards (tackle by Nick Ferguson),1.930,2.590
