Unnamed: 0,OAK,DEN
First Downs,11,26
Rush-Yds-TDs,35-200-0,38-181-1
Cmp-Att-Yd-TD-INT,8-17-73-1-3,23-33-269-1-2
Sacked-Yards,4-20,2-9
Net Pass Yards,53,260
Total Yards,253,441
Fumbles-Lost,3-0,1-0
Turnovers,3,2
Penalties-Yards,10-70,6-34
Third Down Conv.,6-16,9-17
Fourth Down Conv.,1-1,1-1
Time of Possession,30:30,38:42
