Unnamed: 0,LAC,JAX
First Downs,16,20
Rush-Yds-TDs,30-87-0,27-135-1
Cmp-Att-Yd-TD-INT,21-37-235-2-1,28-51-273-1-2
Sacked-Yards,0-0,3-10
Net Pass Yards,235,263
Total Yards,322,398
Fumbles-Lost,2-1,0-0
Turnovers,2,2
Penalties-Yards,7-77,9-106
Third Down Conv.,3-15,5-18
Fourth Down Conv.,0-0,1-2
Time of Possession,31:47,35:01
