Quarter,Time,Tm,Detail,LAC,JAX
1,0:24,Jaguars,Corey Grant 56 yard rush (Josh Lambo kick failed),0,6
2,0:47,Chargers,Austin Ekeler 28 yard pass from Philip Rivers (Nick Novak kick),7,6
3,10:29,Chargers,Austin Ekeler 22 yard pass from Philip Rivers (Nick Novak kick),14,6
,2:03,Jaguars,Marqise Lee 6 yard pass from Blake Bortles (Marqise Lee pass from Blake Bortles),14,14
4,10:35,Chargers,Nick Novak 50 yard field goal,17,14
,0:03,Jaguars,Josh Lambo 34 yard field goal,17,17
OT,3:12,Jaguars,Josh Lambo 30 yard field goal,17,20
