Quarter,Time,Down,ToGo,Location,LAC,JAX,Detail,EPB,EPA
1,7:43,4,2,LAC 15,0,0,"Drew Kaser punts 61 yards, returned by Jaydon Mickens for 14 yards (tackle by Rayshawn Jenkins)",-2.440,-1.470
1,7:30,1,10,JAX 38,0,0,Leonard Fournette middle for 2 yards (tackle by Denzel Perryman),1.470,1.190
1,6:58,2,8,JAX 40,0,0,Blake Bortles pass complete short right to Marqise Lee for 3 yards (tackle by Jatavis Brown),1.190,0.890
1,6:19,3,5,JAX 43,0,0,Blake Bortles pass complete short left to Marqise Lee for 4 yards (tackle by Casey Hayward),0.890,-0.260
1,5:47,4,1,JAX 47,0,0,Brad Nortman punts 43 yards,-0.260,0.380
1,5:32,1,10,LAC 10,0,0,Philip Rivers pass incomplete deep middle intended for Tyrell Williams (defended by Barry Church),-0.380,-0.780
1,5:31,2,10,LAC 10,0,0,Austin Ekeler middle for 9 yards (tackle by Barry Church),-0.780,-0.370
1,4:48,3,1,LAC 19,0,0,Philip Rivers pass incomplete short right intended for Keenan Allen (defended by Jalen Ramsey),-0.370,-2.140
1,4:44,4,1,LAC 19,0,0,"Drew Kaser punts 50 yards. Penalty on Blair Brown: Running Into the Kicker (Offsetting), Penalty on Michael Davis: Illegal Touch Kick (Offsetting) (no play)",-2.140,-2.140
1,4:31,4,1,LAC 19,0,0,"Drew Kaser punts 61 yards, returned by Jaydon Mickens for 9 yards (tackle by Austin Ekeler). Penalty on Lerentee McCray: Offensive Holding, 10 yards",-2.140,0.380
1,4:20,1,10,JAX 10,0,0,Blake Bortles pass complete short middle to Keelan Cole for 13 yards (tackle by Denzel Perryman),-0.380,0.480
1,3:44,1,10,JAX 23,0,0,Blake Bortles sacked by Kyle Emanuel for -4 yards,0.480,-0.670
,,,,,,,"LAC challenged the runner was not down by contact ruling, and the original play was overturned.",,
1,3:36,2,14,JAX 19,0,0,Blake Bortles pass complete short left to Marqise Lee for 11 yards (tackle by Trevor Williams),-0.670,0.170
1,2:56,3,3,JAX 30,0,0,Blake Bortles pass complete short left to T.J. Yeldon for 11 yards (tackle by Denzel Perryman),0.170,1.660
1,2:28,1,10,JAX 41,0,0,Leonard Fournette middle for 4 yards (tackle by Korey Toomer and Joey Bosa),1.660,1.660
1,1:52,2,6,JAX 45,0,0,Leonard Fournette middle for no gain (tackle by Melvin Ingram),1.660,0.960
1,1:05,3,6,JAX 45,0,0,Blake Bortles pass complete short right to T.J. Yeldon for -1 yards (tackle by Tre Boston),0.960,-0.460
1,0:34,4,7,JAX 44,0,6,"Corey Grant middle for 56 yards, touchdown",-0.460,7.000
1,0:24,,,LAC 15,0,6,"Josh Lambo kicks extra point no good, blocked by Corey Liuget",0.000,-1.000
1,0:24,,,JAX 35,0,6,"Josh Lambo kicks off 66 yards, returned by Desmond King for 20 yards (tackle by Jarrod Wilson)",0.000,-0.150
1,0:18,1,10,LAC 19,0,6,Melvin Gordon middle for 1 yard (tackle by Aaron Colvin and Telvin Smith),0.150,-0.200
Quarter,Time,Down,ToGo,Location,LAC,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,LAC 20,0,6,Philip Rivers pass complete short right to Melvin Gordon for 9 yards (tackle by Marcell Dareus),-0.200,0.870
2,14:30,1,10,LAC 29,0,6,Melvin Gordon left end for 5 yards (tackle by Marcell Dareus),0.870,1.000
2,14:01,2,5,LAC 34,0,6,Philip Rivers pass complete short right to Mike Williams for 4 yards (tackle by Jalen Ramsey and Aaron Colvin),1.000,0.830
2,14:01,3,1,LAC 38,0,6,Melvin Gordon middle for 2 yards (tackle by Calais Campbell),0.830,1.600
2,13:03,1,10,LAC 40,0,6,Philip Rivers pass complete short left to Austin Ekeler for 4 yards (tackle by Myles Jack),1.600,1.590
2,12:31,2,6,LAC 44,0,6,Philip Rivers pass complete short middle to Mike Williams for 20 yards (tackle by A.J. Bouye),1.590,3.180
2,11:56,1,10,JAX 36,0,6,Philip Rivers pass incomplete deep middle intended for Travis Benjamin,3.180,2.640
2,11:50,2,10,JAX 36,0,6,Philip Rivers pass complete short right to Melvin Gordon for -2 yards (tackle by Aaron Colvin),2.640,1.690
2,11:07,3,12,JAX 38,0,6,Philip Rivers pass complete short right to Melvin Gordon for 2 yards (tackle by Jalen Ramsey),1.690,0.880
2,10:24,4,10,JAX 36,0,6,"Drew Kaser punts 36 yards, touchback",0.880,-0.280
2,10:18,1,10,JAX 20,0,6,Leonard Fournette left end for no gain (tackle by Denzel Perryman),0.280,-0.270
2,9:41,2,10,JAX 20,0,6,Blake Bortles pass complete short right to Allen Hurns for 3 yards (tackle by Desmond King),-0.270,-0.560
2,9:16,3,7,JAX 23,0,6,Blake Bortles pass complete short right to T.J. Yeldon for 9 yards (tackle by Denzel Perryman),-0.560,1.070
2,8:43,1,10,JAX 32,0,6,T.J. Yeldon left end for 3 yards (tackle by Tenny Palepoi),1.070,0.930
2,8:03,2,7,JAX 35,0,6,Leonard Fournette right end for 6 yards (tackle by Denzel Perryman and Tre Boston),0.930,1.030
2,7:26,3,1,JAX 41,0,6,Leonard Fournette left end for -1 yards (tackle by Jahleel Addae),1.030,-0.720
2,6:55,4,2,JAX 40,0,6,"Brad Nortman punts 60 yards, touchback",-0.720,-0.280
2,6:47,1,10,LAC 20,0,6,Philip Rivers pass incomplete deep right intended for Hunter Henry,0.280,-0.270
2,6:38,2,10,LAC 20,0,6,Philip Rivers pass incomplete short middle intended for Antonio Gates (defended by Abry Jones),-0.270,-0.960
2,6:33,3,10,LAC 20,0,6,Philip Rivers pass incomplete short right intended for Keenan Allen (defended by Aaron Colvin),-0.960,-2.030
2,6:28,4,10,LAC 20,0,6,"Drew Kaser punts 52 yards, returned by Jaydon Mickens for no gain",-2.030,-0.810
2,6:20,1,10,JAX 28,0,6,"Leonard Fournette left end for 7 yards (tackle by Tre Boston). Penalty on Ben Koyack: Illegal Crackback, 14 yards (no play)",0.810,-0.590
2,5:54,1,24,JAX 14,0,6,Chris Ivory middle for 1 yard (tackle by Denzel Perryman),-0.590,-1.640
2,5:19,2,23,JAX 15,0,6,Blake Bortles pass complete short left to Chris Ivory for -5 yards (tackle by Corey Liuget and Jatavis Brown),-1.640,-3.530
2,4:21,3,28,JAX 10,0,6,Blake Bortles pass complete short middle to Marqise Lee for 12 yards (tackle by Tre Boston),-3.530,-1.900
2,3:56,4,16,JAX 22,0,6,"Brad Nortman punts 52 yards, returned by Travis Benjamin for 4 yards (tackle by Donald Payne). Penalty on Rayshawn Jenkins: Unnecessary Roughness, 13 yards",-1.900,0.320
2,3:46,1,10,LAC 13,0,6,Philip Rivers pass complete short right to Derek Watt for 12 yards (tackle by A.J. Bouye),-0.320,0.610
2,3:14,1,10,LAC 25,0,6,Philip Rivers pass complete deep middle to Tyrell Williams for 30 yards (tackle by Tashaun Gipson),0.610,2.590
2,2:46,1,10,JAX 45,0,6,"Philip Rivers for no gain. Philip Rivers fumbles, recovered by Philip Rivers at JAX-47",2.590,1.770
2,2:06,2,12,JAX 47,0,6,Philip Rivers pass incomplete deep left intended for Tyrell Williams,1.770,1.090
2,1:59,3,12,JAX 47,0,6,Philip Rivers pass complete deep middle to Keenan Allen for 17 yards (tackle by Myles Jack),1.090,3.580
2,1:25,1,10,JAX 30,0,6,Melvin Gordon middle for 2 yards (tackle by Myles Jack),3.580,3.300
2,0:56,2,8,JAX 28,6,6,"Philip Rivers pass complete short right to Austin Ekeler for 28 yards, touchdown",3.300,7.000
2,0:47,,,JAX 15,7,6,Nick Novak kicks extra point good,0.000,0.000
2,0:47,,,LAC 35,7,6,"Nick Novak kicks off 65 yards, touchback",0.000,-0.610
2,0:47,1,10,JAX 25,7,6,T.J. Yeldon middle for 8 yards (tackle by Joey Bosa),0.610,1.140
2,0:13,2,2,JAX 33,7,6,T.J. Yeldon right end for no gain (tackle by Damion Square),1.140,0.430
Quarter,Time,Down,ToGo,Location,LAC,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,7,6,"Nick Novak kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,JAX 25,7,6,Leonard Fournette middle for 2 yards (tackle by Joey Bosa),0.610,0.330
3,14:20,2,8,JAX 27,7,6,Blake Bortles pass incomplete deep right intended for Marcedes Lewis (defended by Casey Hayward),0.330,-0.360
3,14:14,3,8,JAX 27,7,6,Blake Bortles sacked by Desmond King for 0 yards. Penalty on Cam Robinson: Offensive Holding (Declined),-0.360,-1.570
3,13:52,4,8,JAX 27,7,6,"Brad Nortman punts 55 yards, returned by Travis Benjamin for 6 yards (tackle by Lerentee McCray)",-1.570,-0.540
3,13:52,1,10,LAC 24,7,6,Travis Benjamin for 13 yards (tackle by Jalen Ramsey),0.540,1.400
3,13:25,1,10,LAC 37,7,6,Melvin Gordon right end for 1 yard (tackle by Calais Campbell),1.400,0.990
3,12:51,2,9,LAC 38,7,6,"Philip Rivers pass incomplete deep left intended for Tyrell Williams. Penalty on A.J. Bouye: Defensive Pass Interference, 22 yards (no play)",0.990,2.920
3,12:46,1,10,JAX 40,7,6,Austin Ekeler middle for 11 yards (tackle by Myles Jack),2.920,3.640
3,11:59,1,10,JAX 29,7,6,Philip Rivers pass complete short right to Austin Ekeler for 9 yards (tackle by Telvin Smith),3.640,4.320
3,11:18,2,1,JAX 20,7,6,Melvin Gordon right end for -2 yards (tackle by Calais Campbell and Malik Jackson),4.320,3.340
3,10:37,3,3,JAX 22,13,6,"Philip Rivers pass complete short right to Austin Ekeler for 22 yards, touchdown. Penalty on Telvin Smith: Unsportsmanlike Conduct, 15 yards",3.340,7.000
3,10:29,,,JAX 15,14,6,Nick Novak kicks extra point good,0.000,0.000
3,10:29,,,,14,6,"Nick Novak kicks off 50 yards, touchback",0.000,-0.610
3,10:29,1,10,JAX 25,14,6,Blake Bortles pass complete deep left to Keelan Cole for 36 yards (tackle by Trevor Williams),0.610,2.980
3,9:42,1,10,LAC 39,14,6,Leonard Fournette left end for -1 yards (tackle by Jahleel Addae),2.980,2.300
3,9:06,2,11,LAC 40,14,6,Blake Bortles sacked by Joey Bosa for -6 yards. Penalty on Cam Robinson: Offensive Holding (Declined),2.300,0.830
3,8:45,3,17,LAC 46,14,6,Blake Bortles left end for 11 yards (tackle by Tre Boston),0.830,0.970
3,8:01,4,6,LAC 35,14,6,Blake Bortles pass incomplete short middle intended for Keelan Cole,0.970,-1.270
3,7:56,1,10,LAC 35,14,6,Philip Rivers pass complete short left to Keenan Allen for 5 yards (tackle by Myles Jack),1.270,1.400
3,7:22,2,5,LAC 40,14,6,Austin Ekeler left end for 5 yards (tackle by Tashaun Gipson),1.400,1.930
3,6:41,1,10,LAC 45,14,6,Philip Rivers pass incomplete short right intended for Derek Watt,1.930,1.380
3,6:35,2,10,LAC 45,14,6,Philip Rivers pass incomplete short right intended for Tyrell Williams,1.380,0.700
3,6:31,3,10,LAC 45,14,6,Philip Rivers pass incomplete short right intended for Melvin Gordon,0.700,-0.390
3,6:26,4,10,LAC 45,14,6,"Drew Kaser punts 42 yards, returned by Jaydon Mickens for 3 yards (tackle by Michael Davis)",-0.390,0.140
3,6:15,1,10,JAX 16,14,6,Blake Bortles pass complete short left to Leonard Fournette for 5 yards (tackle by Denzel Perryman),-0.140,0.150
3,5:37,2,5,JAX 21,14,6,Blake Bortles pass complete short left to Allen Hurns for 6 yards (tackle by Denzel Perryman),0.150,0.740
3,5:02,1,10,JAX 27,14,6,Blake Bortles pass incomplete short middle intended for Leonard Fournette,0.740,0.200
3,4:57,2,10,JAX 27,14,6,Blake Bortles pass incomplete short middle intended for Leonard Fournette,0.200,-0.490
3,4:51,3,10,JAX 27,14,6,Blake Bortles pass complete short middle to Marqise Lee for 19 yards (tackle by Tre Boston),-0.490,1.990
3,4:16,1,10,JAX 46,14,6,Blake Bortles pass incomplete short middle intended for Allen Hurns,1.990,1.450
3,4:12,2,10,JAX 46,14,6,Blake Bortles pass complete short middle to Allen Hurns for 19 yards (tackle by Desmond King),1.450,3.250
3,3:34,1,10,LAC 35,14,6,Blake Bortles pass incomplete deep middle intended for Keelan Cole,3.250,2.700
3,3:27,2,10,LAC 35,14,6,Blake Bortles pass complete short middle to Marcedes Lewis for 21 yards (tackle by Jahleel Addae),2.700,4.650
3,2:48,1,10,LAC 14,14,6,Blake Bortles pass complete short middle to Marcedes Lewis for 8 yards (tackle by Korey Toomer),4.650,5.470
3,2:10,2,2,LAC 6,14,12,"Blake Bortles pass complete short right to Marqise Lee for 6 yards, touchdown",5.470,7.000
3,2:03,,,LAC 2,14,14,"Two Point Attempt: Blake Bortles pass complete to Marqise Lee, conversion succeeds",0.000,1.000
3,2:03,,,JAX 35,14,14,"Josh Lambo kicks off 64 yards, returned by Desmond King for 27 yards (tackle by Donald Payne)",0.000,-0.810
3,1:57,1,10,LAC 28,14,14,Philip Rivers pass complete short right to Antonio Gates for 3 yards (tackle by Paul Posluszny),0.810,0.670
3,1:17,2,7,LAC 31,14,14,Austin Ekeler middle for no gain (tackle by Marcell Dareus and Myles Jack),0.670,-0.030
3,0:35,3,7,LAC 31,14,14,Philip Rivers pass complete short middle to Melvin Gordon for 5 yards (tackle by Telvin Smith),-0.030,-0.980
Quarter,Time,Down,ToGo,Location,LAC,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,2,LAC 36,14,14,"Drew Kaser punts 50 yards, returned by Jaydon Mickens for 3 yards (tackle by James Onwualu)",-0.980,0.060
4,14:50,1,10,JAX 17,14,14,"Penalty on Marcedes Lewis: False Start, 5 yards (no play)",-0.060,-0.510
4,14:50,1,15,JAX 12,14,14,Blake Bortles pass incomplete short middle intended for Tommy Bohanon,-0.510,-1.150
4,14:45,2,15,JAX 12,14,14,Blake Bortles pass incomplete short middle intended for Marcedes Lewis (defended by Jatavis Brown),-1.150,-2.010
4,14:40,3,15,JAX 12,14,14,Blake Bortles pass complete short middle to T.J. Yeldon for 9 yards (tackle by Jahleel Addae and Jatavis Brown),-2.010,-1.960
4,14:06,4,6,JAX 21,14,14,"Brad Nortman punts 60 yards, returned by Travis Benjamin for 4 yards (tackle by Peyton Thompson)",-1.960,-0.480
4,13:54,1,10,LAC 23,14,14,Philip Rivers pass complete short left to Tyrell Williams for 19 yards (tackle by Myles Jack),0.480,1.730
4,13:25,1,10,LAC 42,14,14,Melvin Gordon left end for 3 yards (tackle by Barry Church),1.730,1.590
4,12:44,2,7,LAC 45,14,14,Philip Rivers pass complete deep middle to Keenan Allen for 19 yards (tackle by Telvin Smith),1.590,3.180
4,12:03,1,10,JAX 36,14,14,"Philip Rivers pass complete short middle to Derek Watt for 8 yards (tackle by Telvin Smith). Penalty on Dan Feeney: Offensive Holding, 10 yards (no play)",3.180,2.520
4,11:39,1,20,JAX 46,14,14,Philip Rivers pass incomplete,2.520,1.290
4,11:31,2,20,JAX 46,14,14,Philip Rivers pass complete short middle to Austin Ekeler for 14 yards (tackle by Myles Jack),1.290,2.480
4,10:43,3,6,JAX 32,14,14,Philip Rivers pass incomplete short right intended for Melvin Gordon,2.480,1.250
4,10:38,4,6,JAX 32,17,14,Nick Novak 50 yard field goal good,1.250,3.000
4,10:35,,,LAC 35,17,14,"Nick Novak kicks off 64 yards, returned by Corey Grant for 23 yards (tackle by Derek Watt)",0.000,-0.540
4,10:27,1,10,JAX 24,17,14,Leonard Fournette middle for 2 yards (tackle by Darius Philon),0.540,0.270
4,9:57,2,8,JAX 26,17,14,Blake Bortles pass complete short middle to Allen Hurns for 15 yards (tackle by Korey Toomer and Trevor Williams),0.270,1.660
4,9:19,1,10,JAX 41,17,14,Blake Bortles pass incomplete short right intended for Marcedes Lewis,1.660,1.120
4,9:15,2,10,JAX 41,17,14,Blake Bortles pass incomplete short right intended for Marqise Lee (defended by Tre Boston),1.120,0.430
4,9:11,3,10,JAX 41,17,14,Blake Bortles pass incomplete short left intended for T.J. Yeldon,0.430,-0.650
4,9:06,4,10,JAX 41,17,14,"Brad Nortman punts 30 yards. Penalty on Peyton Thompson: Player Out of Bounds on Punt, 5 yards",-0.650,-1.200
4,8:57,1,10,LAC 34,17,14,Keenan Allen left end for 6 yards (tackle by A.J. Bouye),1.200,1.470
4,8:21,2,4,LAC 40,17,14,Melvin Gordon middle for 3 yards (tackle by Telvin Smith),1.470,1.160
4,8:02,3,1,LAC 43,17,14,Melvin Gordon middle for no gain (tackle by Abry Jones),1.160,-0.520
4,7:41,4,1,LAC 43,17,14,"Drew Kaser punts 36 yards, fair catch by Jaydon Mickens",-0.520,-0.340
4,7:33,1,10,JAX 21,17,14,Blake Bortles middle for 14 yards,0.340,1.270
4,6:52,1,10,JAX 35,17,14,Blake Bortles pass incomplete short right intended for Ben Koyack,1.270,0.720
4,6:51,2,10,JAX 35,17,14,Blake Bortles pass incomplete deep middle intended for Marqise Lee,0.720,0.040
4,6:46,3,10,JAX 35,17,14,Blake Bortles middle for 9 yards (tackle by Jahleel Addae and Tre Boston),0.040,-0.460
4,6:18,4,1,JAX 44,17,14,"Penalty on Cam Robinson: False Start, 5 yards (no play)",-0.460,-0.780
4,6:09,4,6,JAX 39,17,14,"Brad Nortman punts 61 yards, touchback",-0.780,-0.280
4,6:00,1,10,LAC 20,17,14,Austin Ekeler middle for 7 yards (tackle by Paul Posluszny),0.280,0.680
4,5:22,2,3,LAC 27,17,14,Austin Ekeler middle for 3 yards (tackle by Abry Jones and Telvin Smith),0.680,0.940
4,4:22,1,10,LAC 30,17,14,Austin Ekeler middle for 5 yards (tackle by Abry Jones),0.940,1.070
4,3:44,2,5,LAC 35,17,14,Austin Ekeler middle for -4 yards (tackle by Telvin Smith),1.070,-0.160
4,2:58,3,9,LAC 31,17,14,Philip Rivers pass incomplete deep right intended for Travis Benjamin (defended by Jalen Ramsey),-0.160,-1.310
4,2:51,4,9,LAC 31,17,14,"Drew Kaser punts 44 yards, returned by Jaydon Mickens for 4 yards (tackle by Austin Ekeler)",-1.310,-0.870
4,2:40,1,10,JAX 29,17,14,Blake Bortles pass incomplete short middle intended for Chris Ivory,0.870,0.330
4,2:36,2,10,JAX 29,17,14,Blake Bortles pass complete short right to Keelan Cole for 12 yards (tackle by Desmond King),0.330,1.660
4,2:11,1,10,JAX 41,17,14,Blake Bortles pass complete short right to Allen Hurns for 6 yards (tackle by Jahleel Addae),1.660,1.930
4,2:00,2,4,JAX 47,17,14,Blake Bortles pass incomplete short right intended for Allen Hurns is intercepted by Tre Boston at LAC-42,1.930,-1.730
4,1:51,1,10,LAC 42,17,14,"Penalty on Philip Rivers: Delay of Game, 5 yards (no play)",1.730,1.400
4,1:51,1,15,LAC 37,17,14,"Austin Ekeler left end for -1 yards (tackle by Malik Jackson). Austin Ekeler fumbles (forced by Malik Jackson), recovered by Tashaun Gipson at LAC-36 (tackle by Austin Ekeler)",1.400,-3.180
4,1:48,1,10,LAC 36,17,14,"Blake Bortles pass incomplete deep left intended for Keelan Cole. Penalty on Trevor Williams: Defensive Pass Interference, 14 yards (no play)",3.180,4.110
4,1:43,1,10,LAC 22,17,14,Blake Bortles pass incomplete short left intended for T.J. Yeldon,4.110,3.560
4,1:38,2,10,LAC 22,17,14,"Blake Bortles pass incomplete deep right intended for Marqise Lee. Penalty on Marqise Lee: Taunting, 15 yards",3.560,0.890
4,1:33,3,25,LAC 37,17,14,Blake Bortles pass incomplete deep middle intended for Marqise Lee is intercepted by Tre Boston at LAC-10,0.890,0.380
4,1:24,1,10,LAC 10,17,14,Melvin Gordon middle for 3 yards (tackle by Abry Jones),-0.380,0.000
4,1:20,,,,,,Timeout #1 by Jacksonville Jaguars,0.000,0.560
4,1:20,2,7,LAC 13,17,14,Melvin Gordon middle for -1 yards (tackle by Myles Jack),-0.560,0.000
4,1:14,,,,,,Timeout #2 by Jacksonville Jaguars,0.000,1.190
4,1:13,3,8,LAC 12,17,14,Melvin Gordon middle for 4 yards (tackle by Marcell Dareus),-1.190,-2.390
4,1:08,4,4,LAC 16,17,14,"Drew Kaser punts 42 yards, returned by Jaydon Mickens for 6 yards (tackle by Austin Ekeler)",-2.390,-2.130
4,0:58,1,10,JAX 48,17,14,Blake Bortles pass incomplete deep left intended for Keelan Cole (defended by Trevor Williams),2.130,1.580
4,0:50,2,10,JAX 48,17,14,Blake Bortles pass complete short left to Allen Hurns for 6 yards (tackle by Jahleel Addae),1.580,1.680
4,0:29,3,4,LAC 46,17,14,Blake Bortles pass complete short middle to Jaydon Mickens for 11 yards (tackle by Desmond King),1.680,3.250
4,0:24,1,10,LAC 35,17,14,"Blake Bortles pass incomplete short right intended for T.J. Yeldon. Penalty on Joey Bosa: Roughing the Passer, 15 yards (no play)",3.250,0.000
4,0:24,,,,,,Timeout #1 by Los Angeles Chargers,0.000,-4.240
4,0:20,1,10,LAC 20,17,14,Blake Bortles for 2 yards,4.240,3.960
4,0:13,2,8,LAC 18,17,14,Blake Bortles pass complete short right to T.J. Yeldon for 2 yards,3.960,3.520
4,0:07,3,6,LAC 16,17,17,Josh Lambo 34 yard field goal good,3.520,3.000
4,0:03,,,JAX 35,17,17,"Josh Lambo kicks off 43 yards, returned by Tenny Palepoi for no gain",0.000,-0.410
4,0:02,1,10,LAC 22,17,17,Philip Rivers kneels for -1 yards,0.410,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,LAC,JAX,Detail,EPB,EPA
,,,,,,,"Jaguars won the coin toss, Jaguars to receive the overtime kickoff.",,
OT,10:00,,,LAC 35,17,17,"Nick Novak kicks off 64 yards, returned by Corey Grant for 28 yards (tackle by James Onwualu)",0.000,-0.870
OT,9:51,1,10,JAX 29,17,17,Leonard Fournette left end for 4 yards (tackle by Darius Philon),0.870,0.870
OT,9:18,2,6,JAX 33,17,17,Blake Bortles pass complete short right to Leonard Fournette for 8 yards,0.870,1.660
OT,8:46,1,10,JAX 41,17,17,Blake Bortles pass complete short right to T.J. Yeldon for 9 yards (tackle by Jahleel Addae),1.660,2.340
OT,8:08,2,1,,17,17,Blake Bortles pass incomplete short middle intended for Keelan Cole,2.340,1.620
OT,8:02,3,1,,17,17,Leonard Fournette middle for 1 yard (tackle by Jatavis Brown),1.620,2.320
OT,7:22,1,10,LAC 49,17,17,Leonard Fournette middle for 2 yards (tackle by Jatavis Brown),2.320,2.050
OT,6:37,2,8,LAC 47,17,17,Blake Bortles pass incomplete deep right intended for Marqise Lee,2.050,1.360
OT,6:30,3,8,LAC 47,17,17,Blake Bortles pass incomplete short right intended for Jaydon Mickens. Penalty on Josh Wells: Offensive Holding (Declined),1.360,0.130
OT,6:22,4,8,LAC 47,17,17,"Brad Nortman punts 37 yards, fair catch by Travis Benjamin",0.130,0.380
OT,6:14,1,10,LAC 10,17,17,Philip Rivers pass complete short left to Melvin Gordon for 1 yard (tackle by Tashaun Gipson),-0.380,-0.710
OT,5:37,2,9,LAC 11,17,17,Philip Rivers pass incomplete deep right intended for Keenan Allen,-0.710,-1.300
OT,5:31,3,9,LAC 11,17,17,"Philip Rivers pass incomplete deep left intended for Travis Benjamin is intercepted by A.J. Bouye at JAX-47 and returned for 51 yards. Penalty on Aaron Colvin: Taunting, 15 yards",-1.300,-4.440
OT,5:11,1,10,LAC 17,17,17,Leonard Fournette middle for 1 yard (tackle by Kyle Emanuel),4.440,4.000
OT,4:39,2,9,LAC 16,17,17,Leonard Fournette middle for 1 yard (tackle by Melvin Ingram),4.000,3.340
OT,3:54,3,8,LAC 15,17,17,Blake Bortles left end for -2 yards,3.340,0.000
OT,3:17,,,,,,Timeout #1 by Los Angeles Chargers,0.000,-2.310
OT,3:17,4,10,LAC 17,17,17,"Penalty on LAC: Defensive Delay of Game, 5 yards (no play)",2.310,2.680
OT,3:17,4,5,LAC 12,17,20,Josh Lambo 30 yard field goal good,2.680,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
