Quarter,Time,Tm,Detail,NYG,KAN
2.0,14:47,Chiefs,Sean McGrath 5 yard pass from Alex Smith (Ryan Succop kick),0,7
,13:53,Giants,Victor Cruz 69 yard pass from Eli Manning (Josh Brown kick),7,7
,1:55,Chiefs,Ryan Succop 51 yard field goal,7,10
3.0,1:34,Chiefs,Dexter McCluster 89 yard punt return (Ryan Succop kick),7,17
4.0,5:43,Chiefs,Jamaal Charles 2 yard pass from Alex Smith (Ryan Succop kick),7,24
,3:06,Chiefs,Dwayne Bowe 34 yard pass from Alex Smith (Ryan Succop kick),7,31
