Quarter,Time,Down,ToGo,Location,NYG,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Josh Brown kicks off 69 yards, returned by Quintin Demps for 22 yards (tackle by Damontre Moore)",0.000,-0.040
1,14:55,1,10,KAN 18,0,0,Jamaal Charles up the middle for 3 yards (tackle by Jason Pierre-Paul),0.040,0.010
1,14:20,2,7,KAN 21,0,0,Alex Smith up the middle for 6 yards (tackle by Antrel Rolle),0.010,-0.020
1,13:35,3,1,KAN 27,0,0,Alex Smith pass complete short right to Dexter McCluster for 10 yards (tackle by Antrel Rolle),-0.020,1.400
1,13:02,1,10,KAN 37,0,0,Alex Smith pass incomplete short middle intended for Donnie Avery,1.400,0.860
1,12:58,2,10,KAN 37,0,0,Jamaal Charles left guard for 4 yards (tackle by Justin Tuck),0.860,0.700
1,12:21,3,6,KAN 41,0,0,Alex Smith pass incomplete short right intended for Jamaal Charles (defended by Mark Herzlich),0.700,-0.650
1,12:16,4,6,KAN 41,0,0,"Dustin Colquitt punts 56 yards, returned by Rueben Randle for 43 yards (tackle by Dustin Colquitt). Penalty on Justin Trattou: Illegal Block Above the Waist, 8 yards",-0.650,0.380
1,12:00,1,10,NYG 8,0,0,Eli Manning pass complete short right to Da'Rel Scott for no gain,-0.380,-0.780
1,11:19,2,10,NYG 8,0,0,Eli Manning pass incomplete deep right intended for Hakeem Nicks,-0.780,-1.420
1,11:13,3,10,NYG 8,0,0,"Penalty on Eli Manning: Delay of Game, 4 yards (no play)",-1.420,-1.890
1,11:09,3,14,NYG 4,0,0,Da'Rel Scott up the middle for 11 yards (tackle by Dunta Robinson),-1.890,-2.440
1,10:34,4,3,NYG 15,0,0,"Steve Weatherford punts 44 yards, returned by Dexter McCluster for 11 yards (tackle by Damontre Moore). Penalty on Ron Parker: Offensive Holding, 10 yards",-2.440,-1.200
1,10:25,1,10,KAN 34,0,0,Alex Smith pass complete short left to Kevin Brock for 2 yards (tackle by Antrel Rolle),1.200,0.930
1,9:45,2,8,KAN 36,0,0,"Jamaal Charles left end for no gain (tackle by Spencer Paysinger). Penalty on Geoff Schwartz: Offensive Holding, 10 yards (no play)",0.930,-0.420
1,9:15,2,18,KAN 26,0,0,Alex Smith pass complete short right to Dwayne Bowe for 13 yards (tackle by Mark Herzlich),-0.420,0.630
1,8:32,3,5,KAN 39,0,0,Alex Smith pass incomplete short left intended for Donnie Avery,0.630,-0.780
1,8:28,4,5,KAN 39,0,0,"Dustin Colquitt punts 30 yards, muffed catch by Rueben Randle, ball out of bounds at NYG-37",-0.780,-1.400
1,8:18,1,10,NYG 37,0,0,David Wilson right guard for 9 yards (tackle by Derrick Johnson),1.400,2.070
1,7:43,2,1,NYG 46,0,0,David Wilson left tackle for 2 yards (tackle by Dunta Robinson),2.070,2.130
1,7:05,1,10,NYG 48,0,0,"Eli Manning pass incomplete deep left intended for Hakeem Nicks. Penalty on Jim Cordle: Offensive Holding, 10 yards (no play)",2.130,1.470
1,6:58,1,20,NYG 38,0,0,Eli Manning pass complete short right to Victor Cruz for 5 yards (tackle by Derrick Johnson),1.470,0.910
1,6:18,2,15,NYG 43,0,0,Eli Manning pass incomplete short left intended for Victor Cruz (defended by Dunta Robinson),0.910,0.230
1,6:11,3,15,NYG 43,0,0,Da'Rel Scott up the middle for 8 yards (tackle by Derrick Johnson),0.230,0.000
1,5:34,4,7,KAN 49,0,0,"Steve Weatherford punts 45 yards. Penalty on Dezman Moses: Offensive Holding, 2 yards",0.000,0.380
1,5:25,1,10,KAN 2,0,0,Alex Smith left guard for 11 yards (tackle by Prince Amukamara),-0.380,-0.320
1,4:40,1,10,KAN 13,0,0,"Alex Smith pass incomplete deep right intended for Dwayne Bowe. Penalty on Aaron Ross: Defensive Pass Interference, 16 yards (no play)",-0.320,0.870
1,4:35,1,10,KAN 29,0,0,Alex Smith sacked by Spencer Paysinger for 0 yards,0.870,0.330
1,3:50,2,10,KAN 29,0,0,Jamaal Charles up the middle for 2 yards (tackle by Spencer Paysinger),0.330,-0.100
1,3:03,3,8,KAN 31,0,0,Alex Smith up the middle for 9 yards (tackle by Jacquian Williams),-0.100,-0.100
1,2:23,3,8,KAN 31,0,0,Timeout #1 by New York Giants,-0.100,1.600
1,2:23,1,10,KAN 40,0,0,Alex Smith pass complete short right to Sean McGrath for 12 yards (tackle by Aaron Ross),1.600,2.390
1,1:57,1,10,NYG 48,0,0,Alex Smith pass complete deep right to Jamaal Charles for 31 yards (tackle by Mathias Kiwanuka),2.390,4.440
1,1:06,1,10,NYG 17,0,0,Alex Smith pass complete short middle to Dwayne Bowe for 3 yards (tackle by Mark Herzlich),4.440,4.320
1,0:21,2,7,NYG 14,0,0,Alex Smith pass complete short right to Donnie Avery for 9 yards (tackle by Aaron Ross),4.320,6.060
Quarter,Time,Down,ToGo,Location,NYG,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,5,NYG 5,0,0,Alex Smith pass incomplete short right intended for Jamaal Charles,6.060,5.150
2,14:56,2,5,NYG 5,0,0,Alex Smith pass incomplete short middle intended for Jamaal Charles,5.150,4.260
2,14:52,3,5,NYG 5,0,6,"Alex Smith pass complete short middle to Sean McGrath for 5 yards, touchdown",4.260,7.000
2,14:52,,,NYG 2,0,7,Ryan Succop kicks extra point good,0.000,0.000
2,14:52,,,KAN 35,0,7,"Ryan Succop kicks off 69 yards, returned by David Wilson for 30 yards (tackle by Cyrus Gray)",0.000,-0.670
2,14:41,1,10,NYG 26,0,7,Brandon Jacobs left guard for 5 yards (tackle by Tamba Hali),0.670,0.810
2,14:02,2,5,NYG 31,6,7,"Eli Manning pass complete deep right to Victor Cruz for 69 yards, touchdown",0.810,7.000
2,14:02,,,KAN 2,7,7,Josh Brown kicks extra point good,0.000,0.000
2,14:02,,,NYG 35,7,7,"Josh Brown kicks off 65 yards, touchback",0.000,-0.280
2,13:53,1,10,KAN 20,7,7,Jamaal Charles left end for -2 yards (tackle by Terrell Thomas),0.280,-0.630
2,13:22,2,12,KAN 18,7,7,Alex Smith pass complete short left to Jamaal Charles for 7 yards (tackle by Mark Herzlich),-0.630,-0.300
2,12:39,3,5,KAN 25,7,7,Alex Smith pass complete short right to Dexter McCluster for 10 yards (tackle by Spencer Paysinger),-0.300,1.270
2,11:57,1,10,KAN 35,7,7,"Penalty on Eric Fisher: False Start, 5 yards (no play)",1.270,0.940
2,11:35,1,15,KAN 30,7,7,Alex Smith pass complete short middle to Jamaal Charles for 9 yards (tackle by Spencer Paysinger),0.940,1.260
2,10:51,2,6,KAN 39,7,7,Alex Smith pass incomplete short left intended for Donnie Avery,1.260,0.560
2,10:47,3,6,KAN 39,7,7,Alex Smith pass complete short left to Donnie Avery for 14 yards,0.560,2.460
2,10:15,1,10,NYG 47,7,7,Jamaal Charles up the middle for no gain (tackle by Linval Joseph),2.460,1.910
2,9:37,2,10,NYG 47,7,7,Alex Smith pass incomplete short right intended for Jamaal Charles,1.910,1.220
2,9:35,3,10,NYG 47,7,7,Alex Smith pass incomplete deep middle intended for Dwayne Bowe,1.220,0.130
2,9:27,4,10,NYG 47,7,7,"Dustin Colquitt punts 35 yards, fair catch by Rueben Randle",0.130,0.350
2,9:19,1,10,NYG 12,7,7,David Wilson right end for 4 yards (tackle by Justin Houston),-0.350,-0.370
2,8:34,2,6,NYG 16,7,7,Eli Manning pass complete short left to Brandon Jacobs for 5 yards (tackle by Tamba Hali),-0.370,-0.370
2,7:59,3,1,NYG 21,7,7,Eli Manning pass complete short left to Hakeem Nicks for 16 yards (tackle by Sean Smith),-0.370,1.400
2,7:13,1,10,NYG 37,7,7,David Wilson right guard for 1 yard (tackle by Tyson Jackson),1.400,0.990
2,6:34,2,9,NYG 38,7,7,David Wilson left guard for -2 yards (tackle by Akeem Jordan),0.990,0.040
2,5:54,3,11,NYG 36,7,7,"Eli Manning sacked by Tamba Hali for -2 yards. Eli Manning fumbles (forced by Tamba Hali), recovered by Dunta Robinson at NYG-35 (tackle by Will Beatty)",0.040,-3.250
2,5:46,1,10,NYG 35,7,7,Jamaal Charles right tackle for 3 yards (tackle by Mark Herzlich),3.250,3.110
2,5:03,2,7,NYG 32,7,7,"Alex Smith for no gain. Rodney Hudson fumbles, recovered by Spencer Paysinger at NYG-31 (tackle by Geoff Schwartz)",3.110,-1.000
2,4:57,1,10,NYG 31,7,7,Eli Manning pass incomplete short right intended for Bear Pascoe (defended by Derrick Johnson),1.000,0.460
2,4:51,2,10,NYG 31,7,7,David Wilson right guard for 4 yards (tackle by Akeem Jordan),0.460,0.300
2,4:13,3,6,NYG 35,7,7,Eli Manning sacked by Allen Bailey for -8 yards,0.300,-1.570
2,3:59,4,14,NYG 27,7,7,"Steve Weatherford punts 45 yards, returned by Dexter McCluster for 8 yards (tackle by Ryan Mundy)",-1.570,-1.330
2,3:48,1,10,KAN 36,7,7,Alex Smith pass complete deep right to Sean McGrath for 23 yards (tackle by Ryan Mundy),1.330,2.850
