Unnamed: 0,NYG,KAN
First Downs,11,21
Rush-Yds-TDs,21-98-0,28-102-0
Cmp-Att-Yd-TD-INT,18-37-217-1-1,24-41-288-3-2
Sacked-Yards,3-17,1-0
Net Pass Yards,200,288
Total Yards,298,390
Fumbles-Lost,3-2,1-1
Turnovers,3,3
Penalties-Yards,7-65,7-62
Third Down Conv.,1-14,9-16
Fourth Down Conv.,1-2,0-0
Time of Possession,24:04,35:56
