Quarter,Time,Down,ToGo,Location,ARI,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,ARI 30,0,0,"Bill Gramatica kicks off 68 yards, returned by Reuben Droughns for 30 yards (tackle by Nate Poole)",0.000,1.070
1,14:52,1,10,DEN 32,0,0,"Steve Beuerlein for no gain. Steve Beuerlein fumbles, recovered by Steve Beuerlein at DEN-30",1.070,0.260
1,14:18,2,12,DEN 30,0,0,Clinton Portis left tackle for 3 yards (tackle by Russell Davis),0.260,-0.030
1,13:37,3,9,DEN 33,0,0,Steve Beuerlein pass complete to Shannon Sharpe for 6 yards (tackle by Justin Lucas),-0.030,-0.780
1,12:58,4,3,DEN 39,0,0,"Micah Knorr punts 48 yards, returned by Arnold Jackson for 3 yards (tackle by Mike Leach)",-0.780,0.140
1,12:47,1,10,ARI 16,0,0,Jake Plummer pass complete to Kevin Kasper for 13 yards (tackle by Al Wilson),-0.140,0.870
1,12:11,1,10,ARI 29,0,0,Marcel Shipp right end for 2 yards (tackle by Trevor Pryce),0.870,0.600
1,11:34,2,8,ARI 31,0,0,Marcel Shipp left tackle for 1 yard (tackle by Lional Dalton),0.600,0.040
1,10:53,3,7,ARI 32,0,0,Jake Plummer pass incomplete intended for Marcel Shipp (defended by Al Wilson),0.040,-1.240
1,10:48,4,7,ARI 32,0,0,"Scott Player punts 52 yards, returned by Deltha O'Neal for no gain. Penalty on Willie Middlebrooks: Offensive Holding, 8 yards",-1.240,0.380
1,10:35,1,10,DEN 8,0,0,--,-0.380,-0.380
1,10:10,1,10,DEN 8,0,0,Clinton Portis right end for 4 yards (tackle by Duane Starks),-0.380,-0.490
1,9:35,2,6,DEN 12,0,0,Steve Beuerlein pass complete to Rod Smith for 17 yards (tackle by Justin Lucas and Fred Wakefield),-0.490,0.870
1,8:53,1,10,DEN 29,0,0,"Steve Beuerlein sacked by Greg Jones for -9 yards. Penalty on Greg Jones: Defensive Offside, 5 yards (no play)",0.870,1.600
1,8:33,1,5,DEN 34,0,0,Clinton Portis right end for 2 yards (tackle by Michael Stone),1.600,1.270
1,7:54,2,3,DEN 36,0,0,Clinton Portis middle for 24 yards (tackle by Kwamie Lassiter),1.270,2.920
1,7:12,1,10,ARI 40,0,0,Steve Beuerlein pass incomplete intended for Ed McCaffrey,2.920,2.370
1,7:06,2,10,ARI 40,0,0,"Clinton Portis middle for 3 yards (tackle by Raynoch Thompson). Penalty on Mike Anderson: Illegal Motion, 5 yards (no play)",2.370,1.700
1,6:44,2,15,ARI 45,0,0,"Steve Beuerlein sacked by Fred Wakefield for -5 yards. Steve Beuerlein fumbles, recovered by Steve Beuerlein at 50",1.700,0.370
1,6:12,3,20,,0,0,Steve Beuerlein pass complete to Rod Smith for 20 yards (tackle by Raynoch Thompson),0.370,3.580
1,5:26,1,10,ARI 30,0,0,Steve Beuerlein pass incomplete intended for Shannon Sharpe (defended by Raynoch Thompson),3.580,3.030
1,5:18,2,10,ARI 30,0,0,Steve Beuerlein pass complete to Clinton Portis for 4 yards (tackle by Raynoch Thompson),3.030,2.870
1,4:40,3,6,ARI 26,0,0,--,2.870,1.760
1,4:34,4,6,ARI 26,0,3,Jason Elam 44 yard field goal good,1.760,3.000
1,4:34,,,DEN 30,0,3,"Micah Knorr kicks off 61 yards, returned by Kevin Kasper for 18 yards (tackle by Bertrand Berry)",0.000,0.740
1,4:22,1,10,ARI 27,0,3,"Jake Plummer pass complete to Kevin Kasper for 21 yards (tackle by Kenoy Kennedy). Penalty on Kevin Kasper: Offensive Pass Interference, 10 yards (no play)",0.740,-0.170
1,3:57,1,20,ARI 17,0,3,Marcel Shipp right end for 5 yards (tackle by Al Wilson),-0.170,-0.480
1,3:15,1,20,ARI 17,,,Timeout #1 by Arizona Cardinals,-0.170,-0.480
1,3:15,2,15,ARI 22,0,3,Jake Plummer pass complete to Steve Bush for 1 yard (tackle by Al Wilson),-0.480,-1.020
1,2:33,3,14,ARI 23,0,3,Jake Plummer pass incomplete intended for Marcel Shipp,-1.020,-1.830
1,2:29,4,14,ARI 23,0,3,Scott Player punts 35 yards,-1.830,-1.730
1,2:18,1,10,DEN 42,0,3,Steve Beuerlein pass complete to Clinton Portis for 14 yards (tackle by Ronald McKinnon),1.730,2.650
1,1:46,1,10,ARI 44,0,3,Clinton Portis left guard for 7 yards (tackle by Raynoch Thompson),2.650,3.060
1,1:09,2,3,ARI 37,0,3,Clinton Portis left tackle for no gain (tackle by Marcus Bell),3.060,2.350
1,0:27,3,3,ARI 37,0,3,--,2.350,3.710
Quarter,Time,Down,ToGo,Location,ARI,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ARI 28,0,3,Steve Beuerlein pass incomplete intended for Patrick Hape (defended by Ronald McKinnon),3.710,3.170
2,14:56,2,10,ARI 28,0,3,Steve Beuerlein sacked by Raynoch Thompson for -7 yards,3.170,1.550
2,14:24,3,17,ARI 35,0,3,Steve Beuerlein pass incomplete intended for Shannon Sharpe,1.550,0.970
2,14:18,4,17,ARI 35,0,6,Jason Elam 54 yard field goal good,0.970,3.000
2,14:18,,,DEN 30,0,6,"Micah Knorr kicks off 62 yards, returned by Kevin Kasper for 20 yards (tackle by Donnie Spragan)",0.000,0.810
2,14:08,1,10,ARI 28,0,6,Jake Plummer pass complete to Steve Bush for 9 yards (tackle by Ian Gold),0.810,1.480
2,13:32,2,1,ARI 37,0,6,Marcel Shipp right guard for 3 yards (tackle by Al Wilson),1.480,1.600
2,12:51,1,10,ARI 40,0,6,"Penalty on Chris Dishman: False Start, 6 yards (no play)",1.600,1.200
2,12:32,1,16,ARI 34,0,6,Jake Plummer pass complete to Joel Makovicka for 6 yards (tackle by John Mobley),1.200,1.050
2,11:49,2,10,ARI 40,0,6,Marcel Shipp left tackle for 12 yards (tackle by Ian Gold and Al Wilson),1.050,2.390
2,11:16,1,10,DEN 48,0,6,Jake Plummer pass incomplete intended for Jason McAddley,2.390,1.850
2,11:09,2,10,DEN 48,0,6,"Jake Plummer pass complete to Freddie Jones for 8 yards (tackle by Ian Gold). Penalty on Raleigh Roundtree: Illegal Formation, 5 yards (no play)",1.850,1.170
2,10:41,2,15,ARI 47,0,6,Jake Plummer pass incomplete,1.170,0.500
2,10:33,3,15,ARI 47,0,6,Jake Plummer pass incomplete intended for Kevin Kasper,0.500,-0.260
2,10:26,4,15,ARI 47,0,6,"Scott Player punts 39 yards, returned by Deltha O'Neal for 2 yards (tackle by Nathan Hodel)",-0.260,0.140
2,10:15,1,10,DEN 16,0,6,Clinton Portis for 21 yards,-0.140,1.400
2,9:51,1,10,DEN 37,0,6,--,1.400,6.280
2,8:59,1,4,ARI 4,0,6,Mike Anderson right guard for 1 yard (tackle by Michael Young),6.280,5.530
2,8:18,2,3,ARI 3,0,6,Steve Beuerlein pass incomplete intended for Ed McCaffrey,5.530,4.720
2,8:13,3,3,ARI 3,0,6,Steve Beuerlein pass incomplete intended for Shannon Sharpe,4.720,3.040
2,8:10,4,3,ARI 3,0,9,Jason Elam 21 yard field goal good,3.040,3.000
2,8:10,,,DEN 30,0,9,"Micah Knorr kicks off 73 yards, returned by Kevin Kasper for 22 yards (tackle by Reuben Droughns)",0.000,0.150
2,8:01,1,10,ARI 19,0,9,Jake Plummer pass incomplete intended for Jason McAddley,0.150,-0.390
2,7:57,2,10,ARI 19,0,9,Jake Plummer pass complete to Freddie Jones for 18 yards (tackle by Izell Reese and Deltha O'Neal),-0.390,1.400
2,7:18,1,10,ARI 37,0,9,Marcel Shipp right end for 2 yards (tackle by Ian Gold and Al Wilson),1.400,1.130
2,6:40,2,8,ARI 39,0,9,Jake Plummer pass incomplete intended for Steve Bush (defended by Tyrone Poole),1.130,0.430
2,6:34,3,8,ARI 39,0,9,Jake Plummer pass complete to Jason McAddley for 19 yards (tackle by Kenoy Kennedy),0.430,2.790
2,5:48,1,10,DEN 42,0,9,Jake Plummer pass complete to Kevin Kasper for 8 yards (tackle by Deltha O'Neal),2.790,3.320
2,5:14,2,2,DEN 34,0,9,Marcel Shipp right guard for 4 yards (tackle by Chester McGlockton),3.320,3.580
2,4:33,1,10,DEN 30,0,9,Jake Plummer for 6 yards,3.580,3.840
2,4:03,2,4,DEN 24,0,9,Marcel Shipp right tackle for 9 yards (tackle by Izell Reese and Tyrone Poole),3.840,4.580
2,3:20,1,10,DEN 15,0,9,Jake Plummer pass complete to Steve Bush for 4 yards (tackle by John Mobley),4.580,4.640
2,2:39,2,6,DEN 11,0,9,Marcel Shipp left end for -3 yards (tackle by Montae Reagor and Tyrone Poole),4.640,3.240
2,2:00,3,9,DEN 14,0,9,Jake Plummer pass complete to Freddie Jones for 12 yards (tackle by John Mobley),3.240,6.740
2,1:17,3,9,DEN 14,,,Timeout #2 by Arizona Cardinals,3.240,6.740
2,1:17,1,2,DEN 2,0,9,Marcel Shipp left guard for no gain (tackle by Al Wilson),6.740,5.720
2,0:58,1,2,DEN 2,,,Timeout #1 by Denver Broncos,6.740,5.720
2,0:58,2,2,DEN 2,0,9,Marcel Shipp middle for no gain (tackle by Tyrone Poole and Al Wilson),5.720,4.950
2,0:20,3,2,DEN 2,0,9,"Jake Plummer pass incomplete intended for Joel Makovicka (defended by Kenoy Kennedy). Penalty on Kenoy Kennedy: Defensive Pass Interference, 1 yards (no play)",4.950,6.970
2,0:15,1,1,DEN 1,0,9,Marcel Shipp middle for no gain (tackle by Trevor Pryce),6.970,5.910
2,0:10,1,1,DEN 1,,,Timeout #3 by Arizona Cardinals,6.970,5.910
2,0:10,2,1,DEN 1,0,9,Jake Plummer pass incomplete intended for Jason McAddley (defended by Deltha O'Neal),5.910,5.170
,,,,,,,"Replay Assistant challenged the ruling, and the original play was overturned.",,
2,0:06,3,1,DEN 1,6,9,"Jake Plummer pass complete to Kevin Kasper for 1 yard, touchdown",5.170,7.000
2,0:06,,,DEN 1,7,9,Bill Gramatica kicks extra point good,0.000,0.000
2,0:06,,,ARI 30,7,9,"Bill Gramatica kicks off 39 yards, returned by Dwayne Carswell for no gain. Penalty on LeVar Woods: Offensive Offside (Declined)",0.000,0.940
Quarter,Time,Down,ToGo,Location,ARI,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 30,7,9,"Micah Knorr kicks off 70 yards, touchback",0.000,0.280
