Unnamed: 0,ARI,DEN
First Downs,18,24
Rush-Yds-TDs,19-84-0,32-259-2
Cmp-Att-Yd-TD-INT,16-33-153-1-1,16-24-203-2-0
Sacked-Yards,3-30,2-12
Net Pass Yards,123,191
Total Yards,207,450
Fumbles-Lost,1-1,3-0
Turnovers,2,0
Penalties-Yards,6-36,8-53
Third Down Conv.,4-10,5-11
Fourth Down Conv.,0-0,2-2
Time of Possession,26:33,33:27
