Unnamed: 0,TEN,HOU
First Downs,16,10
Rush-Yds-TDs,45-314-2,18-43-0
Cmp-Att-Yd-TD-INT,6-10-55-0-1,17-30-152-1-1
Sacked-Yards,3-15,3-34
Net Pass Yards,40,118
Total Yards,354,161
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,6-35,6-45
Third Down Conv.,4-12,2-14
Fourth Down Conv.,1-1,2-2
Time of Possession,34:48,25:12
