Unnamed: 0,ATL,SDG
First Downs,25,15
Rush-Yds-TDs,26-119-1,17-116-0
Cmp-Att-Yd-TD-INT,30-40-275-3-1,21-38-173-0-2
Sacked-Yards,2-10,1-9
Net Pass Yards,265,164
Total Yards,384,280
Fumbles-Lost,0-0,2-2
Turnovers,1,4
Penalties-Yards,2-15,4-17
Third Down Conv.,8-13,5-11
Fourth Down Conv.,0-0,0-0
Time of Possession,36:14,23:46
