Quarter,Time,Tm,Detail,NOR,ATL
1.0,8:10,Saints,Blake Grupe 25 yard field goal,3,0
,1:46,Falcons,Jessie Bates III 92 yard interception return (Younghoe Koo kick),3,7
2.0,14:16,Saints,Blake Grupe 52 yard field goal,6,7
,8:56,Falcons,Bijan Robinson 10 yard rush (Younghoe Koo kick),6,14
,3:54,Saints,Blake Grupe 41 yard field goal,9,14
3.0,3:27,Saints,Blake Grupe 45 yard field goal,12,14
4.0,9:57,Falcons,Bijan Robinson 26 yard pass from Desmond Ridder (Younghoe Koo kick),12,21
,6:24,Saints,Blake Grupe 39 yard field goal,15,21
,1:47,Falcons,Younghoe Koo 39 yard field goal,15,24
