Unnamed: 0,NOR,ATL
First Downs,22,25
Rush-Yds-TDs,28-148-0,41-228-1
Cmp-Att-Yd-TD-INT,24-38-304-0-1,13-21-168-1-2
Sacked-Yards,1-8,0-0
Net Pass Yards,296,168
Total Yards,444,396
Fumbles-Lost,2-1,0-0
Turnovers,2,2
Penalties-Yards,6-50,5-35
Third Down Conv.,6-14,4-8
Fourth Down Conv.,0-0,0-1
Time of Possession,31:34,28:26
