Unnamed: 0,TAM,CAR
First Downs,17,14
Rush-Yds-TDs,16-46-0,27-173-1
Cmp-Att-Yd-TD-INT,32-49-290-0-0,16-22-177-2-0
Sacked-Yards,1-14,1-7
Net Pass Yards,276,170
Total Yards,322,343
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,4-30,3-15
Third Down Conv.,2-12,4-12
Fourth Down Conv.,1-3,0-0
Time of Possession,30:36,29:24
