Unnamed: 0,CAR,CHI
First Downs,13,15
Rush-Yds-TDs,16-55-0,31-122-0
Cmp-Att-Yd-TD-INT,22-39-235-0-2,15-26-136-1-1
Sacked-Yards,8-52,0-0
Net Pass Yards,183,136
Total Yards,238,258
Fumbles-Lost,3-0,0-0
Turnovers,2,1
Penalties-Yards,7-62,9-75
Third Down Conv.,4-17,3-13
Fourth Down Conv.,1-2,0-0
Time of Possession,29:18,30:42
