Unnamed: 0,DEN,NWE
First Downs,28,27
Rush-Yds-TDs,48-280-1,31-116-1
Cmp-Att-Yd-TD-INT,19-36-150-2-1,34-50-344-3-0
Sacked-Yards,2-18,3-20
Net Pass Yards,132,324
Total Yards,412,440
Fumbles-Lost,5-3,6-3
Turnovers,4,3
Penalties-Yards,9-85,5-36
Third Down Conv.,9-18,6-14
Fourth Down Conv.,0-0,0-1
Time of Possession,38:58,34:06
