Quarter,Time,Tm,Detail,DEN,NWE
1,9:54,Broncos,Von Miller 60 yard defensive fumble return (Matt Prater kick),7,0
,8:54,Broncos,Knowshon Moreno 2 yard rush (Matt Prater kick),14,0
,2:57,Broncos,Matt Prater 27 yard field goal,17,0
2,6:10,Broncos,Jacob Tamme 10 yard pass from Peyton Manning (Matt Prater kick),24,0
3,11:21,Patriots,Julian Edelman 5 yard pass from Tom Brady (Stephen Gostkowski kick),24,7
,5:40,Patriots,Brandon Bolden 1 yard rush (Stephen Gostkowski kick),24,14
,0:19,Patriots,Rob Gronkowski 6 yard pass from Tom Brady (Stephen Gostkowski kick),24,21
4,13:13,Patriots,Julian Edelman 14 yard pass from Tom Brady (Stephen Gostkowski kick),24,28
,7:37,Patriots,Stephen Gostkowski 31 yard field goal,24,31
,3:06,Broncos,Demaryius Thomas 11 yard pass from Peyton Manning (Matt Prater kick),31,31
OT,1:56,Patriots,Stephen Gostkowski 31 yard field goal,31,34
