Quarter,Time,Tm,Detail,BUF,NYJ
1,7:21,Bills,Rian Lindell 33 yard field goal,3,0
,0:35,Jets,Jay Feely 23 yard field goal,3,3
2,9:45,Jets,Jay Feely 41 yard field goal,3,6
,7:31,Jets,Thomas Jones 71 yard rush (Jay Feely kick),3,13
3,7:45,Bills,Rian Lindell 25 yard field goal,6,13
,2:30,Bills,Lee Evans 37 yard pass from Ryan Fitzpatrick (Rian Lindell kick),13,13
OT,2:44,Bills,Rian Lindell 47 yard field goal,16,13
