Unnamed: 0,BUF,NYJ
First Downs,20,15
Rush-Yds-TDs,42-142-0,40-318-1
Cmp-Att-Yd-TD-INT,15-30-159-1-1,10-30-119-0-6
Sacked-Yards,1-5,2-23
Net Pass Yards,154,96
Total Yards,296,414
Fumbles-Lost,1-1,2-0
Turnovers,2,6
Penalties-Yards,8-64,14-96
Third Down Conv.,5-16,3-15
Fourth Down Conv.,0-0,1-3
Time of Possession,39:03,33:13
