Unnamed: 0,BAL,CIN
First Downs,22,17
Rush-Yds-TDs,21-59-0,27-145-1
Cmp-Att-Yd-TD-INT,30-56-292-1-2,17-27-160-2-0
Sacked-Yards,1-10,3-13
Net Pass Yards,282,147
Total Yards,341,292
Fumbles-Lost,0-0,1-0
Turnovers,2,0
Penalties-Yards,4-38,11-72
Third Down Conv.,12-20,0-9
Fourth Down Conv.,0-2,1-1
Time of Possession,29:16,30:44
