Unnamed: 0,DAL,SFO
First Downs,20,14
Rush-Yds-TDs,22-45-0,24-74-1
Cmp-Att-Yd-TD-INT,26-43-432-3-2,16-24-179-2-1
Sacked-Yards,1-5,6-47
Net Pass Yards,427,132
Total Yards,472,206
Fumbles-Lost,3-0,0-0
Turnovers,2,1
Penalties-Yards,8-83,5-25
Third Down Conv.,6-14,8-16
Fourth Down Conv.,1-1,0-0
Time of Possession,32:10,30:43
