Quarter,Time,Down,ToGo,Location,DAL,SFO,Detail,EPB,EPA
1,7:30,1,10,SFO 20,0,0,Alex Smith pass complete short left to Frank Gore for no gain,0.280,-0.270
1,6:59,2,10,SFO 20,0,0,Alex Smith pass incomplete short left intended for Braylon Edwards,-0.270,-0.960
1,6:54,3,10,SFO 20,0,0,Alex Smith pass complete short middle to Braylon Edwards for 21 yards (tackle by Abram Elam),-0.960,1.660
1,6:17,1,10,SFO 41,0,0,Alex Smith pass complete short left to Delanie Walker for 9 yards (tackle by Gerald Sensabaugh),1.660,2.340
1,5:43,2,1,,0,0,Frank Gore left tackle for -1 yards (tackle by Sean Lee),2.340,1.490
1,5:00,3,2,SFO 49,0,0,Alex Smith pass incomplete short right intended for Delanie Walker,1.490,-0.130
1,4:52,4,2,SFO 49,0,0,"Penalty on Andy Lee: Delay of Game, 5 yards (no play)",-0.130,-0.460
1,4:52,4,7,SFO 44,0,0,"Andy Lee punts 56 yards, touchback",-0.460,-0.280
1,4:43,1,10,DAL 20,0,0,Felix Jones up the middle for 2 yards (tackle by Navorro Bowman),0.280,0.000
1,3:58,2,8,DAL 22,0,0,Tony Romo pass incomplete short right intended for Jason Witten (defended by Carlos Rogers),0.000,-0.690
1,3:52,3,8,DAL 22,0,0,Tony Romo pass incomplete short right intended for Miles Austin (defended by Tarell Brown),-0.690,-1.900
1,3:47,4,8,DAL 22,0,0,"Mat McBriar punts 54 yards, returned by Ted Ginn Jr. for 8 yards (tackle by Sean Lee)",-1.900,-1.070
1,3:34,1,10,SFO 32,0,0,Alex Smith pass complete short middle to Ted Ginn Jr. for 8 yards (tackle by Abram Elam),1.070,1.610
1,2:49,2,2,SFO 40,0,0,Frank Gore left tackle for 1 yard (tackle by Anthony Spencer),1.610,1.030
1,2:06,3,1,SFO 41,0,0,Frank Gore up the middle for 3 yards (tackle by Bradie James),1.030,1.860
1,1:33,,,,0,0,Timeout #1 by San Francisco 49ers,0.000,1.860
1,1:33,1,10,SFO 44,0,0,"Penalty on Frank Gore: False Start, 5 yards (no play)",1.860,1.530
1,1:33,1,15,SFO 39,0,0,Alex Smith pass complete short middle to Frank Gore for 11 yards (tackle by Jay Ratliff),1.530,2.130
1,0:57,2,4,,0,0,Frank Gore up the middle for 3 yards (tackle by Keith Brooking),2.130,1.820
1,0:08,3,1,DAL 47,0,0,Anthony Dixon left tackle for 6 yards (tackle by Bradie James),1.820,2.850
Quarter,Time,Down,ToGo,Location,DAL,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DAL 41,0,0,Alex Smith sacked by Anthony Spencer for -9 yards,2.850,1.090
2,14:27,2,19,,0,0,Frank Gore up the middle for 9 yards (tackle by Gerald Sensabaugh),1.090,1.620
2,13:39,3,10,DAL 41,0,0,Alex Smith pass complete short left to Ted Ginn Jr. for 14 yards (tackle by Alan Ball),1.620,3.780
2,13:15,1,10,DAL 27,0,0,Frank Gore up the middle for 1 yard (tackle by Bradie James),3.780,3.370
2,12:29,2,9,DAL 26,0,0,"Alex Smith pass incomplete deep right intended for Frank Gore. Alex Smith fumbles, recovered by Alex Smith at DAL-40. Penalty on Bradie James: Defensive Pass Interference, 25 yards (no play)",3.370,6.970
2,12:15,1,1,DAL 1,0,0,Alex Smith sacked by Bradie James for -1 yards. Penalty on Jason Hatcher: Defensive Offside (no play),6.970,6.970
2,11:59,1,1,DAL 1,0,6,"Frank Gore up the middle for 1 yard, touchdown",6.970,7.000
2,,,,DAL 2,0,7,David Akers kicks extra point good,0.000,0.000
2,,,,SFO 35,0,7,"David Akers kicks off 65 yards, touchback",0.000,0.280
2,11:54,1,10,DAL 20,0,7,Tony Romo pass incomplete short left intended for Miles Austin,0.280,-0.270
2,11:49,2,10,DAL 20,0,7,Felix Jones right tackle for 2 yards (tackle by Patrick Willis),-0.270,-0.690
2,11:08,3,8,DAL 22,0,7,Tony Romo pass incomplete short right intended for Miles Austin,-0.690,-1.900
2,11:00,4,8,DAL 22,0,7,"Mat McBriar punts 46 yards, returned by Ted Ginn Jr. for 20 yards (tackle by Jesse Holley)",-1.900,-2.390
2,10:46,1,10,DAL 48,0,7,Frank Gore left end for -1 yards (tackle by Sean Lee),2.390,1.710
2,10:06,2,11,DAL 49,0,7,Alex Smith pass complete short left to Frank Gore for 6 yards (tackle by Sean Lee),1.710,1.820
2,9:35,3,5,DAL 43,0,7,Alex Smith pass complete short left to Josh Morgan for 12 yards (tackle by Alan Ball),1.820,3.510
2,9:07,1,10,DAL 31,0,7,Frank Gore right tackle for 3 yards (tackle by Keith Brooking),3.510,3.370
2,8:25,2,7,DAL 28,0,7,Frank Gore left end for 2 yards (tackle by Gerald Sensabaugh),3.370,2.940
2,7:41,,,,0,7,Timeout #2 by San Francisco 49ers,0.000,2.940
2,7:41,3,5,DAL 26,0,7,Alex Smith pass complete short right to Josh Morgan for 10 yards (tackle by Alan Ball),2.940,4.510
2,7:30,1,10,DAL 16,0,7,Frank Gore left tackle for 4 yards (tackle by Gerald Sensabaugh),4.510,4.570
2,6:31,2,6,DAL 12,0,7,Alex Smith pass incomplete short middle intended for Ted Ginn Jr. (defended by Keith Brooking),4.570,3.730
2,6:27,3,6,DAL 12,0,13,"Alex Smith pass complete short left to Kyle Williams for 12 yards, touchdown",3.730,7.000
2,,,,DAL 2,0,14,David Akers kicks extra point good,0.000,0.000
2,,,,SFO 35,0,14,"David Akers kicks off 65 yards, returned by Bryan McCann for 26 yards (tackle by Anthony Dixon)",0.000,0.670
2,6:17,1,10,DAL 26,0,14,Felix Jones up the middle for 5 yards (tackle by Ray McDonald),0.670,0.810
2,5:38,2,5,DAL 31,0,14,Tony Romo pass incomplete short right intended for Jason Witten,0.810,0.100
2,5:35,3,5,DAL 31,0,14,Tony Romo pass incomplete short left intended for Miles Austin,0.100,-1.310
2,5:30,4,5,DAL 31,0,14,"Mat McBriar punts 48 yards, returned by Ted Ginn Jr. for 9 yards (tackle by Danny McCray)",-1.310,-0.940
2,5:20,1,10,SFO 30,0,14,Frank Gore left guard for no gain (tackle by Jason Hatcher),0.940,0.390
2,4:36,2,10,SFO 30,0,14,Alex Smith sacked by Jason Hatcher for -9 yards,0.390,-1.480
2,4:02,,,,0,14,Timeout #3 by San Francisco 49ers,0.000,-1.480
2,4:00,3,19,SFO 21,0,14,Frank Gore up the middle for 1 yard (tackle by Jay Ratliff and Sean Lee),-1.480,-1.900
2,3:19,4,18,SFO 22,0,14,"Andy Lee punts 63 yards, returned by Dwayne Harris for 14 yards (tackle by Bruce Miller)",-1.900,-0.870
2,3:05,1,10,DAL 29,0,14,Tony Romo pass complete short middle to Miles Austin for 12 yards (tackle by Patrick Willis and Madieu Williams),0.870,1.660
2,2:33,1,10,DAL 41,0,14,Tony Romo pass incomplete short middle intended for Felix Jones,1.660,1.120
2,2:28,2,10,DAL 41,0,14,Tony Romo pass complete short right to Miles Austin for 1 yard (tackle by Carlos Rogers),1.120,0.560
2,2:03,3,9,DAL 42,0,14,"Tony Romo pass incomplete deep left intended for Kevin Ogletree (defended by Carlos Rogers). Penalty on Ahmad Brooks: Defensive Offside, 5 yards (no play)",0.560,1.220
2,1:57,3,4,DAL 47,6,14,"Tony Romo pass complete short left to Miles Austin for 53 yards, touchdown",1.220,7.000
2,,,,SFO 2,7,14,Dan Bailey kicks extra point good,0.000,0.000
2,,,,DAL 35,7,14,"David Buehler kicks off 65 yards, touchback",0.000,0.280
2,1:48,1,10,SFO 20,7,14,Alex Smith pass complete short right to Vernon Davis for 12 yards (tackle by Jason Hatcher),0.280,1.070
2,1:14,1,10,SFO 32,7,14,Alex Smith pass incomplete deep right intended for Ted Ginn Jr.,1.070,0.530
2,1:10,2,10,SFO 32,7,14,Frank Gore left tackle for 6 yards (tackle by Abram Elam),0.530,0.630
2,0:26,3,4,SFO 38,7,14,Alex Smith pass complete short right to Ted Ginn Jr. for 4 yards (tackle by Alan Ball),0.630,1.730
Quarter,Time,Down,ToGo,Location,DAL,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,7,14,"David Buehler kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,SFO 20,7,14,Alex Smith pass incomplete short middle intended for Josh Morgan,0.280,-0.270
3,14:56,2,10,SFO 20,7,14,Frank Gore left guard for 2 yards (tackle by Sean Lee),-0.270,-0.690
3,14:12,3,8,SFO 22,7,14,Alex Smith sacked by Jason Hatcher for -6 yards,-0.690,-2.390
3,13:52,4,14,SFO 16,7,14,"Andy Lee punts 55 yards, returned by Bryan McCann for -3 yards (tackle by C.J. Spillman)",-2.390,-0.670
3,13:44,1,10,DAL 26,7,14,Felix Jones left guard for no gain (tackle by Isaac Sopoaga),0.670,0.130
3,13:03,2,10,DAL 26,7,14,Jon Kitna pass complete short middle to Jason Witten for 12 yards (tackle by Parys Haralson),0.130,1.470
3,12:23,1,10,DAL 38,7,14,DeMarco Murray right guard for 3 yards (tackle by Patrick Willis),1.470,1.330
3,11:49,2,7,DAL 41,7,14,"Jon Kitna pass complete short left to Kevin Ogletree for 33 yards (tackle by Tarell Brown). Penalty on Kevin Ogletree: Face Mask (15 Yards), 15 yards",1.330,2.850
3,11:01,1,10,SFO 41,7,14,Jon Kitna pass complete short middle to Jason Witten for 9 yards (tackle by Navorro Bowman),2.850,3.520
3,10:36,2,1,SFO 32,7,14,DeMarco Murray right end for 4 yards (tackle by Patrick Willis),3.520,3.710
3,10:08,1,10,SFO 28,7,14,Jon Kitna pass incomplete deep middle intended for Jason Witten is intercepted by Donte Whitner,3.710,-0.280
3,9:55,1,10,SFO 20,7,14,Frank Gore up the middle for 2 yards (tackle by Kenyon Coleman),0.280,0.000
3,9:13,2,8,SFO 22,7,14,Alex Smith pass incomplete short left intended for Delanie Walker,0.000,-0.690
3,9:09,3,8,SFO 22,7,14,Alex Smith pass incomplete short middle intended for Josh Morgan is intercepted by Alan Ball at SFO-33 and returned for 15 yards (tackle by Aldon Smith),-0.690,-4.370
3,8:59,1,10,SFO 18,7,14,DeMarco Murray right guard for 3 yards (tackle by Navorro Bowman),4.370,4.250
3,8:19,2,7,SFO 15,7,14,Jon Kitna pass incomplete short left intended for Jason Witten,4.250,3.460
3,8:14,3,7,SFO 15,7,14,Jon Kitna pass complete short left to Miles Austin for 8 yards (tackle by Reggie Smith),3.460,5.600
3,7:33,1,7,SFO 7,7,14,Tashard Choice right guard for 2 yards (tackle by Navorro Bowman),5.600,5.150
3,6:55,2,5,SFO 5,13,14,"Jon Kitna pass complete short right to Miles Austin for 5 yards, touchdown",5.150,7.000
3,,,,SFO 2,14,14,Dan Bailey kicks extra point good,0.000,0.000
3,,,,DAL 35,14,14,"David Buehler kicks off 57 yards, returned by Kendall Hunter for 43 yards (tackle by Alex Albright)",0.000,2.320
3,6:39,1,10,DAL 49,14,14,Alex Smith sacked by DeMarcus Ware for -7 yards,2.320,0.840
3,6:02,2,17,SFO 44,14,14,Alex Smith right tackle for 5 yards (tackle by Sean Lee),0.840,0.830
3,5:27,3,12,SFO 49,14,14,Alex Smith pass complete short left to Vernon Davis for 6 yards (tackle by Sean Lee),0.830,0.270
3,4:34,4,6,DAL 45,14,14,"Andy Lee punts 36 yards, fair catch by Dwayne Harris",0.270,0.380
3,4:27,1,10,DAL 9,14,14,Felix Jones up the middle for 3 yards (tackle by Will Tukuafu),-0.380,-0.560
3,3:50,2,7,DAL 12,14,14,"Penalty on Derrick Dockery: False Start, 5 yards (no play)",-0.560,-0.930
3,3:29,2,12,DAL 7,14,14,"Penalty on Derrick Dockery: False Start, 3 yards (no play)",-0.930,-1.150
3,3:12,2,15,DAL 4,14,14,Felix Jones up the middle for 5 yards (tackle by Navorro Bowman),-1.150,-1.420
3,2:29,3,10,DAL 9,14,14,Jon Kitna pass complete deep right to Jason Witten for 20 yards (tackle by Reggie Smith),-1.420,0.870
3,1:51,1,10,DAL 29,14,14,Jon Kitna pass incomplete short left intended for Jason Witten (defended by Donte Whitner),0.870,0.330
3,1:42,2,10,DAL 29,14,14,Tashard Choice right tackle for 5 yards (tackle by Ahmad Brooks),0.330,0.300
3,0:54,,,,14,14,Timeout #1 by Dallas Cowboys,0.000,0.300
3,0:54,3,5,DAL 34,14,14,Jon Kitna pass incomplete short left intended for Kevin Ogletree is intercepted by Tramaine Brock at DAL-47 and returned for 18 yards (tackle by Martellus Bennett),0.300,-3.640
3,0:42,1,10,DAL 29,14,20,"Alex Smith pass complete deep right to Delanie Walker for 29 yards, touchdown",3.640,7.000
3,,,,DAL 2,14,21,David Akers kicks extra point good,0.000,0.000
3,,,,SFO 35,14,21,"David Akers kicks off 65 yards, touchback",0.000,0.280
3,0:37,1,10,DAL 20,14,21,"Felix Jones right end for 3 yards (tackle by Carlos Rogers). Penalty on Doug Free: Offensive Holding, 10 yards (no play)",0.280,-0.760
3,0:09,1,20,DAL 10,14,21,Tony Romo pass incomplete short left intended for Kevin Ogletree (defended by Donte Whitner),-0.760,-1.510
3,0:05,2,20,DAL 10,14,21,DeMarco Murray left tackle for 2 yards (tackle by Patrick Willis),-1.510,-2.360
Quarter,Time,Down,ToGo,Location,DAL,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,18,DAL 12,14,21,"Tony Romo pass complete short left to Tashard Choice for 6 yards (tackle by Ahmad Brooks). Tony Romo fumbles, recovered by Tony Romo at DAL-DAL",-2.360,-2.240
4,14:27,4,12,DAL 18,14,21,"Mat McBriar punts 46 yards, returned by Ted Ginn Jr. for 8 yards (tackle by John Phillips). Penalty on Sean Lee: Offensive Holding, 10 yards",-2.240,-2.520
4,14:27,1,10,DAL 46,14,21,Frank Gore up the middle for 2 yards (tackle by Jay Ratliff),2.520,2.250
4,13:46,2,8,DAL 44,14,21,"Frank Gore right tackle for 5 yards (tackle by Alan Ball and Anthony Spencer). Penalty on Adam Snyder: Illegal Formation, 5 yards (no play)",2.250,1.570
4,12:56,2,13,DAL 49,14,21,Frank Gore right guard for no gain (tackle by Sean Lee),1.570,0.890
4,12:13,3,13,DAL 49,14,21,Alex Smith up the middle for 12 yards (tackle by Sean Lee),0.890,0.790
4,11:16,4,1,DAL 37,14,24,"David Akers 55 yard field goal good. Penalty on Keith Brooking: Leverage, 15 yards",0.790,3.000
4,,,,,14,24,"David Akers kicks off 50 yards, touchback",0.000,0.280
4,11:12,1,10,DAL 20,14,24,Tony Romo sacked by Ray McDonald for -5 yards,0.280,-1.070
4,10:39,2,15,DAL 15,14,24,Tony Romo pass complete short right to Kevin Ogletree for 17 yards (tackle by Donte Whitner),-1.070,1.070
4,10:00,1,10,DAL 32,14,24,Felix Jones right tackle for 4 yards (tackle by Ricky Jean-Francois),1.070,1.070
4,9:14,2,6,DAL 36,14,24,Tony Romo pass complete short right to Miles Austin for 25 yards (tackle by Navorro Bowman),1.070,2.980
4,8:35,1,10,SFO 39,14,24,Tony Romo pass incomplete short left intended for John Phillips (defended by Navorro Bowman),2.980,2.440
4,8:28,2,10,SFO 39,14,24,Tony Romo pass complete short right to Jason Witten for 5 yards (tackle by Patrick Willis),2.440,2.410
4,7:42,3,5,SFO 34,14,24,Tony Romo pass incomplete short left intended for Jason Witten (defended by Carlos Rogers),2.410,1.070
4,7:37,4,5,SFO 34,14,24,Tony Romo pass complete short right to Jason Witten for 9 yards,1.070,3.910
4,7:03,1,10,SFO 25,20,24,"Tony Romo pass complete deep right to Miles Austin for 25 yards, touchdown",3.910,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
4,,,,SFO 2,21,24,Dan Bailey kicks extra point good,0.000,0.000
4,,,,DAL 35,21,24,"David Buehler kicks off 65 yards, touchback",0.000,0.280
4,6:55,1,10,SFO 20,21,24,Alex Smith pass complete short left to Josh Morgan for 13 yards (tackle by Mike Jenkins),0.280,1.140
4,6:12,,,,21,24,Timeout #1 by San Francisco 49ers,0.000,1.140
4,6:11,1,10,SFO 33,21,24,Frank Gore up the middle for 2 yards (tackle by Marcus R. Spears),1.140,0.860
4,5:31,2,8,SFO 35,21,24,Alex Smith sacked by DeMarcus Ware for -8 yards,0.860,-0.890
4,4:54,3,16,SFO 27,21,24,"Penalty on Aldon Smith: Delay of Game, 5 yards (no play)",-0.890,-1.550
4,4:52,3,21,SFO 22,21,24,Alex Smith right end for 4 yards,-1.550,-1.630
4,4:15,4,17,SFO 26,21,24,"Andy Lee punts 64 yards, returned by Bryan McCann for 16 yards (tackle by Tavares Gooden)",-1.630,-0.670
4,4:03,1,10,DAL 26,21,24,Tony Romo pass complete short right to Jesse Holley for 11 yards (tackle by Tarell Brown),0.670,1.400
4,3:25,1,10,DAL 37,21,24,Tony Romo pass complete short right to Jesse Holley for 8 yards (tackle by Tarell Brown),1.400,1.940
4,2:52,2,2,DAL 45,21,24,DeMarco Murray right tackle for 8 yards (tackle by Navorro Bowman),1.940,2.460
4,2:12,1,10,SFO 47,21,24,Tony Romo pass incomplete short right intended for Jason Witten (defended by Ahmad Brooks),2.460,1.910
4,2:07,2,10,SFO 47,21,24,Tony Romo pass complete short right to DeMarco Murray for 4 yards (tackle by Patrick Willis),1.910,1.750
4,2:00,3,6,SFO 43,21,24,Tony Romo pass complete short left to Miles Austin for 7 yards (tackle by Tramaine Brock),1.750,3.180
4,1:27,1,10,SFO 36,21,24,Tony Romo pass complete short right to Miles Austin for 7 yards (tackle by Carlos Rogers),3.180,3.580
4,0:59,2,3,SFO 29,21,24,Tashard Choice up the middle for 1 yard (tackle by Navorro Bowman),3.580,3.010
4,0:49,,,,21,24,Timeout #2 by Dallas Cowboys,0.000,3.010
4,0:49,3,2,SFO 28,21,24,"Miles Austin left tackle for -2 yards (tackle by Justin Smith). Miles Austin fumbles (forced by Justin Smith), recovered by Doug Free at SFO-30",3.010,1.460
4,0:04,,,,21,24,Timeout #3 by Dallas Cowboys,0.000,1.460
4,0:04,4,4,SFO 30,24,24,Dan Bailey 48 yard field goal good,1.460,3.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,DAL,SFO,Detail,EPB,EPA
,,,,,,,"49ers won the coin toss, 49ers to receive the overtime kickoff.",,
OT,,,,DAL 35,24,24,"David Buehler kicks off 65 yards, touchback",0.000,0.280
OT,15:00,1,10,SFO 20,24,24,Alex Smith pass complete short left to Ted Ginn Jr. for 12 yards,0.280,1.070
OT,14:32,1,10,SFO 32,24,24,Frank Gore up the middle for 7 yards (tackle by Keith Brooking),1.070,1.470
OT,13:52,2,3,SFO 39,24,24,Alex Smith sacked by Jay Ratliff for -8 yards,1.470,-0.290
OT,13:16,3,11,SFO 31,24,24,Alex Smith pass incomplete short right intended for Ted Ginn Jr.,-0.290,-1.310
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
OT,13:11,4,11,SFO 31,24,24,"Andy Lee punts 58 yards, returned by Dwayne Harris for 11 yards (tackle by Larry Grant)",-1.310,-0.410
OT,12:57,1,10,DAL 22,24,24,Tony Romo pass complete deep right to Jesse Holley for 77 yards (tackle by Donte Whitner),0.410,6.970
OT,12:10,,,,24,24,Timeout #1 by Dallas Cowboys,0.000,0.000
OT,12:10,,,,24,24,Timeout #1 by San Francisco 49ers,0.000,6.970
OT,12:10,1,1,SFO 1,27,24,Dan Bailey 19 yard field goal good,6.970,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
