Quarter,Time,Tm,Detail,DAL,SFO
2,11:54,49ers,Frank Gore 1 yard rush (David Akers kick),0,7
,6:23,49ers,Kyle Williams 12 yard pass from Alex Smith (David Akers kick),0,14
,1:48,Cowboys,Miles Austin 53 yard pass from Tony Romo (Dan Bailey kick),7,14
3,6:50,Cowboys,Miles Austin 5 yard pass from Jon Kitna (Dan Bailey kick),14,14
,0:37,49ers,Delanie Walker 29 yard pass from Alex Smith (David Akers kick),14,21
4,11:12,49ers,David Akers 55 yard field goal,14,24
,6:55,Cowboys,Miles Austin 25 yard pass from Tony Romo (Dan Bailey kick),21,24
,0:00,Cowboys,Dan Bailey 48 yard field goal,24,24
OT,12:07,Cowboys,Dan Bailey 19 yard field goal,27,24
