Unnamed: 0,BUF,HOU
First Downs,24,19
Rush-Yds-TDs,30-172-0,33-141-1
Cmp-Att-Yd-TD-INT,25-48-280-1-0,20-25-247-1-0
Sacked-Yards,3-27,7-28
Net Pass Yards,253,219
Total Yards,425,360
Fumbles-Lost,2-1,2-1
Turnovers,1,1
Penalties-Yards,7-64,4-20
Third Down Conv.,11-21,6-13
Fourth Down Conv.,0-1,0-1
Time of Possession,35:15,36:25
