Quarter,Time,Tm,Detail,BUF,HOU
1,11:41,Bills,Josh Allen 16 yard pass from John Brown (Stephen Hauschka kick),7,0
2,10:47,Bills,Stephen Hauschka 40 yard field goal,10,0
,0:04,Bills,Stephen Hauschka 40 yard field goal,13,0
3,6:02,Bills,Stephen Hauschka 38 yard field goal,16,0
,1:33,Texans,Deshaun Watson 20 yard rush (Deshaun Watson run),16,8
4,10:55,Texans,Ka'imi Fairbairn 41 yard field goal,16,11
,4:37,Texans,Carlos Hyde 5 yard pass from Deshaun Watson (DeAndre Hopkins pass from Deshaun Watson),16,19
,0:05,Bills,Stephen Hauschka 47 yard field goal,19,19
OT,3:20,Texans,Ka'imi Fairbairn 28 yard field goal,19,22
