Quarter,Time,Down,ToGo,Location,LVR,PIT,Detail,EPB,EPA
1,3:10,,,LVR 35,3,0,"Daniel Carlson kicks off 61 yards, returned by Ray-Ray McCloud for 18 yards (tackle by Derek Carrier)",,
1,3:04,1,10,PIT 22,3,0,Ben Roethlisberger pass complete short right to Najee Harris for 9 yards (tackle by Denzel Perryman),,
1,2:26,2,1,PIT 31,3,0,"Ben Roethlisberger pass complete to Diontae Johnson for 7 yards (tackle by Trevon Moehrig). Penalty on JuJu Smith-Schuster: Offensive Holding, 10 yards (accepted)",,
1,1:58,2,4,PIT 28,3,0,"Ben Roethlisberger pass complete short left to Diontae Johnson for 9 yards (tackle by Denzel Perryman). Penalty on Johnathan Hankins: Illegal Use of Hands / Defense, 5 yards (declined)",,
1,1:34,1,10,PIT 37,3,0,Benny Snell left guard for 1 yard (tackle by Denzel Perryman and Cory Littleton),,
1,0:51,2,9,PIT 38,3,0,Najee Harris right guard for 1 yard (tackle by Quinton Jefferson),,
1,0:09,3,8,PIT 39,3,0,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 17 yards (tackle by Casey Hayward),,
Quarter,Time,Down,ToGo,Location,LVR,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LVR 44,3,0,Ben Roethlisberger sacked by Solomon Thomas for no gain,,
2,14:17,2,10,LVR 44,3,0,Ben Roethlisberger pass complete to JuJu Smith-Schuster for 6 yards (tackle by Cory Littleton),,
2,13:44,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,13:44,3,4,LVR 38,3,0,Ben Roethlisberger pass incomplete deep left intended for Chase Claypool (defended by Casey Hayward),,
2,13:37,4,4,LVR 38,3,0,Ben Roethlisberger pass incomplete deep right intended for Chase Claypool,,
2,13:32,1,10,LVR 38,3,0,Peyton Barber left tackle for 4 yards (tackle by Joe Schobert and Isaiahh Loudermilk),,
2,12:55,2,6,LVR 42,3,0,"Derek Carr scrambles for 5 yards (tackle by Alex Highsmith and Robert Spillane). Penalty on Robert Spillane: Defensive Lowering the head to initiate contact, 15 yards (accepted)",,
2,12:32,1,10,PIT 38,3,0,Peyton Barber up the middle for -2 yards (tackle by Terrell Edmunds),,
2,11:50,2,12,PIT 40,3,0,Derek Carr pass complete short right to Hunter Renfrow for 17 yards (tackle by Cameron Heyward),,
2,11:13,1,10,PIT 23,3,0,"Penalty on Alex Highsmith: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
2,11:05,1,5,PIT 18,3,0,Henry Ruggs right end for 2 yards (tackle by Joe Schobert),,
2,10:27,2,3,PIT 16,3,0,Kenyan Drake for 1 yard (tackle by Robert Spillane and Melvin Ingram),,
2,9:43,3,2,PIT 15,3,0,Derek Carr pass incomplete short right intended for Darren Waller,,
2,9:37,4,2,PIT 15,6,0,Daniel Carlson 33 yard field goal good,,
2,9:34,,,LVR 35,6,0,"Daniel Carlson kicks off 65 yards, touchback.",,
2,9:34,1,10,PIT 25,6,0,Ben Roethlisberger pass complete short right to Diontae Johnson for 13 yards (tackle by Trayvon Mullen),,
2,9:08,1,10,PIT 38,6,0,Najee Harris right end for 14 yards (tackle by Trevon Moehrig),,
2,8:47,1,10,LVR 48,6,0,Chase Claypool left end for -3 yards (tackle by Johnathan Abram),,
2,8:15,2,13,PIT 49,6,0,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 5 yards (tackle by Trayvon Mullen),,
2,7:36,3,8,LVR 46,6,0,"Ben Roethlisberger pass complete deep left to Diontae Johnson for 41 yards (tackle by Trayvon Mullen). Penalty on Trayvon Mullen: Illegal Contact, 5 yards (declined)",,
2,7:11,1,5,LVR 5,6,0,Najee Harris up the middle for 2 yards (tackle by K.J. Wright and Johnathan Abram),,
2,6:30,2,3,LVR 3,6,6,"JuJu Smith-Schuster right tackle for 3 yards, touchdown",,
2,6:25,,,LVR 15,6,7,Chris Boswell kicks extra point good,,
2,6:25,,,PIT 35,6,7,"Chris Boswell kicks off 65 yards, touchback.",,
2,6:25,1,10,LVR 25,6,7,Derek Carr pass complete short right to Henry Ruggs for 13 yards (tackle by Minkah Fitzpatrick),,
2,5:43,1,10,LVR 38,6,7,Derek Carr pass complete short middle to Hunter Renfrow for 10 yards (tackle by Robert Spillane),,
2,5:04,1,10,LVR 48,6,7,Derek Carr pass complete deep left to Foster Moreau for 25 yards (tackle by Joe Schobert),,
2,4:26,1,10,PIT 27,6,7,Derek Carr pass incomplete deep right intended for Alec Ingold (defended by Joe Schobert),,
2,4:20,2,10,PIT 27,6,7,Derek Carr pass complete short left to Bryan Edwards for 6 yards (tackle by Alex Highsmith),,
2,3:37,3,4,PIT 21,6,7,Derek Carr pass complete short left to Hunter Renfrow for 4 yards (tackle by Justin Layne),,
2,2:57,1,10,PIT 17,6,7,Peyton Barber left tackle for -2 yards (tackle by Cameron Heyward and Terrell Edmunds),,
2,2:10,,,,,,Timeout #1 by Las Vegas Raiders,,
2,2:10,2,12,PIT 19,6,7,Derek Carr pass complete short left to Kenyan Drake for 3 yards (tackle by Joe Schobert),,
2,2:00,3,9,PIT 16,6,7,Derek Carr pass complete to Darren Waller for 8 yards (tackle by Joe Schobert),,
2,1:31,4,1,PIT 8,6,7,Derek Carr up the middle for 2 yards (tackle by Chris Wormley),,
2,1:01,1,6,PIT 6,6,7,Kenyan Drake left guard for 4 yards (tackle by Robert Spillane and Cameron Heyward),,
2,0:24,2,2,PIT 2,6,7,"Penalty on Kolton Miller: False Start, 5 yards (accepted) (no play)",,
2,0:22,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:22,2,7,PIT 7,6,7,"Derek Carr pass complete to Bryan Edwards for no gain, touchdown. Penalty on Alex Leatherwood: Offensive Holding, 10 yards (accepted) (no play)",,
2,0:18,2,17,PIT 17,6,7,Derek Carr pass incomplete deep right intended for Darren Waller,,
2,0:12,3,17,PIT 17,6,7,"Derek Carr pass complete to Bryan Edwards for no gain. Penalty on Kolton Miller: Ineligible Downfield Pass, 5 yards (accepted) (no play)",,
2,0:06,,,,,,Timeout #3 by Las Vegas Raiders,,
2,0:06,3,22,PIT 22,9,7,Daniel Carlson 41 yard field goal good,,
2,0:02,,,LVR 35,9,7,"Daniel Carlson kicks off 69 yards, returned by Ray-Ray McCloud for 28 yards (tackle by Dallin Leavitt and Marquel Lee)",,
Quarter,Time,Down,ToGo,Location,LVR,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,9,7,"Chris Boswell kicks off 65 yards, touchback.",,
3,15:00,1,10,LVR 25,9,7,Derek Carr pass complete short middle to Darren Waller for 9 yards (tackle by Robert Spillane),,
3,14:26,2,1,LVR 34,9,7,Peyton Barber up the middle for -2 yards (tackle by Robert Spillane),,
3,13:46,3,3,LVR 32,9,7,Derek Carr pass complete short right to Willie Snead for 14 yards (tackle by Minkah Fitzpatrick),,
3,13:12,1,10,LVR 46,9,7,Derek Carr pass incomplete short middle intended for Henry Ruggs (defended by Chris Wormley),,
3,13:08,2,10,LVR 46,9,7,Kenyan Drake left guard for 1 yard (tackle by Robert Spillane),,
3,12:30,3,9,LVR 47,9,7,Derek Carr pass incomplete short left intended for Kenyan Drake,,
3,12:22,4,9,LVR 47,9,7,"AJ Cole punts 40 yards, fair catch by Ray-Ray McCloud at PIT-13",,
3,12:15,1,10,PIT 13,9,7,Ben Roethlisberger pass incomplete deep right intended for Chase Claypool (defended by Trayvon Mullen),,
3,12:09,2,10,PIT 13,9,7,Ben Roethlisberger pass complete short left to Diontae Johnson for 5 yards (tackle by Trevon Moehrig),,
3,11:30,3,5,PIT 18,9,7,Ben Roethlisberger pass complete short right to Pat Freiermuth for 14 yards (tackle by Denzel Perryman),,
3,11:07,1,10,PIT 32,9,7,Najee Harris left guard for 1 yard (tackle by Maxx Crosby),,
3,10:42,2,9,PIT 33,9,7,Ben Roethlisberger sacked by Solomon Thomas for -3 yards,,
3,9:56,3,12,PIT 30,9,7,Ben Roethlisberger pass complete short middle to Diontae Johnson for 3 yards (tackle by Nate Hobbs),,
3,9:24,4,10,PIT 33,9,7,"Pressley Harvin punts 59 yards, returned by Hunter Renfrow for 10 yards (tackle by Robert Spillane and Justin Layne)",,
3,9:11,1,10,LVR 18,9,7,Derek Carr pass complete short middle to Bryan Edwards for 18 yards (tackle by Cameron Sutton and Minkah Fitzpatrick),,
3,8:33,1,10,LVR 36,9,7,Derek Carr pass complete short middle to Kenyan Drake for 9 yards (tackle by Robert Spillane),,
3,7:52,2,1,LVR 45,9,7,Derek Carr sacked by Melvin Ingram for -8 yards,,
3,7:08,3,9,LVR 37,9,7,Derek Carr pass complete deep right to Hunter Renfrow for 23 yards (tackle by Tre Norwood),,
3,6:33,1,10,PIT 40,9,7,Kenyan Drake up the middle for 1 yard (tackle by Jamir Jones),,
3,5:55,2,9,PIT 39,9,7,Derek Carr pass complete deep middle to Henry Ruggs for 30 yards (tackle by Terrell Edmunds),,
3,5:07,1,9,PIT 9,15,7,"Derek Carr pass complete short left to Foster Moreau for 9 yards, touchdown",,
3,5:02,,,PIT 15,16,7,Daniel Carlson kicks extra point good,,
3,5:02,,,LVR 35,16,7,"Daniel Carlson kicks off 66 yards, returned by Ray-Ray McCloud for 18 yards (tackle by Marquel Lee and Tyree Gillespie)",,
3,4:55,1,10,PIT 17,16,7,Najee Harris right guard for 4 yards (tackle by Denzel Perryman and Casey Hayward),,
3,4:15,2,6,PIT 21,16,7,"Ben Roethlisberger pass complete short left to Pat Freiermuth for 8 yards (tackle by Nate Hobbs and Denzel Perryman). Penalty on Solomon Thomas: Roughing the Passer, 15 yards (accepted)",,
3,3:50,1,10,PIT 44,16,7,"Penalty on Diontae Johnson: False Start, 5 yards (accepted) (no play)",,
3,3:31,1,15,PIT 39,16,7,Ben Roethlisberger pass complete short left to Chase Claypool for 16 yards,,
3,2:56,1,10,LVR 45,16,7,Benny Snell right tackle for no gain (tackle by Carl Nassib),,
3,2:04,2,10,LVR 45,16,7,Ben Roethlisberger pass incomplete short right intended for Chase Claypool (defended by Damon Arnette),,
3,2:00,3,10,LVR 45,16,7,Ben Roethlisberger pass incomplete deep right intended for Diontae Johnson,,
3,1:55,4,10,LVR 45,16,7,Pressley Harvin punts 42 yards downed by Arthur Maulet,,
3,1:43,1,10,LVR 3,16,7,Derek Carr pass complete short right to Kenyan Drake for 13 yards (tackle by James Pierre),,
3,1:15,1,10,LVR 16,16,7,Derek Carr pass complete short left to Henry Ruggs for 2 yards (tackle by Robert Spillane),,
3,0:32,2,8,LVR 18,16,7,Derek Carr pass complete short middle to Darren Waller for 13 yards (tackle by Melvin Ingram and Robert Spillane),,
Quarter,Time,Down,ToGo,Location,LVR,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,LVR 31,16,7,Derek Carr pass complete short left to Bryan Edwards for 16 yards (tackle by Minkah Fitzpatrick),,
4,14:30,1,10,LVR 47,16,7,Derek Carr pass complete short right to Henry Ruggs for 7 yards (tackle by James Pierre),,
4,13:52,2,3,PIT 46,16,7,Kenyan Drake left end for -4 yards (tackle by Alex Highsmith),,
4,13:06,3,7,PIT 50,16,7,Derek Carr pass incomplete short middle intended for Hunter Renfrow (defended by Cameron Heyward),,
4,13:05,4,7,PIT 50,16,7,"AJ Cole punts 50 yards, touchback.",,
4,12:56,1,10,PIT 20,16,7,Najee Harris left guard for 3 yards (tackle by Johnathan Abram),,
4,12:14,2,7,PIT 23,16,7,Ben Roethlisberger pass complete deep left to Chase Claypool for 52 yards (tackle by Johnathan Abram),,
4,11:35,1,10,LVR 25,16,7,"Ben Roethlisberger aborted snap, recovered by Ben Roethlisberger at LV-30 Ben Roethlisberger pass incomplete middle intended for Eric Ebron",,
4,11:29,,,,,,Timeout #1 by Pittsburgh Steelers,,
4,11:29,2,10,LVR 25,16,7,Ben Roethlisberger pass incomplete deep left intended for Diontae Johnson,,
4,11:23,3,10,LVR 25,16,13,"Ben Roethlisberger pass complete short left to Najee Harris for 25 yards, touchdown",,
4,11:15,1,10,LVR 21,16,13,"Penalty on Solomon Thomas: Unsportsmanlike Conduct / Defense, 15 yards (offset) Penalty on Trai Turner: Disqualification / Offense, 15 yards (offset) (no play)",,
4,11:15,,,LVR 15,16,14,Chris Boswell kicks extra point good,,
4,11:15,,,PIT 35,16,14,"Chris Boswell kicks off 65 yards, touchback.",,
4,11:15,1,10,LVR 25,16,14,Derek Carr pass complete short left to Derek Carrier for 4 yards (tackle by Cameron Sutton),,
4,10:32,2,6,LVR 29,16,14,Derek Carr pass complete short left to Darren Waller for 10 yards (tackle by Terrell Edmunds),,
4,9:54,1,10,LVR 39,16,14,Derek Carr pass incomplete deep right intended for Hunter Renfrow,,
4,9:48,,,,,,Timeout #1 by Las Vegas Raiders,,
4,9:48,2,10,LVR 39,16,14,Derek Carr pass incomplete short right intended for Henry Ruggs,,
4,9:44,3,10,LVR 39,22,14,"Derek Carr pass complete deep middle to Henry Ruggs for 61 yards, touchdown",,
4,9:35,,,PIT 15,23,14,Daniel Carlson kicks extra point good,,
4,9:35,,,LVR 35,23,14,"Daniel Carlson kicks off 65 yards, touchback.",,
4,9:35,1,10,PIT 25,23,14,Ben Roethlisberger pass complete short left to Diontae Johnson for 4 yards (tackle by Trayvon Mullen),,
4,9:17,2,6,PIT 29,23,14,Ben Roethlisberger pass incomplete short right intended for James Washington,,
4,9:14,3,6,PIT 29,23,14,Ben Roethlisberger pass complete short left to Pat Freiermuth for 5 yards (tackle by Dallin Leavitt and Trayvon Mullen),,
4,8:35,4,1,PIT 34,23,14,"Pressley Harvin punts 58 yards, returned by Hunter Renfrow for 16 yards (tackle by Jamir Jones)",,
4,8:23,1,10,LVR 24,23,14,Peyton Barber right guard for 11 yards (tackle by James Pierre and Cameron Heyward),,
4,7:41,1,10,LVR 35,23,14,Kenyan Drake left guard for 5 yards (tackle by Terrell Edmunds),,
4,6:56,2,5,LVR 40,23,14,Peyton Barber left guard for 2 yards (tackle by Joe Schobert and Alex Highsmith),,
4,6:14,3,3,LVR 42,23,14,Peyton Barber left end for -4 yards (tackle by Terrell Edmunds and Cameron Heyward),,
4,6:05,,,,,,Timeout #2 by Pittsburgh Steelers,,
4,6:05,4,7,LVR 38,23,14,"AJ Cole punts 45 yards, returned by Ray-Ray McCloud for 15 yards (tackle by Derek Carrier and Marquel Lee)",,
4,5:51,1,10,PIT 32,23,14,Ben Roethlisberger pass complete short middle to Pat Freiermuth for 9 yards (tackle by Denzel Perryman and Nate Hobbs),,
4,5:26,2,1,PIT 41,23,14,Ben Roethlisberger pass complete short right to Najee Harris for 5 yards (tackle by Nate Hobbs and Denzel Perryman),,
4,4:59,1,10,PIT 46,23,14,Ben Roethlisberger pass complete short middle to Najee Harris for 4 yards (tackle by Dallin Leavitt and Denzel Perryman),,
4,4:34,2,6,PIT 50,23,14,Ben Roethlisberger pass complete short left to Diontae Johnson for 12 yards (tackle by Trayvon Mullen),,
4,4:28,1,10,LVR 38,23,14,Ben Roethlisberger pass complete short left to Najee Harris for no gain (tackle by Denzel Perryman),,
4,3:55,2,9,LVR 38,23,14,Ben Roethlisberger pass incomplete short left intended for JuJu Smith-Schuster (defended by Solomon Thomas),,
4,3:52,3,10,LVR 38,23,14,Ben Roethlisberger pass incomplete short middle intended for Chase Claypool (defended by Dallin Leavitt),,
4,3:47,4,10,LVR 38,23,17,Chris Boswell 56 yard field goal good,,
4,3:42,,,PIT 35,23,17,"Chris Boswell kicks off 60 yards, returned by Henry Ruggs for 22 yards (tackle by Robert Spillane and James Pierre)",,
4,3:37,1,10,LVR 27,23,17,Peyton Barber left tackle for 3 yards (tackle by Cameron Heyward),,
4,2:55,2,7,LVR 30,23,17,Derek Carr pass complete deep right to Darren Waller for 25 yards (tackle by Joe Schobert),,
4,2:12,1,10,PIT 45,23,17,Peyton Barber right guard for 13 yards (tackle by James Pierre),,
4,2:00,1,10,PIT 32,23,17,Peyton Barber left guard for 1 yard (tackle by Cameron Heyward),,
4,1:56,,,,,,Timeout #3 by Pittsburgh Steelers,,
4,1:56,2,9,PIT 31,23,17,Peyton Barber for 3 yards (tackle by Joe Schobert),,
4,1:12,3,6,PIT 28,23,17,Peyton Barber right tackle for 1 yard (tackle by Melvin Ingram and Joe Schobert),,
4,0:24,,,,,,Timeout #2 by Las Vegas Raiders,,
4,0:24,4,5,PIT 27,26,17,Daniel Carlson 45 yard field goal good,,
4,0:20,,,LVR 35,26,17,"Daniel Carlson kicks off 65 yards, touchback.",,
4,0:20,1,10,PIT 25,26,17,Ben Roethlisberger pass complete short middle to Diontae Johnson for 11 yards (tackle by Johnathan Abram),,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
