Quarter,Time,Tm,Detail,LVR,PIT
1.0,3:10,Raiders,Daniel Carlson 46 yard field goal,3,0
2.0,9:34,Raiders,Daniel Carlson 33 yard field goal,6,0
,6:25,Steelers,JuJu Smith-Schuster 3 yard rush (Chris Boswell kick),6,7
,0:02,Raiders,Daniel Carlson 41 yard field goal,9,7
3.0,5:02,Raiders,Foster Moreau 9 yard pass from Derek Carr (Daniel Carlson kick),16,7
4.0,11:15,Steelers,Najee Harris 25 yard pass from Ben Roethlisberger (Chris Boswell kick),16,14
,9:35,Raiders,Henry Ruggs III 61 yard pass from Derek Carr (Daniel Carlson kick),23,14
,3:42,Steelers,Chris Boswell 56 yard field goal,23,17
,0:20,Raiders,Daniel Carlson 45 yard field goal,26,17
