Quarter,Time,Tm,Detail,BUF,NWE
1.0,5:31,Bills,LeSean McCoy 7 yard pass from Tyrod Taylor (Dan Carpenter kick),7,0
2.0,14:49,Bills,Dan Carpenter 34 yard field goal,10,0
,7:46,Bills,Dan Carpenter 43 yard field goal,13,0
3.0,0:28,Bills,Dan Carpenter 44 yard field goal,16,0
