Unnamed: 0,BUF,NWE
First Downs,24,13
Rush-Yds-TDs,32-134-0,22-90-0
Cmp-Att-Yd-TD-INT,27-39-246-1-0,17-27-205-0-0
Sacked-Yards,2-2,3-18
Net Pass Yards,244,187
Total Yards,378,277
Fumbles-Lost,0-0,5-1
Turnovers,0,1
Penalties-Yards,6-60,9-74
Third Down Conv.,7-15,1-12
Fourth Down Conv.,0-0,2-3
Time of Possession,36:11,23:49
