Unnamed: 0,LAR,JAX
First Downs,12,19
Rush-Yds-TDs,32-142-0,26-169-1
Cmp-Att-Yd-TD-INT,11-21-124-1-0,23-35-241-1-1
Sacked-Yards,3-17,5-21
Net Pass Yards,107,220
Total Yards,249,389
Fumbles-Lost,2-1,2-0
Turnovers,1,1
Penalties-Yards,7-70,5-40
Third Down Conv.,4-13,4-15
Fourth Down Conv.,0-0,1-1
Time of Possession,28:01,31:59
