Quarter,Time,Down,ToGo,Location,LAR,JAX,Detail,EPB,EPA
3,4:07,2,10,LAR 42,24,17,Malcolm Brown middle for 2 yards (tackle by Malik Jackson),1.190,0.760
3,3:28,3,8,LAR 44,24,17,Jared Goff pass complete short right to Robert Woods for 10 yards (tackle by Jalen Ramsey),0.760,2.520
3,2:51,1,10,JAX 46,24,17,Todd Gurley middle for 6 yards (tackle by Myles Jack),2.520,2.790
3,2:15,2,4,JAX 40,24,17,Jared Goff sacked by Calais Campbell for -7 yards,2.790,1.160
3,1:30,3,11,JAX 47,24,17,Jared Goff pass incomplete deep middle intended for Sammy Watkins (defended by A.J. Bouye),1.160,0.130
3,1:22,4,11,JAX 47,24,17,Johnny Hekker punts 32 yards,0.130,0.220
3,1:13,1,10,JAX 15,24,17,Leonard Fournette middle for 8 yards (tackle by John Johnson and Cody Davis),-0.220,0.480
3,0:36,2,2,JAX 23,24,17,Blake Bortles pass incomplete short right intended for Tommy Bohanon,0.480,-0.390
3,0:32,3,2,JAX 23,24,17,Blake Bortles pass complete short right to Allen Hurns for 14 yards (tackle by Connor Barwin),-0.390,1.400
Quarter,Time,Down,ToGo,Location,LAR,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,JAX 37,24,17,Blake Bortles pass incomplete short middle intended for Tommy Bohanon,1.400,0.860
4,14:56,2,10,JAX 37,24,17,"Leonard Fournette middle for -1 yards (tackle by Robert Quinn). Penalty on Robert Quinn: Unnecessary Roughness, 15 yards",0.860,2.320
4,14:38,1,10,LAR 49,24,17,Chris Ivory middle for 1 yard (tackle by Tanzel Smart),2.320,1.920
4,14:02,2,9,LAR 48,24,17,Blake Bortles pass complete deep left to Marqise Lee for 20 yards (tackle by Trumaine Johnson),1.920,3.710
4,13:27,1,10,LAR 28,24,17,Leonard Fournette middle for no gain (tackle by Samson Ebukam),3.710,3.170
4,12:48,2,10,LAR 28,24,17,"Blake Bortles sacked by Morgan Fox for -4 yards. Blake Bortles fumbles (forced by Morgan Fox), recovered by Cam Robinson at LAR-31",3.170,2.080
4,12:07,3,13,LAR 31,24,17,Blake Bortles pass incomplete short right intended for Marcedes Lewis is intercepted by Nickell Robey-Coleman at LAR-24 and returned for 31 yards,2.080,-2.590
