Unnamed: 0,BAL,NWE
First Downs,25,28
Rush-Yds-TDs,33-121-1,28-108-0
Cmp-Att-Yd-TD-INT,21-36-240-3-0,29-54-320-1-2
Sacked-Yards,2-5,0-0
Net Pass Yards,235,320
Total Yards,356,428
Fumbles-Lost,1-0,1-1
Turnovers,0,3
Penalties-Yards,5-60,4-40
Third Down Conv.,5-12,7-15
Fourth Down Conv.,0-0,1-2
Time of Possession,31:06,28:54
