Quarter,Time,Tm,Detail,BAL,NWE
1.0,6:21,Patriots,Stephen Gostkowski 31 yard field goal,0,3
2.0,9:28,Ravens,Ray Rice 2 yard rush (Justin Tucker kick),7,3
,4:18,Patriots,Wes Welker 1 yard pass from Tom Brady (Stephen Gostkowski kick),7,10
,0:00,Patriots,Stephen Gostkowski 25 yard field goal,7,13
3.0,6:14,Ravens,Dennis Pitta 5 yard pass from Joe Flacco (Justin Tucker kick),14,13
4.0,14:56,Ravens,Anquan Boldin 3 yard pass from Joe Flacco (Justin Tucker kick),21,13
,11:13,Ravens,Anquan Boldin 11 yard pass from Joe Flacco (Justin Tucker kick),28,13
